--------------
Fri Mar 21 21:59:48 2025 TW Stock List
--------------
2883.TW, Close: 18.55, RSI(talib): 62.76
2603.TW, Close: 227.50, RSI(talib): 61.17
3596.TW, Close: 221.50, RSI(talib): 70.42
2609.TW, Close: 76.80, RSI(talib): 73.25
2812.TW, Close: 21.05, RSI(talib): 77.78
1319.TW, Close: 141.00, RSI(talib): 85.52
2888.TW, Close: 12.60, RSI(talib): 68.60
1524.TW, Close: 44.80, RSI(talib): 82.67
2059.TW, Close: 1865.00, RSI(talib): 62.54
2328.TW, Close: 51.60, RSI(talib): 74.59
6670.TW, Close: 365.00, RSI(talib): 72.15
2302.TW, Close: 22.35, RSI(talib): 75.11
2413.TW, Close: 24.95, RSI(talib): 63.32
2468.TW, Close: 49.00, RSI(talib): 69.03
2929.TW, Close: 13.80, RSI(talib): 64.55
3032.TW, Close: 88.90, RSI(talib): 60.40
3090.TW, Close: 73.50, RSI(talib): 71.95
2852.TW, Close: 29.75, RSI(talib): 75.05
6165.TW, Close: 47.75, RSI(talib): 61.24
1463.TW, Close: 30.00, RSI(talib): 60.43
2423.TW, Close: 46.30, RSI(talib): 70.53
3605.TW, Close: 66.90, RSI(talib): 69.07
2850.TW, Close: 112.00, RSI(talib): 70.57
1466.TW, Close: 17.30, RSI(talib): 87.12
2597.TW, Close: 192.00, RSI(talib): 65.81
2429.TW, Close: 64.40, RSI(talib): 92.98
4722.TW, Close: 65.80, RSI(talib): 62.90
3563.TW, Close: 561.00, RSI(talib): 77.30
--------------
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
