--------------
Mon Mar 24 21:21:04 2025 TW Stock List
--------------
2883.TW, Close: 18.55, RSI(talib): 66.24
3596.TW, Close: 219.50, RSI(talib): 69.66
2609.TW, Close: 77.20, RSI(talib): 67.76
2812.TW, Close: 21.00, RSI(talib): 81.32
1319.TW, Close: 133.00, RSI(talib): 85.93
2888.TW, Close: 12.60, RSI(talib): 60.19
1524.TW, Close: 43.35, RSI(talib): 83.24
2328.TW, Close: 49.55, RSI(talib): 61.44
6670.TW, Close: 367.50, RSI(talib): 68.25
2302.TW, Close: 23.80, RSI(talib): 61.88
4572.TW, Close: 180.00, RSI(talib): 63.69
2413.TW, Close: 24.70, RSI(talib): 60.07
2468.TW, Close: 53.90, RSI(talib): 75.37
3051.TW, Close: 32.40, RSI(talib): 61.18
3090.TW, Close: 71.70, RSI(talib): 63.57
6757.TW, Close: 98.80, RSI(talib): 65.38
2852.TW, Close: 30.05, RSI(talib): 77.85
6165.TW, Close: 49.85, RSI(talib): 61.70
1463.TW, Close: 30.45, RSI(talib): 62.31
2423.TW, Close: 45.45, RSI(talib): 65.06
3605.TW, Close: 65.40, RSI(talib): 64.39
2850.TW, Close: 111.00, RSI(talib): 66.18
6283.TW, Close: 31.00, RSI(talib): 76.05
1466.TW, Close: 18.10, RSI(talib): 65.14
2597.TW, Close: 190.00, RSI(talib): 68.21
2429.TW, Close: 66.30, RSI(talib): 89.68
3563.TW, Close: 554.00, RSI(talib): 68.60
--------------
9802.TW (Close: 131.0) failed (Can't get stock info: 9802.TW, Current Price: 131.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 120.32443310232723, 200 Day Average: None, RSI: 41.757442646432494)
9941.TW (Close: 116.0) failed (Can't get stock info: 9941.TW, Current Price: 116.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 124.77867642570945, 200 Day Average: None, RSI: 49.741637082417526)
3356.TW (Close: None) failed (Can't get stock info: 3356.TW, Current Price: None, 52 Week High: 91.01, 52 Week Low: 51.8, 50 Day Average: 56.89, 150 Day Average: nan, 200 Day Average: 65.7, RSI: None)
6782.TW (Close: 180.0) failed (Can't get stock info: 6782.TW, Current Price: 180.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 200.31617647058823, 200 Day Average: None, RSI: 56.68722844172569)
2547.TW (Close: None) failed (Can't get stock info: 2547.TW, Current Price: None, 52 Week High: 14.7, 52 Week Low: 9.45, 50 Day Average: 11.19, 150 Day Average: nan, 200 Day Average: 10.72, RSI: None)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
