--------------
Tue Mar 25 21:25:39 2025 TW Stock List
--------------
2883.TW, Close: 18.35, RSI(talib): 66.24
3596.TW, Close: 227.50, RSI(talib): 66.83
2609.TW, Close: 77.90, RSI(talib): 68.90
2812.TW, Close: 21.25, RSI(talib): 79.04
2838.TW, Close: 17.25, RSI(talib): 76.87
9907.TW, Close: 17.80, RSI(talib): 70.66
1319.TW, Close: 136.50, RSI(talib): 65.75
2888.TW, Close: 12.60, RSI(talib): 60.19
1524.TW, Close: 43.95, RSI(talib): 69.56
8261.TW, Close: 90.70, RSI(talib): 71.65
6670.TW, Close: 364.00, RSI(talib): 69.33
2302.TW, Close: 23.30, RSI(talib): 68.22
4572.TW, Close: 192.00, RSI(talib): 80.25
2468.TW, Close: 59.20, RSI(talib): 79.97
2516.TW, Close: 22.45, RSI(talib): 61.52
6757.TW, Close: 89.90, RSI(talib): 71.03
2852.TW, Close: 30.00, RSI(talib): 79.63
6165.TW, Close: 49.60, RSI(talib): 67.45
1463.TW, Close: 29.75, RSI(talib): 64.16
3605.TW, Close: 63.70, RSI(talib): 60.10
2850.TW, Close: 111.50, RSI(talib): 61.83
6283.TW, Close: 31.00, RSI(talib): 68.43
1466.TW, Close: 17.70, RSI(talib): 68.75
1464.TW, Close: 18.95, RSI(talib): 64.80
2597.TW, Close: 188.00, RSI(talib): 64.87
2429.TW, Close: 63.70, RSI(talib): 90.46
3563.TW, Close: 547.00, RSI(talib): 66.07
--------------
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
