--------------
Mon Mar 31 21:44:59 2025 TW Stock List
--------------
2027.TW, Close: 49.25, RSI(talib): 60.34
3596.TW, Close: 225.00, RSI(talib): 67.34
2812.TW, Close: 20.55, RSI(talib): 69.04
1319.TW, Close: 128.50, RSI(talib): 62.27
1736.TW, Close: 197.00, RSI(talib): 61.91
2468.TW, Close: 51.80, RSI(talib): 70.05
6166.TW, Close: 81.00, RSI(talib): 62.54
2852.TW, Close: 29.85, RSI(talib): 77.24
2850.TW, Close: 111.00, RSI(talib): 64.39
2429.TW, Close: 60.00, RSI(talib): 77.78
--------------
4904.TW (Close: None) failed (Can't get stock info: 4904.TW, Current Price: None, 52 Week High: 94.1, 52 Week Low: 78.9, 50 Day Average: 90.35, 150 Day Average: nan, 200 Day Average: 89.05, RSI: None)
2492.TW (Close: 86.5) failed (Can't get stock info: 2492.TW, Current Price: 86.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 98.00294107549331, 200 Day Average: None, RSI: 41.29232049743477)
9955.TW (Close: 29.0) failed (Can't get stock info: 9955.TW, Current Price: 29.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.74669124098385, 200 Day Average: None, RSI: 49.353836824449616)
2461.TW (Close: 18.299999237060547) failed (Can't get stock info: 2461.TW, Current Price: 18.299999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 20.79815185771269, 200 Day Average: None, RSI: 38.50594468325122)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
