--------------
Thu May  1 00:10:47 2025 TW Stock List
--------------
3209.TW, Close: 38.40, RSI(talib): 60.49
9907.TW, Close: 18.05, RSI(talib): 61.62
8222.TW, Close: 58.90, RSI(talib): 66.65
2468.TW, Close: 78.80, RSI(talib): 74.40
3705.TW, Close: 65.60, RSI(talib): 65.45
2471.TW, Close: 64.60, RSI(talib): 69.53
1616.TW, Close: 24.25, RSI(talib): 62.68
2480.TW, Close: 147.00, RSI(talib): 61.63
6165.TW, Close: 56.40, RSI(talib): 64.67
2429.TW, Close: 53.80, RSI(talib): 61.89
8072.TW, Close: 48.60, RSI(talib): 72.75
3528.TW, Close: 87.70, RSI(talib): 67.52
--------------
3305.TW (Close: 58.5) failed (Can't get stock info: 3305.TW, Current Price: 58.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 64.48037052860967, 200 Day Average: None, RSI: 49.97031459761114)
3048.TW (Close: 24.549999237060547) failed (Can't get stock info: 3048.TW, Current Price: 24.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.003333254213686, 200 Day Average: None, RSI: 51.30828783101141)
6937.TW (Close: 198.0) failed (Can't get stock info: 6937.TW, Current Price: 198.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 302.6333333333333, 200 Day Average: None, RSI: 47.187025618165535)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
6962.TW (Close: 48.099998474121094) failed (Can't get stock info: 6962.TW, Current Price: 48.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.16949977874756, 200 Day Average: None, RSI: 49.81243733648687)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
