--------------
Thu May  8 22:34:40 2025 TW Stock List
--------------
9907.TW, Close: 20.25, RSI(talib): 75.89
2383.TW, Close: 662.00, RSI(talib): 62.07
1210.TW, Close: 62.70, RSI(talib): 66.28
8222.TW, Close: 65.70, RSI(talib): 66.10
2468.TW, Close: 78.00, RSI(talib): 65.96
3705.TW, Close: 68.80, RSI(talib): 65.96
4532.TW, Close: 31.35, RSI(talib): 64.34
2480.TW, Close: 160.00, RSI(talib): 65.56
6165.TW, Close: 56.90, RSI(talib): 64.88
3528.TW, Close: 91.30, RSI(talib): 60.28
--------------
2353.TW (Close: 34.5) failed (Can't get stock info: 2353.TW, Current Price: 34.5, 52 Week High: 60.5, 52 Week Low: 27.05, 50 Day Average: 35.39, 150 Day Average: 37.65073537826538, 200 Day Average: 38.95, RSI: None)
2887.TW (Close: 16.100000381469727) failed (Can't get stock info: 2887.TW, Current Price: 16.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.156617683522843, 200 Day Average: None, RSI: 47.97146465126716)
4952.TW (Close: 41.400001525878906) failed (Can't get stock info: 4952.TW, Current Price: 41.400001525878906, 52 Week High: 78.0, 52 Week Low: 34.4, 50 Day Average: 45.93, 150 Day Average: 50.8257352885078, 200 Day Average: 51.97, RSI: None)
8081.TW (Close: 217.0) failed (Can't get stock info: 8081.TW, Current Price: 217.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 231.43382352941177, 200 Day Average: None, RSI: 46.22798809216977)
5531.TW (Close: None) failed (Can't get stock info: 5531.TW, Current Price: None, 52 Week High: 12.65, 52 Week Low: 9.01, 50 Day Average: 10.51, 150 Day Average: 10.513602950993706, 200 Day Average: 10.51, RSI: 58.98371885824416)
2236.TW (Close: 93.80000305175781) failed (Page.goto: net::ERR_CONNECTION_RESET at https://finance.yahoo.com/quote/2236.TW/key-statistics
Call log:
  - navigating to "https://finance.yahoo.com/quote/2236.TW/key-statistics", waiting until "domcontentloaded"
)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
