--------------
Thu May 15 20:52:22 2025 TW Stock List
--------------
2891.TW, Close: 41.15, RSI(talib): 61.82
3059.TW, Close: 41.45, RSI(talib): 63.47
2609.TW, Close: 79.50, RSI(talib): 66.23
2838.TW, Close: 17.25, RSI(talib): 61.40
9907.TW, Close: 20.35, RSI(talib): 68.51
2383.TW, Close: 685.00, RSI(talib): 69.73
6191.TW, Close: 74.80, RSI(talib): 73.24
2612.TW, Close: 45.95, RSI(talib): 62.10
2059.TW, Close: 2000.00, RSI(talib): 60.60
1590.TW, Close: 937.00, RSI(talib): 61.11
6196.TW, Close: 168.50, RSI(talib): 60.51
8222.TW, Close: 65.80, RSI(talib): 64.74
6139.TW, Close: 254.50, RSI(talib): 60.78
4916.TW, Close: 46.30, RSI(talib): 60.04
6691.TW, Close: 427.50, RSI(talib): 60.40
2645.TW, Close: 114.50, RSI(talib): 66.32
2547.TW, Close: 13.55, RSI(talib): 62.50
6215.TW, Close: 112.50, RSI(talib): 72.30
4532.TW, Close: 30.80, RSI(talib): 60.33
2480.TW, Close: 163.00, RSI(talib): 70.34
3090.TW, Close: 76.20, RSI(talib): 69.60
4766.TW, Close: 357.00, RSI(talib): 60.55
6657.TW, Close: 72.10, RSI(talib): 62.29
6165.TW, Close: 59.00, RSI(talib): 63.00
6919.TW, Close: 783.00, RSI(talib): 65.20
3563.TW, Close: 537.00, RSI(talib): 65.25
3528.TW, Close: 91.10, RSI(talib): 64.02
--------------
2417.TW (Close: 40.04999923706055) failed (Can't get stock info: 2417.TW, Current Price: 40.04999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 43.525182375942705, 200 Day Average: None, RSI: 54.076457119139164)
1102.TW (Close: 44.25) failed (Can't get stock info: 1102.TW, Current Price: 44.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 43.58284659281264, 200 Day Average: None, RSI: 50.248871647930095)
1326.TW (Close: 25.700000762939453) failed (Can't get stock info: 1326.TW, Current Price: 25.700000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.02445258537348, 200 Day Average: None, RSI: 49.62575359218586)
6285.TW (Close: None) failed (Can't get stock info: 6285.TW, Current Price: None, 52 Week High: 174.5, 52 Week Low: 101.5, 50 Day Average: 132.91, 150 Day Average: 130.51459854014598, 200 Day Average: 128.25, RSI: 54.308693044613754)
2425.TW (Close: 38.54999923706055) failed (Can't get stock info: 2425.TW, Current Price: 38.54999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 36.89671541478512, 200 Day Average: None, RSI: 65.30212663287122)
6412.TW (Close: 105.5) failed (Can't get stock info: 6412.TW, Current Price: 105.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 119.39708030310861, 200 Day Average: None, RSI: 53.92723616252262)
5521.TW (Close: 12.600000381469727) failed (Can't get stock info: 5521.TW, Current Price: 12.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.508248196901196, 200 Day Average: None, RSI: 60.482791765039465)
1604.TW (Close: 27.149999618530273) failed (Can't get stock info: 1604.TW, Current Price: 27.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.498423875683415, 200 Day Average: None, RSI: 62.90178445069267)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
