--------------
Thu May 22 22:08:09 2025 TW Stock List
--------------
2891.TW, Close: 42.90, RSI(talib): 68.40
2603.TW, Close: 260.00, RSI(talib): 69.94
2609.TW, Close: 86.90, RSI(talib): 67.20
2615.TW, Close: 126.50, RSI(talib): 81.00
2607.TW, Close: 33.80, RSI(talib): 67.67
2404.TW, Close: 556.00, RSI(talib): 75.62
9907.TW, Close: 20.40, RSI(talib): 64.92
2383.TW, Close: 714.00, RSI(talib): 69.17
6191.TW, Close: 81.60, RSI(talib): 65.72
2612.TW, Close: 49.30, RSI(talib): 62.88
1210.TW, Close: 63.90, RSI(talib): 62.17
2059.TW, Close: 2130.00, RSI(talib): 63.36
6196.TW, Close: 174.50, RSI(talib): 66.16
4916.TW, Close: 45.45, RSI(talib): 60.11
1215.TW, Close: 114.50, RSI(talib): 74.45
2645.TW, Close: 112.50, RSI(talib): 62.31
3004.TW, Close: 146.50, RSI(talib): 87.60
1616.TW, Close: 26.70, RSI(talib): 63.31
2480.TW, Close: 173.00, RSI(talib): 72.45
3090.TW, Close: 76.40, RSI(talib): 65.78
6657.TW, Close: 75.60, RSI(talib): 65.45
1466.TW, Close: 17.60, RSI(talib): 65.25
6919.TW, Close: 880.00, RSI(talib): 67.34
3563.TW, Close: 533.00, RSI(talib): 61.87
4949.TW, Close: 54.60, RSI(talib): 61.87
8072.TW, Close: 50.60, RSI(talib): 61.28
--------------
1732.TW (Close: 28.200000762939453) failed (Can't get stock info: 1732.TW, Current Price: 28.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.335401381889397, 200 Day Average: None, RSI: 61.94621530149984)
3653.TW (Close: 1295.0) failed (Page.goto: net::ERR_SOCKET_NOT_CONNECTED at https://finance.yahoo.com/quote/3653.TW/key-statistics
Call log:
  - navigating to "https://finance.yahoo.com/quote/3653.TW/key-statistics", waiting until "domcontentloaded"
)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
