--------------
Fri May 23 22:52:52 2025 TW Stock List
--------------
2891.TW, Close: 42.80, RSI(talib): 67.54
2603.TW, Close: 256.00, RSI(talib): 71.37
2609.TW, Close: 83.70, RSI(talib): 72.08
2615.TW, Close: 126.50, RSI(talib): 85.71
2607.TW, Close: 33.90, RSI(talib): 67.93
2404.TW, Close: 542.00, RSI(talib): 75.78
9907.TW, Close: 20.60, RSI(talib): 64.08
2383.TW, Close: 710.00, RSI(talib): 67.39
6191.TW, Close: 86.80, RSI(talib): 74.24
2612.TW, Close: 48.70, RSI(talib): 63.00
1210.TW, Close: 64.10, RSI(talib): 62.50
2059.TW, Close: 2095.00, RSI(talib): 67.43
6196.TW, Close: 175.00, RSI(talib): 61.96
6670.TW, Close: 370.50, RSI(talib): 61.14
2753.TW, Close: 198.00, RSI(talib): 62.01
6691.TW, Close: 438.00, RSI(talib): 62.55
1215.TW, Close: 114.00, RSI(talib): 75.26
3004.TW, Close: 145.00, RSI(talib): 84.39
1616.TW, Close: 27.25, RSI(talib): 61.16
2480.TW, Close: 167.50, RSI(talib): 74.28
3090.TW, Close: 75.30, RSI(talib): 67.16
6657.TW, Close: 71.30, RSI(talib): 67.78
6165.TW, Close: 61.20, RSI(talib): 64.07
6919.TW, Close: 886.00, RSI(talib): 68.91
3563.TW, Close: 544.00, RSI(talib): 62.96
4949.TW, Close: 60.00, RSI(talib): 60.63
8072.TW, Close: 51.50, RSI(talib): 63.25
--------------
5608.TW (Close: None) failed (Can't get stock info: 5608.TW, Current Price: None, 52 Week High: 25.05, 52 Week Low: 13.65, 50 Day Average: 17.59, 150 Day Average: 17.774087509099584, 200 Day Average: 17.76, RSI: 52.61249278263267)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
