--------------
Wed May 28 00:06:32 2025 TW Stock List
--------------
2603.TW, Close: 253.00, RSI(talib): 63.81
2609.TW, Close: 82.00, RSI(talib): 60.89
2615.TW, Close: 118.00, RSI(talib): 68.68
2607.TW, Close: 34.35, RSI(talib): 70.26
2404.TW, Close: 536.00, RSI(talib): 66.97
2383.TW, Close: 706.00, RSI(talib): 64.42
1210.TW, Close: 65.60, RSI(talib): 67.46
2059.TW, Close: 2050.00, RSI(talib): 62.41
6591.TW, Close: 80.40, RSI(talib): 71.19
1215.TW, Close: 113.00, RSI(talib): 63.10
1616.TW, Close: 26.50, RSI(talib): 60.76
2480.TW, Close: 164.50, RSI(talib): 62.09
6919.TW, Close: 873.00, RSI(talib): 65.04
3563.TW, Close: 539.00, RSI(talib): 62.36
4949.TW, Close: 59.70, RSI(talib): 69.49
8072.TW, Close: 49.15, RSI(talib): 62.21
--------------
6505.TW (Close: 38.400001525878906) failed (Can't get stock info: 6505.TW, Current Price: 38.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 38.46058395831254, 200 Day Average: None, RSI: 55.364816226503244)
6191.TW (Close: None) failed (Can't get stock info: 6191.TW, Current Price: None, 52 Week High: 98.2, 52 Week Low: 48.7, 50 Day Average: 65.07, 150 Day Average: 63.39854016269211, 200 Day Average: 62.93, RSI: 77.95024942705453)
3030.TW (Close: 112.5) failed (Can't get stock info: 3030.TW, Current Price: 112.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 120.33138681676266, 200 Day Average: None, RSI: 51.34505142421022)
3652.TW (Close: 29.200000762939453) failed (Can't get stock info: 3652.TW, Current Price: 29.200000762939453, 52 Week High: 56.0, 52 Week Low: 24.75, 50 Day Average: 31.17, 150 Day Average: 35.860218841664114, 200 Day Average: 37.78, RSI: None)
3055.TW (Close: 52.099998474121094) failed (Can't get stock info: 3055.TW, Current Price: 52.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 65.24233568845874, 200 Day Average: None, RSI: 45.69037050232546)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
