--------------
Tue Jun  3 22:14:46 2025 TW Stock List
--------------
2607.TW, Close: 34.70, RSI(talib): 71.95
2404.TW, Close: 554.00, RSI(talib): 69.88
2383.TW, Close: 784.00, RSI(talib): 76.18
6591.TW, Close: 75.80, RSI(talib): 68.56
6691.TW, Close: 442.50, RSI(talib): 64.13
2645.TW, Close: 115.50, RSI(talib): 66.73
1616.TW, Close: 27.40, RSI(talib): 61.64
2480.TW, Close: 164.00, RSI(talib): 61.48
6919.TW, Close: 892.00, RSI(talib): 70.86
2429.TW, Close: 60.60, RSI(talib): 61.09
3563.TW, Close: 563.00, RSI(talib): 65.44
--------------
2105.TW (Close: 47.900001525878906) failed (Can't get stock info: 2105.TW, Current Price: 47.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 50.15291979713162, 200 Day Average: None, RSI: 40.99650031516702)
1210.TW (Close: 60.900001525878906) failed (Can't get stock info: 1210.TW, Current Price: 60.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 55.68686135841982, 200 Day Average: None, RSI: 61.23331674150426)
1723.TW (Close: 91.9000015258789) failed (Can't get stock info: 1723.TW, Current Price: 91.9000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 94.5299271632285, 200 Day Average: None, RSI: 47.74811827666685)
2363.TW (Close: 46.400001525878906) failed (Can't get stock info: 2363.TW, Current Price: 46.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 61.68978077129726, 200 Day Average: None, RSI: 38.28879370240405)
2731.TW (Close: 169.5) failed (Can't get stock info: 2731.TW, Current Price: 169.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 130.03284671532847, 200 Day Average: None, RSI: 73.80230119998113)
2059.TW (Close: 2160.0) failed (Can't get stock info: 2059.TW, Current Price: 2160.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1659.4160583941605, 200 Day Average: None, RSI: 60.822287601267476)
1590.TW (Close: 943.0) failed (Can't get stock info: 1590.TW, Current Price: 943.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 878.5620437956204, 200 Day Average: None, RSI: 55.62860044409352)
1733.TW (Close: 30.299999237060547) failed (Can't get stock info: 1733.TW, Current Price: 30.299999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.477007357743535, 200 Day Average: None, RSI: 44.11198058431231)
3535.TW (Close: 32.5) failed (Can't get stock info: 3535.TW, Current Price: 32.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.121167969529644, 200 Day Average: None, RSI: 44.819196340837294)
5471.TW (Close: 35.099998474121094) failed (Can't get stock info: 5471.TW, Current Price: 35.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 39.59890495077537, 200 Day Average: None, RSI: 45.913606812332716)
3257.TW (Close: 63.400001525878906) failed (Can't get stock info: 3257.TW, Current Price: 63.400001525878906, 52 Week High: 74.5, 52 Week Low: 37.55, 50 Day Average: 52.16, 150 Day Average: nan, 200 Day Average: 56.21, RSI: None)
8021.TW (Close: None) failed (Page.goto: net::ERR_NETWORK_CHANGED at https://finance.yahoo.com/quote/8021.TW/key-statistics
Call log:
  - navigating to "https://finance.yahoo.com/quote/8021.TW/key-statistics", waiting until "domcontentloaded"
)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
