--------------
Wed Jun  4 21:13:21 2025 TW Stock List
--------------
2891.TW, Close: 42.50, RSI(talib): 65.12
2603.TW, Close: 251.50, RSI(talib): 62.88
2615.TW, Close: 109.50, RSI(talib): 61.02
2607.TW, Close: 34.45, RSI(talib): 71.27
2812.TW, Close: 20.70, RSI(talib): 62.82
2404.TW, Close: 556.00, RSI(talib): 70.10
9907.TW, Close: 20.25, RSI(talib): 60.07
2383.TW, Close: 780.00, RSI(talib): 78.99
2059.TW, Close: 2175.00, RSI(talib): 68.44
6591.TW, Close: 72.40, RSI(talib): 64.38
6691.TW, Close: 422.50, RSI(talib): 66.22
2645.TW, Close: 114.50, RSI(talib): 68.28
5203.TW, Close: 117.50, RSI(talib): 63.26
3004.TW, Close: 152.50, RSI(talib): 70.08
1616.TW, Close: 27.30, RSI(talib): 64.39
2480.TW, Close: 164.50, RSI(talib): 60.54
6919.TW, Close: 917.00, RSI(talib): 70.55
2429.TW, Close: 61.50, RSI(talib): 63.11
3563.TW, Close: 546.00, RSI(talib): 68.25
8072.TW, Close: 50.70, RSI(talib): 60.67
--------------
2356.TW (Close: 41.599998474121094) failed (Can't get stock info: 2356.TW, Current Price: 41.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 46.31058399172595, 200 Day Average: None, RSI: 47.07284369419548)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
6962.TW (Close: 57.099998474121094) failed (Can't get stock info: 6962.TW, Current Price: 57.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.07479650605985, 200 Day Average: None, RSI: 55.28812927932976)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
