--------------
Thu Jun 19 21:11:16 2025 TW Stock List
--------------
2891.TW, Close: 43.00, RSI(talib): 64.04
2884.TW, Close: 32.00, RSI(talib): 82.43
2812.TW, Close: 21.30, RSI(talib): 70.56
2838.TW, Close: 17.25, RSI(talib): 65.31
2404.TW, Close: 592.00, RSI(talib): 65.57
2383.TW, Close: 845.00, RSI(talib): 68.61
3036.TW, Close: 130.00, RSI(talib): 66.29
2059.TW, Close: 2150.00, RSI(talib): 60.15
6669.TW, Close: 2530.00, RSI(talib): 68.38
6196.TW, Close: 176.00, RSI(talib): 69.32
3005.TW, Close: 129.00, RSI(talib): 72.05
2727.TW, Close: 244.50, RSI(talib): 61.86
8210.TW, Close: 473.00, RSI(talib): 92.01
6139.TW, Close: 267.50, RSI(talib): 60.67
1616.TW, Close: 43.55, RSI(talib): 88.39
3090.TW, Close: 77.70, RSI(talib): 66.67
2852.TW, Close: 28.90, RSI(talib): 68.70
6165.TW, Close: 62.70, RSI(talib): 61.30
2429.TW, Close: 72.00, RSI(talib): 72.19
4722.TW, Close: 70.90, RSI(talib): 63.74
3563.TW, Close: 565.00, RSI(talib): 62.22
--------------
1760.TW (Close: 72.30000305175781) failed (Can't get stock info: 1760.TW, Current Price: 72.30000305175781, 52 Week High: 104.5, 52 Week Low: 56.0, 50 Day Average: 72.2, 150 Day Average: 77.80159425387417, 200 Day Average: 82.0, RSI: None)
8011.TW (Close: 20.299999237060547) failed (Can't get stock info: 8011.TW, Current Price: 20.299999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.612617875537733, 200 Day Average: None, RSI: 53.132077495909044)
6919.TW (Close: 1190.0) failed (Can't get stock info: 6919.TW, Current Price: 1190.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 754.1459854014598, 200 Day Average: None, RSI: 90.46610806046006)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
