--------------
Tue Jun 24 20:56:01 2025 TW Stock List
--------------
2891.TW, Close: 43.75, RSI(talib): 63.03
2884.TW, Close: 31.90, RSI(talib): 71.37
2368.TW, Close: 274.00, RSI(talib): 60.74
3044.TW, Close: 242.50, RSI(talib): 72.15
2404.TW, Close: 643.00, RSI(talib): 73.53
2383.TW, Close: 860.00, RSI(talib): 65.04
3036.TW, Close: 126.50, RSI(talib): 61.03
3665.TW, Close: 797.00, RSI(talib): 75.67
6669.TW, Close: 2515.00, RSI(talib): 67.10
6196.TW, Close: 187.00, RSI(talib): 68.11
5284.TW, Close: 204.50, RSI(talib): 78.24
8210.TW, Close: 476.00, RSI(talib): 90.76
6139.TW, Close: 337.00, RSI(talib): 82.71
1616.TW, Close: 41.05, RSI(talib): 79.71
6919.TW, Close: 1265.00, RSI(talib): 90.97
--------------
1722.TW (Close: None) failed (Can't get stock info: 1722.TW, Current Price: None, 52 Week High: 65.9, 52 Week Low: 45.3, 50 Day Average: 52.93, 150 Day Average: 52.52408766920549, 200 Day Average: 53.69, RSI: 46.843567621907155)
2642.TW (Close: 25.549999237060547) failed (Can't get stock info: 2642.TW, Current Price: 25.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.07643025808961, 200 Day Average: None, RSI: 24.859130825409494)
6409.TW (Close: 1305.0) failed (Can't get stock info: 6409.TW, Current Price: 1305.0, 52 Week High: 2385.0, 52 Week Low: 1160.0, 50 Day Average: 1420.3, 150 Day Average: 1623.102189781022, 200 Day Average: 1751.85, RSI: None)
3092.TW (Close: 18.299999237060547) failed (Page.goto: net::ERR_SOCKET_NOT_CONNECTED at https://finance.yahoo.com/quote/3092.TW/key-statistics
Call log:
  - navigating to "https://finance.yahoo.com/quote/3092.TW/key-statistics", waiting until "domcontentloaded"
)
6657.TW (Close: 64.69999694824219) failed (Can't get stock info: 6657.TW, Current Price: 64.69999694824219, 52 Week High: 85.6, 52 Week Low: 45.9, 50 Day Average: 64.85, 150 Day Average: 62.3419707639374, 200 Day Average: 59.06, RSI: None)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
