--------------
Thu Jun 26 23:42:05 2025 TW Stock List
--------------
2891.TW, Close: 44.30, RSI(talib): 68.21
2884.TW, Close: 32.40, RSI(talib): 78.19
2368.TW, Close: 269.50, RSI(talib): 64.86
2812.TW, Close: 21.50, RSI(talib): 60.66
2838.TW, Close: 18.05, RSI(talib): 60.80
3044.TW, Close: 243.00, RSI(talib): 72.58
2404.TW, Close: 622.00, RSI(talib): 75.24
2383.TW, Close: 855.00, RSI(talib): 69.24
3665.TW, Close: 803.00, RSI(talib): 78.71
6591.TW, Close: 70.20, RSI(talib): 67.07
6669.TW, Close: 2620.00, RSI(talib): 79.60
6196.TW, Close: 188.50, RSI(talib): 74.32
5284.TW, Close: 198.00, RSI(talib): 68.74
8210.TW, Close: 480.00, RSI(talib): 92.80
6139.TW, Close: 334.00, RSI(talib): 85.00
6691.TW, Close: 444.00, RSI(talib): 63.64
1616.TW, Close: 39.40, RSI(talib): 76.19
2852.TW, Close: 29.30, RSI(talib): 61.19
6919.TW, Close: 1260.00, RSI(talib): 81.68
--------------
1219.TW (Close: 14.5) failed (Can't get stock info: 1219.TW, Current Price: 14.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.516231376759327, 200 Day Average: None, RSI: 46.13089002992663)
4915.TW (Close: 72.69999694824219) failed (Can't get stock info: 4915.TW, Current Price: 72.69999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 79.3744529389987, 200 Day Average: None, RSI: 41.080739407580715)
2633.TW (Close: None) failed (Can't get stock info: 2633.TW, Current Price: None, 52 Week High: 31.05, 52 Week Low: 24.75, 50 Day Average: 27.66, 150 Day Average: 27.578102251038935, 200 Day Average: 27.98, RSI: 61.54282016733731)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
