--------------
Wed Jul  2 22:19:07 2025 TW Stock List
--------------
2891.TW, Close: 43.90, RSI(talib): 63.89
2884.TW, Close: 33.00, RSI(talib): 81.63
2368.TW, Close: 290.50, RSI(talib): 72.60
2812.TW, Close: 22.10, RSI(talib): 73.81
2838.TW, Close: 18.05, RSI(talib): 66.34
3044.TW, Close: 246.00, RSI(talib): 73.15
2404.TW, Close: 638.00, RSI(talib): 69.11
2383.TW, Close: 903.00, RSI(talib): 74.45
2345.TW, Close: 768.00, RSI(talib): 61.12
6191.TW, Close: 90.80, RSI(talib): 68.47
3665.TW, Close: 835.00, RSI(talib): 79.41
1210.TW, Close: 66.20, RSI(talib): 67.38
6196.TW, Close: 186.50, RSI(talib): 76.26
5284.TW, Close: 208.00, RSI(talib): 65.99
8210.TW, Close: 494.50, RSI(talib): 80.96
6139.TW, Close: 307.50, RSI(talib): 63.76
2539.TW, Close: 66.40, RSI(talib): 79.43
1616.TW, Close: 38.70, RSI(talib): 62.10
3090.TW, Close: 79.40, RSI(talib): 60.66
6914.TW, Close: 148.00, RSI(talib): 69.87
3052.TW, Close: 13.75, RSI(talib): 60.63
3028.TW, Close: 34.15, RSI(talib): 63.17
6919.TW, Close: 1345.00, RSI(talib): 87.31
--------------
4960.TW (Close: 13.699999809265137) failed (Can't get stock info: 4960.TW, Current Price: 13.699999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.316788318383432, 200 Day Average: None, RSI: 52.520070200219635)
6806.TW (Close: 80.5) failed (Can't get stock info: 6806.TW, Current Price: 80.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 98.8886883589473, 200 Day Average: None, RSI: 37.32638334602175)
4968.TW (Close: 117.5) failed (Can't get stock info: 4968.TW, Current Price: 117.5, 52 Week High: 249.0, 52 Week Low: 110.0, 50 Day Average: 126.66, 150 Day Average: 167.95620437956205, 200 Day Average: 172.93, RSI: None)
2371.TW (Close: 41.0) failed (Can't get stock info: 2371.TW, Current Price: 41.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.42132846804431, 200 Day Average: None, RSI: 38.15920967195092)
1217.TW (Close: 10.550000190734863) failed (Can't get stock info: 1217.TW, Current Price: 10.550000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.271111335197505, 200 Day Average: None, RSI: 44.08908269985995)
3504.TW (Close: 46.29999923706055) failed (Can't get stock info: 3504.TW, Current Price: 46.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.30291981940722, 200 Day Average: None, RSI: 52.444108039499625)
2014.TW (Close: 14.449999809265137) failed (Can't get stock info: 2014.TW, Current Price: 14.449999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.371897850593513, 200 Day Average: None, RSI: 42.18891047856669)
6235.TW (Close: 50.599998474121094) failed (Can't get stock info: 6235.TW, Current Price: 50.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 57.28649637820947, 200 Day Average: None, RSI: 46.95353316209987)
2425.TW (Close: 36.79999923706055) failed (Can't get stock info: 2425.TW, Current Price: 36.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 35.922627734441825, 200 Day Average: None, RSI: 45.86740674700972)
2538.TW (Close: 13.199999809265137) failed (Can't get stock info: 2538.TW, Current Price: 13.199999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.003284593568232, 200 Day Average: None, RSI: 53.07616419331518)
6288.TW (Close: 19.5) failed (Can't get stock info: 6288.TW, Current Price: 19.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 23.21602822742323, 200 Day Average: None, RSI: 46.59245066495091)
6605.TW (Close: 194.0) failed (Can't get stock info: 6605.TW, Current Price: 194.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 200.26642335766422, 200 Day Average: None, RSI: 59.81554650286471)
1527.TW (Close: 37.5) failed (Can't get stock info: 1527.TW, Current Price: 37.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 40.117518181348366, 200 Day Average: None, RSI: 49.445928653505185)
4536.TW (Close: 189.0) failed (Can't get stock info: 4536.TW, Current Price: 189.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 195.72992700729927, 200 Day Average: None, RSI: 52.30216495180655)
2439.TW (Close: 114.0) failed (Can't get stock info: 2439.TW, Current Price: 114.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 113.58613140913693, 200 Day Average: None, RSI: 50.099620334566886)
2231.TW (Close: 69.30000305175781) failed (Can't get stock info: 2231.TW, Current Price: 69.30000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 90.80875953618627, 200 Day Average: None, RSI: 29.93297798512971)
2441.TW (Close: 58.79999923706055) failed (Can't get stock info: 2441.TW, Current Price: 58.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 58.1927006853758, 200 Day Average: None, RSI: 64.95297605484117)
1612.TW (Close: 38.099998474121094) failed (Can't get stock info: 1612.TW, Current Price: 38.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 33.567883275721194, 200 Day Average: None, RSI: 62.983654982636814)
6142.TW (Close: 9.59000015258789) failed (Can't get stock info: 6142.TW, Current Price: 9.59000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 10.271021870801048, 200 Day Average: None, RSI: 60.79292618559911)
5521.TW (Close: 11.699999809265137) failed (Can't get stock info: 5521.TW, Current Price: 11.699999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.66445255279541, 200 Day Average: None, RSI: 39.922225509921056)
5469.TW (Close: 61.70000076293945) failed (Can't get stock info: 5469.TW, Current Price: 61.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.91897800194956, 200 Day Average: None, RSI: 61.0318934358994)
2535.TW (Close: 57.099998474121094) failed (Can't get stock info: 2535.TW, Current Price: 57.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.7544648107821, 200 Day Average: None, RSI: 42.389801582373856)
2705.TW (Close: 18.450000762939453) failed (Can't get stock info: 2705.TW, Current Price: 18.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.92737229897158, 200 Day Average: None, RSI: 49.50363556102829)
2369.TW (Close: 14.949999809265137) failed (Can't get stock info: 2369.TW, Current Price: 14.949999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.00583941745062, 200 Day Average: None, RSI: 52.61520008931204)
2543.TW (Close: 81.0) failed (Can't get stock info: 2543.TW, Current Price: 81.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 84.02780251607408, 200 Day Average: None, RSI: 42.05525055224501)
3694.TW (Close: 59.20000076293945) failed (Can't get stock info: 3694.TW, Current Price: 59.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.05328466596394, 200 Day Average: None, RSI: 67.26980588242316)
5306.TW (Close: 95.80000305175781) failed (Can't get stock info: 5306.TW, Current Price: 95.80000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 110.90072988245609, 200 Day Average: None, RSI: 57.51930436420002)
1587.TW (Close: 29.200000762939453) failed (Can't get stock info: 1587.TW, Current Price: 29.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.13699647109874, 200 Day Average: None, RSI: 45.29273638138985)
2722.TW (Close: 30.600000381469727) failed (Can't get stock info: 2722.TW, Current Price: 30.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.377737212355118, 200 Day Average: None, RSI: 59.269232305034755)
1786.TW (Close: 91.9000015258789) failed (Can't get stock info: 1786.TW, Current Price: 91.9000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 105.03430638000043, 200 Day Average: None, RSI: 35.6888547712632)
8374.TW (Close: 97.5) failed (Can't get stock info: 8374.TW, Current Price: 97.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 110.13868624276489, 200 Day Average: None, RSI: 51.04766195317511)
1436.TW (Close: 122.0) failed (Can't get stock info: 1436.TW, Current Price: 122.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 125.00875910181199, 200 Day Average: None, RSI: 54.14991421976403)
4576.TW (Close: 119.0) failed (Can't get stock info: 4576.TW, Current Price: 119.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 132.4065693764791, 200 Day Average: None, RSI: 47.943628883875576)
3550.TW (Close: 14.350000381469727) failed (Can't get stock info: 3550.TW, Current Price: 14.350000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.379561981145482, 200 Day Average: None, RSI: 60.516741734901814)
6937.TW (Close: None) failed (Can't get stock info: 6937.TW, Current Price: None, 52 Week High: 414.0, 52 Week Low: 157.5, 50 Day Average: 196.93, 150 Day Average: 261.90875912408757, 200 Day Average: 278.38, RSI: 56.992624286447224)
6957.TW (Close: None) failed (Can't get stock info: 6957.TW, Current Price: None, 52 Week High: 296.0, 52 Week Low: 141.5, 50 Day Average: 171.96, 150 Day Average: 193.82116788321167, 200 Day Average: 206.45, RSI: 59.17634664444156)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
