--------------
Thu Jul  3 21:24:06 2025 TW Stock List
--------------
2884.TW, Close: 33.15, RSI(talib): 80.18
2368.TW, Close: 290.00, RSI(talib): 68.72
2812.TW, Close: 22.15, RSI(talib): 75.03
2838.TW, Close: 18.00, RSI(talib): 67.13
3044.TW, Close: 243.50, RSI(talib): 73.15
2404.TW, Close: 648.00, RSI(talib): 71.60
9907.TW, Close: 20.20, RSI(talib): 60.47
2383.TW, Close: 928.00, RSI(talib): 74.88
2345.TW, Close: 781.00, RSI(talib): 62.23
6191.TW, Close: 86.40, RSI(talib): 69.08
3665.TW, Close: 868.00, RSI(talib): 74.36
1210.TW, Close: 66.00, RSI(talib): 68.41
6196.TW, Close: 190.00, RSI(talib): 66.18
5284.TW, Close: 204.00, RSI(talib): 70.04
8210.TW, Close: 490.00, RSI(talib): 80.66
6139.TW, Close: 308.00, RSI(talib): 61.85
2539.TW, Close: 66.10, RSI(talib): 64.65
1616.TW, Close: 38.00, RSI(talib): 62.67
6914.TW, Close: 146.50, RSI(talib): 64.59
3028.TW, Close: 34.45, RSI(talib): 63.17
2597.TW, Close: 183.00, RSI(talib): 67.85
6919.TW, Close: 1330.00, RSI(talib): 82.78
--------------
2324.TW (Close: 29.0) failed (Can't get stock info: 2324.TW, Current Price: 29.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.37830284564164, 200 Day Average: None, RSI: 57.70033491299933)
2891.TW (Close: 44.400001525878906) failed (Can't get stock info: 2891.TW, Current Price: 44.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 40.069343037848924, 200 Day Average: None, RSI: 62.667373359187295)
4739.TW (Close: 51.099998474121094) failed (Can't get stock info: 4739.TW, Current Price: 51.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 51.100673592003595, 200 Day Average: None, RSI: 59.051926672204026)
2545.TW (Close: 42.099998474121094) failed (Can't get stock info: 2545.TW, Current Price: 42.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 59.7390510392015, 200 Day Average: None, RSI: 26.409312475903572)
4755.TW (Close: 115.0) failed (Can't get stock info: 4755.TW, Current Price: 115.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 113.01028848912594, 200 Day Average: None, RSI: 66.1278147551932)
1718.TW (Close: 6.21999979019165) failed (Can't get stock info: 1718.TW, Current Price: 6.21999979019165, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 6.96364963141671, 200 Day Average: None, RSI: 43.23835800895377)
5258.TW (Close: 64.0) failed (Can't get stock info: 5258.TW, Current Price: 64.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 76.63211661011633, 200 Day Average: None, RSI: 50.79173915758497)
2013.TW (Close: 44.650001525878906) failed (Can't get stock info: 2013.TW, Current Price: 44.650001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 47.761678820978986, 200 Day Average: None, RSI: 61.42702007324499)
2379.TW (Close: 575.0) failed (Can't get stock info: 2379.TW, Current Price: 575.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 535.8321167883212, 200 Day Average: None, RSI: 68.75069597734563)
8478.TW (Close: 228.5) failed (Can't get stock info: 8478.TW, Current Price: 228.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 177.52554744525548, 200 Day Average: None, RSI: 79.45309862918042)
3443.TW (Close: 1270.0) failed (Can't get stock info: 3443.TW, Current Price: 1270.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1188.321443655195, 200 Day Average: None, RSI: 72.67029391192182)
1723.TW (Close: None) failed (Can't get stock info: 1723.TW, Current Price: None, 52 Week High: 110.0, 52 Week Low: 86.7, 50 Day Average: 92.31, 150 Day Average: 93.61313896457644, 200 Day Average: 94.91, RSI: 52.50482091169483)
1712.TW (Close: 41.5) failed (Can't get stock info: 1712.TW, Current Price: 41.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 42.10726410803134, 200 Day Average: None, RSI: 46.31423855495853)
9921.TW (Close: 114.0) failed (Can't get stock info: 9921.TW, Current Price: 114.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 136.82116788321167, 200 Day Average: None, RSI: 42.47610550568391)
8454.TW (Close: 269.5) failed (Can't get stock info: 8454.TW, Current Price: 269.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 320.28200469747946, 200 Day Average: None, RSI: 35.45535243475636)
4961.TW (Close: 196.5) failed (Can't get stock info: 4961.TW, Current Price: 196.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 207.18764378902685, 200 Day Average: None, RSI: 48.31239778152741)
6164.TW (Close: 11.050000190734863) failed (Can't get stock info: 6164.TW, Current Price: 11.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.438102193122363, 200 Day Average: None, RSI: 41.01101533609371)
3005.TW (Close: 114.0) failed (Can't get stock info: 3005.TW, Current Price: 114.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 114.10072994928291, 200 Day Average: None, RSI: 36.310781978647526)
1434.TW (Close: 16.399999618530273) failed (Can't get stock info: 1434.TW, Current Price: 16.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.775547403488716, 200 Day Average: None, RSI: 53.531349697616484)
3419.TW (Close: 13.100000381469727) failed (Can't get stock info: 3419.TW, Current Price: 13.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.91021900455447, 200 Day Average: None, RSI: 41.64617190944235)
4119.TW (Close: 66.4000015258789) failed (Can't get stock info: 4119.TW, Current Price: 66.4000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 76.97018360221473, 200 Day Average: None, RSI: 51.360584631828374)
6112.TW (Close: 55.400001525878906) failed (Can't get stock info: 6112.TW, Current Price: 55.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.6281021006786, 200 Day Average: None, RSI: 64.9536801654389)
4306.TW (Close: 16.0) failed (Can't get stock info: 4306.TW, Current Price: 16.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.857299233875136, 200 Day Average: None, RSI: 50.127774539956505)
1515.TW (Close: 28.0) failed (Can't get stock info: 1515.TW, Current Price: 28.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.342362243763723, 200 Day Average: None, RSI: 42.12588771785392)
2247.TW (Close: 294.5) failed (Can't get stock info: 2247.TW, Current Price: 294.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 296.64963503649636, 200 Day Average: None, RSI: 53.35071483695953)
9927.TW (Close: 69.80000305175781) failed (Can't get stock info: 9927.TW, Current Price: 69.80000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 68.97372277809755, 200 Day Average: None, RSI: 52.51311111897533)
3450.TW (Close: 207.0) failed (Can't get stock info: 3450.TW, Current Price: 207.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 243.4017279409144, 200 Day Average: None, RSI: 53.0033021351109)
3437.TW (Close: 15.0) failed (Can't get stock info: 3437.TW, Current Price: 15.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.753284684062873, 200 Day Average: None, RSI: 43.24697123464949)
1615.TW (Close: 51.79999923706055) failed (Can't get stock info: 1615.TW, Current Price: 51.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 55.224087596809774, 200 Day Average: None, RSI: 49.204992689401536)
1597.TW (Close: 85.4000015258789) failed (Can't get stock info: 1597.TW, Current Price: 85.4000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 92.70875902941627, 200 Day Average: None, RSI: 44.370818058540316)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
3563.TW (Close: 539.0) failed (Can't get stock info: 3563.TW, Current Price: 539.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 456.7992700729927, 200 Day Average: None, RSI: 47.92400041971121)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
