--------------
Fri Jul  4 21:46:20 2025 TW Stock List
--------------
2891.TW, Close: 44.50, RSI(talib): 66.15
2884.TW, Close: 33.35, RSI(talib): 81.25
2368.TW, Close: 300.50, RSI(talib): 68.23
3596.TW, Close: 199.00, RSI(talib): 60.48
2812.TW, Close: 22.15, RSI(talib): 75.64
2838.TW, Close: 17.85, RSI(talib): 65.48
3044.TW, Close: 245.50, RSI(talib): 68.85
2404.TW, Close: 652.00, RSI(talib): 73.52
9907.TW, Close: 19.85, RSI(talib): 61.62
2383.TW, Close: 923.00, RSI(talib): 78.18
2345.TW, Close: 768.00, RSI(talib): 65.02
3665.TW, Close: 886.00, RSI(talib): 78.16
1210.TW, Close: 66.00, RSI(talib): 66.90
6196.TW, Close: 189.00, RSI(talib): 70.40
5284.TW, Close: 204.50, RSI(talib): 64.52
8210.TW, Close: 487.50, RSI(talib): 77.90
6139.TW, Close: 298.50, RSI(talib): 62.05
2539.TW, Close: 65.40, RSI(talib): 62.85
1512.TW, Close: 9.07, RSI(talib): 63.60
3052.TW, Close: 13.70, RSI(talib): 60.05
3028.TW, Close: 34.15, RSI(talib): 67.62
6558.TW, Close: 52.20, RSI(talib): 60.90
2597.TW, Close: 178.50, RSI(talib): 69.47
6919.TW, Close: 1325.00, RSI(talib): 79.45
3040.TW, Close: 66.00, RSI(talib): 92.84
--------------
2885.TW (Close: 31.75) failed (Can't get stock info: 2885.TW, Current Price: 31.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.266102199136775, 200 Day Average: None, RSI: 60.1851231956689)
2002.TW (Close: 19.25) failed (Can't get stock info: 2002.TW, Current Price: 19.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 20.84416059507941, 200 Day Average: None, RSI: 50.9995839410486)
2412.TW (Close: 130.5) failed (Can't get stock info: 2412.TW, Current Price: 130.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 123.52667642857907, 200 Day Average: None, RSI: 59.05574611618813)
6213.TW (Close: 84.9000015258789) failed (Can't get stock info: 6213.TW, Current Price: 84.9000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 73.58150095139106, 200 Day Average: None, RSI: 62.07960016617181)
3041.TW (Close: 25.5) failed (Can't get stock info: 3041.TW, Current Price: 25.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.151824951171875, 200 Day Average: None, RSI: 56.23843967198759)
3059.TW (Close: 38.45000076293945) failed (Can't get stock info: 3059.TW, Current Price: 38.45000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 38.53467143539095, 200 Day Average: None, RSI: 58.86492693461973)
4934.TW (Close: 11.050000190734863) failed (Can't get stock info: 4934.TW, Current Price: 11.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.124671553173204, 200 Day Average: None, RSI: 52.05570375877343)
9933.TW (Close: 27.200000762939453) failed (Can't get stock info: 9933.TW, Current Price: 27.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 35.32919706915417, 200 Day Average: None, RSI: 55.20462525049054)
2103.TW (Close: 17.5) failed (Can't get stock info: 2103.TW, Current Price: 17.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.011138275591996, 200 Day Average: None, RSI: 54.70577443141701)
6285.TW (Close: 116.0) failed (Can't get stock info: 6285.TW, Current Price: 116.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 125.93066450801209, 200 Day Average: None, RSI: 55.23273054280667)
5258.TW (Close: 62.29999923706055) failed (Can't get stock info: 5258.TW, Current Price: 62.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 76.44233558821853, 200 Day Average: None, RSI: 55.27813946400529)
6271.TW (Close: 106.5) failed (Can't get stock info: 6271.TW, Current Price: 106.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 114.0661182821232, 200 Day Average: None, RSI: 59.570259082024435)
6669.TW (Close: 2455.0) failed (Can't get stock info: 6669.TW, Current Price: 2455.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 2172.1763818002964, 200 Day Average: None, RSI: 53.905077836357876)
8033.TW (Close: 60.099998474121094) failed (Can't get stock info: 8033.TW, Current Price: 60.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 63.01677074571595, 200 Day Average: None, RSI: 49.1493991741472)
6164.TW (Close: 11.050000190734863) failed (Can't get stock info: 6164.TW, Current Price: 11.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.403795625171522, 200 Day Average: None, RSI: 45.03318677162342)
3038.TW (Close: 22.25) failed (Can't get stock info: 3038.TW, Current Price: 22.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.603946490879476, 200 Day Average: None, RSI: 52.46273259556936)
3047.TW (Close: 20.0) failed (Can't get stock info: 3047.TW, Current Price: 20.0, 52 Week High: 48.5, 52 Week Low: 16.65, 50 Day Average: 20.14, 150 Day Average: 24.558029105193423, 200 Day Average: 27.48, RSI: None)
4148.TW (Close: 41.95000076293945) failed (Can't get stock info: 4148.TW, Current Price: 41.95000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 45.68175191948884, 200 Day Average: None, RSI: 41.991811620388404)
4536.TW (Close: 191.0) failed (Can't get stock info: 4536.TW, Current Price: 191.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 195.56934306569343, 200 Day Average: None, RSI: 58.950719586760044)
3046.TW (Close: 48.150001525878906) failed (Can't get stock info: 3046.TW, Current Price: 48.150001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 45.83922963942925, 200 Day Average: None, RSI: 58.88713497099487)
2441.TW (Close: 59.20000076293945) failed (Can't get stock info: 2441.TW, Current Price: 59.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 58.208759085105285, 200 Day Average: None, RSI: 73.70487405340869)
3032.TW (Close: 87.5999984741211) failed (Can't get stock info: 3032.TW, Current Price: 87.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 80.8569345683077, 200 Day Average: None, RSI: 66.3330665514485)
6215.TW (Close: 99.0) failed (Can't get stock info: 6215.TW, Current Price: 99.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 99.12116795560739, 200 Day Average: None, RSI: 54.32715031307601)
4532.TW (Close: 24.649999618530273) failed (Can't get stock info: 4532.TW, Current Price: 24.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.53102185604346, 200 Day Average: None, RSI: 38.729149041264705)
3694.TW (Close: 55.70000076293945) failed (Can't get stock info: 3694.TW, Current Price: 55.70000076293945, 52 Week High: 72.0, 52 Week Low: 33.75, 50 Day Average: 52.88, 150 Day Average: 54.16350363292833, 200 Day Average: 51.5, RSI: None)
2062.TW (Close: 25.350000381469727) failed (Can't get stock info: 2062.TW, Current Price: 25.350000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.055109483482195, 200 Day Average: None, RSI: 57.0750666739883)
8374.TW (Close: 96.5) failed (Can't get stock info: 8374.TW, Current Price: 96.5, 52 Week High: 169.0, 52 Week Low: 69.3, 50 Day Average: 97.44, 150 Day Average: 109.6204380675824, 200 Day Average: 116.07, RSI: None)
8404.TW (Close: 21.200000762939453) failed (Can't get stock info: 8404.TW, Current Price: 21.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.41021898367109, 200 Day Average: None, RSI: 64.82955840932927)
4912.TW (Close: 78.0) failed (Can't get stock info: 4912.TW, Current Price: 78.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 111.99678089670891, 200 Day Average: None, RSI: 43.615757148662496)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
9911.TW (Close: 85.69999694824219) failed (Can't get stock info: 9911.TW, Current Price: 85.69999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 83.22494245097585, 200 Day Average: None, RSI: 52.55866056004926)
6838.TW (Close: 34.650001525878906) failed (Can't get stock info: 6838.TW, Current Price: 34.650001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.263503638497234, 200 Day Average: None, RSI: 58.602900498826486)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
