--------------
Wed Jul  9 22:04:40 2025 TW Stock List
--------------
2891.TW, Close: 43.90, RSI(talib): 62.07
2884.TW, Close: 34.20, RSI(talib): 85.88
2368.TW, Close: 323.00, RSI(talib): 75.93
2812.TW, Close: 22.25, RSI(talib): 78.37
2838.TW, Close: 17.75, RSI(talib): 60.57
3044.TW, Close: 252.50, RSI(talib): 67.91
2404.TW, Close: 710.00, RSI(talib): 79.23
2383.TW, Close: 957.00, RSI(talib): 74.35
6191.TW, Close: 93.70, RSI(talib): 63.67
3665.TW, Close: 934.00, RSI(talib): 73.33
2753.TW, Close: 191.00, RSI(talib): 65.77
5284.TW, Close: 207.00, RSI(talib): 60.92
8210.TW, Close: 522.00, RSI(talib): 81.82
1512.TW, Close: 8.91, RSI(talib): 74.32
3040.TW, Close: 65.50, RSI(talib): 67.19
--------------
2353.TW (Close: 29.75) failed (Can't get stock info: 2353.TW, Current Price: 29.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 34.29968644580702, 200 Day Average: None, RSI: 28.3571567428025)
1709.TW (Close: 17.649999618530273) failed (Can't get stock info: 1709.TW, Current Price: 17.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.304379539768192, 200 Day Average: None, RSI: 46.20854994387829)
3035.TW (Close: 179.5) failed (Can't get stock info: 3035.TW, Current Price: 179.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 207.159050266238, 200 Day Average: None, RSI: 52.12450544043315)
2376.TW (Close: 278.5) failed (Can't get stock info: 2376.TW, Current Price: 278.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 259.44525547445255, 200 Day Average: None, RSI: 47.27346879438028)
2607.TW (Close: 34.400001525878906) failed (Can't get stock info: 2607.TW, Current Price: 34.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.426690038973398, 200 Day Average: None, RSI: 63.63518667733157)
6285.TW (Close: 118.5) failed (Can't get stock info: 6285.TW, Current Price: 118.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 125.9959338111599, 200 Day Average: None, RSI: 53.112869469750954)
1533.TW (Close: 29.75) failed (Can't get stock info: 1533.TW, Current Price: 29.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 34.53394165874398, 200 Day Average: None, RSI: 48.530286434364164)
1904.TW (Close: 17.899999618530273) failed (Can't get stock info: 1904.TW, Current Price: 17.899999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.311325393454002, 200 Day Average: None, RSI: 56.2672595858551)
4952.TW (Close: 38.0) failed (Can't get stock info: 4952.TW, Current Price: 38.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.986653905715386, 200 Day Average: None, RSI: 34.0821162968015)
6196.TW (Close: 184.0) failed (Can't get stock info: 6196.TW, Current Price: 184.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 155.70210655936359, 200 Day Average: None, RSI: 63.827183217086144)
1471.TW (Close: 10.050000190734863) failed (Can't get stock info: 1471.TW, Current Price: 10.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.705182479245819, 200 Day Average: None, RSI: 39.652897301322795)
3454.TW (Close: 106.0) failed (Can't get stock info: 3454.TW, Current Price: 106.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 120.4846714882955, 200 Day Average: None, RSI: 38.1515844113666)
3591.TW (Close: 17.200000762939453) failed (Can't get stock info: 3591.TW, Current Price: 17.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.10227813163813, 200 Day Average: None, RSI: 32.49844300198917)
9942.TW (Close: 116.0) failed (Can't get stock info: 9942.TW, Current Price: 116.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 114.85255476680115, 200 Day Average: None, RSI: 49.38251871827451)
4137.TW (Close: 101.0) failed (Can't get stock info: 4137.TW, Current Price: 101.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 105.36191887403056, 200 Day Average: None, RSI: 36.86880264238776)
1305.TW (Close: 9.779999732971191) failed (Can't get stock info: 1305.TW, Current Price: 9.779999732971191, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.720000002506005, 200 Day Average: None, RSI: 35.92863858752901)
6142.TW (Close: 9.460000038146973) failed (Can't get stock info: 6142.TW, Current Price: 9.460000038146973, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 10.202992682909443, 200 Day Average: None, RSI: 56.85314206081631)
6698.TW (Close: 27.899999618530273) failed (Can't get stock info: 6698.TW, Current Price: 27.899999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.014963470236225, 200 Day Average: None, RSI: 38.35095130030827)
2431.TW (Close: 10.800000190734863) failed (Can't get stock info: 2431.TW, Current Price: 10.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.059489055271566, 200 Day Average: None, RSI: 39.250183549479395)
3021.TW (Close: 16.549999237060547) failed (Can't get stock info: 3021.TW, Current Price: 16.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.60255480856791, 200 Day Average: None, RSI: 38.81664986690424)
6526.TW (Close: 538.0) failed (Can't get stock info: 6526.TW, Current Price: 538.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 579.5728741945142, 200 Day Average: None, RSI: 46.68097697509013)
3605.TW (Close: 54.599998474121094) failed (Can't get stock info: 3605.TW, Current Price: 54.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.536496322520456, 200 Day Average: None, RSI: 53.51228481565814)
6446.TW (Close: 522.0) failed (Can't get stock info: 6446.TW, Current Price: 522.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 577.4014598540145, 200 Day Average: None, RSI: 45.72860752405224)
6152.TW (Close: 8.699999809265137) failed (Can't get stock info: 6152.TW, Current Price: 8.699999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 10.724598529565073, 200 Day Average: None, RSI: 49.688690832691556)
4555.TW (Close: 34.0) failed (Can't get stock info: 4555.TW, Current Price: 34.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 38.63467128781507, 200 Day Average: None, RSI: 36.969962243595155)
8429.TW (Close: 7.900000095367432) failed (Can't get stock info: 8429.TW, Current Price: 7.900000095367432, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 9.63109490819221, 200 Day Average: None, RSI: 38.19692700750357)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
6854.TW (Close: 175.5) failed (Can't get stock info: 6854.TW, Current Price: 175.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 178.1234697773509, 200 Day Average: None, RSI: 57.99299090066281)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
