--------------
Thu Jul 10 22:51:52 2025 TW Stock List
--------------
2884.TW, Close: 34.70, RSI(talib): 86.88
2368.TW, Close: 314.00, RSI(talib): 78.02
2812.TW, Close: 22.70, RSI(talib): 71.92
2404.TW, Close: 715.00, RSI(talib): 82.37
2383.TW, Close: 957.00, RSI(talib): 74.83
2345.TW, Close: 813.00, RSI(talib): 62.60
2379.TW, Close: 577.00, RSI(talib): 60.05
6191.TW, Close: 91.30, RSI(talib): 68.02
3665.TW, Close: 911.00, RSI(talib): 78.67
2753.TW, Close: 189.00, RSI(talib): 69.34
5284.TW, Close: 214.00, RSI(talib): 62.31
8210.TW, Close: 533.00, RSI(talib): 82.27
1512.TW, Close: 8.80, RSI(talib): 62.95
6691.TW, Close: 465.50, RSI(talib): 62.01
2427.TW, Close: 29.05, RSI(talib): 61.40
3040.TW, Close: 64.00, RSI(talib): 67.33
--------------
2324.TW (Close: 28.600000381469727) failed (Can't get stock info: 2324.TW, Current Price: 28.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.0751641684205, 200 Day Average: None, RSI: 55.67991012116254)
2317.TW (Close: 161.5) failed (Can't get stock info: 2317.TW, Current Price: 161.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 163.13138686131387, 200 Day Average: None, RSI: 53.94133453131605)
2801.TW (Close: 19.899999618530273) failed (Can't get stock info: 2801.TW, Current Price: 19.899999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.13540148212962, 200 Day Average: None, RSI: 78.30053169057419)
1709.TW (Close: 17.549999237060547) failed (Can't get stock info: 1709.TW, Current Price: 17.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.27554741741097, 200 Day Average: None, RSI: 43.58784654835914)
3035.TW (Close: 177.0) failed (Can't get stock info: 3035.TW, Current Price: 177.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 206.8113182791828, 200 Day Average: None, RSI: 47.048042558087026)
3714.TW (Close: 34.75) failed (Can't get stock info: 3714.TW, Current Price: 34.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 39.06875518464694, 200 Day Average: None, RSI: 49.828709426832226)
4938.TW (Close: 78.9000015258789) failed (Can't get stock info: 4938.TW, Current Price: 78.9000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 87.47080280833, 200 Day Average: None, RSI: 47.029119543015184)
2208.TW (Close: 17.600000381469727) failed (Can't get stock info: 2208.TW, Current Price: 17.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.489416059786386, 200 Day Average: None, RSI: 48.533178912716515)
2845.TW (Close: 13.050000190734863) failed (Can't get stock info: 2845.TW, Current Price: 13.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.161313864436464, 200 Day Average: None, RSI: 48.77731439172337)
2308.TW (Close: 482.5) failed (Can't get stock info: 2308.TW, Current Price: 482.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 383.775111734432, 200 Day Average: None, RSI: 72.2526518230103)
3712.TW (Close: 46.099998474121094) failed (Can't get stock info: 3712.TW, Current Price: 46.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.53649626683145, 200 Day Average: None, RSI: 39.591336272606675)
1711.TW (Close: 15.199999809265137) failed (Can't get stock info: 1711.TW, Current Price: 15.199999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.614144109461428, 200 Day Average: None, RSI: 38.841444879120715)
3011.TW (Close: 12.399999618530273) failed (Can't get stock info: 3011.TW, Current Price: 12.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.124452535253372, 200 Day Average: None, RSI: 52.7626408837486)
6515.TW (Close: 1125.0) failed (Can't get stock info: 6515.TW, Current Price: 1125.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1098.905607126055, 200 Day Average: None, RSI: 46.255796883472925)
6288.TW (Close: 18.600000381469727) failed (Can't get stock info: 6288.TW, Current Price: 18.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 22.814236327679488, 200 Day Average: None, RSI: 38.09327531397212)
3013.TW (Close: 124.0) failed (Can't get stock info: 3013.TW, Current Price: 124.0, 52 Week High: 176.0, 52 Week Low: 76.1, 50 Day Average: 111.42, 150 Day Average: 121.6138687133789, 200 Day Average: 129.44, RSI: None)
6164.TW (Close: 10.5) failed (Can't get stock info: 6164.TW, Current Price: 10.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.71990079949372, 200 Day Average: None, RSI: 39.21807249686097)
2385.TW (Close: 131.5) failed (Can't get stock info: 2385.TW, Current Price: 131.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 146.08503929193873, 200 Day Average: None, RSI: 41.4521208523728)
3005.TW (Close: 115.0) failed (Can't get stock info: 3005.TW, Current Price: 115.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 114.33065695658217, 200 Day Average: None, RSI: 47.98929138703134)
2332.TW (Close: 17.299999237060547) failed (Can't get stock info: 2332.TW, Current Price: 17.299999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.59638830867127, 200 Day Average: None, RSI: 55.082465615681684)
2375.TW (Close: 55.099998474121094) failed (Can't get stock info: 2375.TW, Current Price: 55.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 61.49489056106901, 200 Day Average: None, RSI: 41.25383517948947)
3029.TW (Close: 116.0) failed (Can't get stock info: 3029.TW, Current Price: 116.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 125.81642429323962, 200 Day Average: None, RSI: 52.437548727182495)
2231.TW (Close: 68.80000305175781) failed (Can't get stock info: 2231.TW, Current Price: 68.80000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 86.6952786410812, 200 Day Average: None, RSI: 40.83107871683476)
2530.TW (Close: 31.399999618530273) failed (Can't get stock info: 2530.TW, Current Price: 31.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 36.1586470499526, 200 Day Average: None, RSI: 38.18221162442564)
5607.TW (Close: 44.25) failed (Can't get stock info: 5607.TW, Current Price: 44.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 40.46058393046804, 200 Day Average: None, RSI: 59.351652669845556)
1409.TW (Close: 12.149999618530273) failed (Can't get stock info: 1409.TW, Current Price: 12.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.776642339943098, 200 Day Average: None, RSI: 44.34056202352762)
3338.TW (Close: 50.599998474121094) failed (Can't get stock info: 3338.TW, Current Price: 50.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.06238848275512, 200 Day Average: None, RSI: 47.741423628761936)
9934.TW (Close: 9.720000267028809) failed (Can't get stock info: 9934.TW, Current Price: 9.720000267028809, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.90045873266067, 200 Day Average: None, RSI: 38.37835702695888)
2488.TW (Close: 45.75) failed (Can't get stock info: 2488.TW, Current Price: 45.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 51.147445205354344, 200 Day Average: None, RSI: 45.824137556498805)
6914.TW (Close: 144.5) failed (Can't get stock info: 6914.TW, Current Price: 144.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 134.94160583941607, 200 Day Average: None, RSI: 50.89937880019401)
6834.TW (Close: 30.600000381469727) failed (Can't get stock info: 6834.TW, Current Price: 30.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.289605398247712, 200 Day Average: None, RSI: 44.03397107103771)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
