--------------
Fri Jul 11 21:13:20 2025 TW Stock List
--------------
2884.TW, Close: 34.80, RSI(talib): 88.98
2368.TW, Close: 310.50, RSI(talib): 70.15
2812.TW, Close: 22.55, RSI(talib): 77.82
2838.TW, Close: 18.40, RSI(talib): 60.85
2404.TW, Close: 734.00, RSI(talib): 82.91
2383.TW, Close: 941.00, RSI(talib): 74.83
2345.TW, Close: 797.00, RSI(talib): 65.45
2379.TW, Close: 578.00, RSI(talib): 61.32
6191.TW, Close: 93.00, RSI(talib): 62.50
3665.TW, Close: 896.00, RSI(talib): 72.16
2059.TW, Close: 2120.00, RSI(talib): 60.07
6669.TW, Close: 2605.00, RSI(talib): 61.04
2753.TW, Close: 189.00, RSI(talib): 65.16
5284.TW, Close: 212.00, RSI(talib): 66.77
8210.TW, Close: 527.00, RSI(talib): 81.62
1512.TW, Close: 8.58, RSI(talib): 60.57
6691.TW, Close: 473.00, RSI(talib): 62.33
2427.TW, Close: 29.05, RSI(talib): 60.30
3052.TW, Close: 13.55, RSI(talib): 62.01
3040.TW, Close: 63.70, RSI(talib): 62.98
--------------
2891.TW (Close: None) failed (Can't get stock info: 2891.TW, Current Price: None, 52 Week High: 44.95, 52 Week Low: 31.5, 50 Day Average: 42.26, 150 Day Average: 40.297445311163465, 200 Day Average: 39.36, RSI: 58.10330281456313)
2897.TW (Close: 9.140000343322754) failed (Can't get stock info: 2897.TW, Current Price: 9.140000343322754, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 9.126047245777436, 200 Day Average: None, RSI: 55.613484879335616)
2359.TW (Close: 132.0) failed (Can't get stock info: 2359.TW, Current Price: 132.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 141.96060202939668, 200 Day Average: None, RSI: 41.748378815994926)
3023.TW (Close: 227.5) failed (Can't get stock info: 3023.TW, Current Price: 227.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 246.83211678832117, 200 Day Average: None, RSI: 52.3845442793642)
1217.TW (Close: 10.649999618530273) failed (Can't get stock info: 1217.TW, Current Price: 10.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.222798284823007, 200 Day Average: None, RSI: 40.365715134225894)
2614.TW (Close: 15.800000190734863) failed (Can't get stock info: 2614.TW, Current Price: 15.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.508364691351453, 200 Day Average: None, RSI: 48.988891512548165)
2010.TW (Close: 18.399999618530273) failed (Can't get stock info: 2010.TW, Current Price: 18.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.142923828459136, 200 Day Average: None, RSI: 33.02275670770132)
3016.TW (Close: None) failed (Can't get stock info: 3016.TW, Current Price: None, 52 Week High: 73.0, 52 Week Low: 27.1, 50 Day Average: 32.71, 150 Day Average: 37.30317449917759, 200 Day Average: 42.64, RSI: 46.39276290604133)
6257.TW (Close: 77.19999694824219) failed (Can't get stock info: 6257.TW, Current Price: 77.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 70.26393361335253, 200 Day Average: None, RSI: 55.73349614998384)
2032.TW (Close: 13.800000190734863) failed (Can't get stock info: 2032.TW, Current Price: 13.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.39356467671638, 200 Day Average: None, RSI: 39.609602276695846)
3013.TW (Close: 123.5) failed (Can't get stock info: 3013.TW, Current Price: 123.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 121.43503659659058, 200 Day Average: None, RSI: 51.859922255654766)
3356.TW (Close: 49.20000076293945) failed (Can't get stock info: 3356.TW, Current Price: 49.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.99890515404026, 200 Day Average: None, RSI: 43.63899554263623)
6456.TW (Close: 40.900001525878906) failed (Can't get stock info: 6456.TW, Current Price: 40.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 48.00912405974673, 200 Day Average: None, RSI: 38.09442619511431)
1447.TW (Close: 5.949999809265137) failed (Can't get stock info: 1447.TW, Current Price: 5.949999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 6.666277370313658, 200 Day Average: None, RSI: 36.873601189500796)
2375.TW (Close: 55.900001525878906) failed (Can't get stock info: 2375.TW, Current Price: 55.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 61.38978106088012, 200 Day Average: None, RSI: 39.502587654726526)
2420.TW (Close: 53.5) failed (Can't get stock info: 2420.TW, Current Price: 53.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 58.267883133714214, 200 Day Average: None, RSI: 54.29885964710086)
2028.TW (Close: 18.549999237060547) failed (Can't get stock info: 2028.TW, Current Price: 18.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 20.13484196071207, 200 Day Average: None, RSI: 58.456694317577465)
1409.TW (Close: 12.300000190734863) failed (Can't get stock info: 1409.TW, Current Price: 12.300000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.75, 200 Day Average: None, RSI: 44.34056202352762)
4119.TW (Close: 62.20000076293945) failed (Can't get stock info: 4119.TW, Current Price: 62.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 75.73277806191548, 200 Day Average: None, RSI: 35.05002937749581)
2547.TW (Close: 12.300000190734863) failed (Can't get stock info: 2547.TW, Current Price: 12.300000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.2012867196633, 200 Day Average: None, RSI: 35.90472610263784)
5531.TW (Close: 9.130000114440918) failed (Can't get stock info: 5531.TW, Current Price: 9.130000114440918, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 10.209197072217064, 200 Day Average: None, RSI: 29.891846899908042)
6657.TW (Close: 61.5) failed (Can't get stock info: 6657.TW, Current Price: 61.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 63.20839409932603, 200 Day Average: None, RSI: 36.989186789421325)
5519.TW (Close: 28.850000381469727) failed (Can't get stock info: 5519.TW, Current Price: 28.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.176599948075566, 200 Day Average: None, RSI: 23.17333280449252)
3550.TW (Close: 14.0) failed (Can't get stock info: 3550.TW, Current Price: 14.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.123357605760114, 200 Day Average: None, RSI: 46.279176747387154)
9935.TW (Close: 20.950000762939453) failed (Can't get stock info: 9935.TW, Current Price: 20.950000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 25.552589862015996, 200 Day Average: None, RSI: 33.73253848866467)
9924.TW (Close: 46.29999923706055) failed (Can't get stock info: 9924.TW, Current Price: 46.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 47.15283361838682, 200 Day Average: None, RSI: 47.95621854757617)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
