--------------
Thu Jul 17 21:32:52 2025 TW Stock List
--------------
2884.TW, Close: 35.25, RSI(talib): 88.56
2801.TW, Close: 20.60, RSI(talib): 85.33
2368.TW, Close: 319.50, RSI(talib): 70.05
2838.TW, Close: 18.35, RSI(talib): 63.70
2404.TW, Close: 736.00, RSI(talib): 72.50
2383.TW, Close: 973.00, RSI(talib): 73.56
3036.TW, Close: 133.00, RSI(talib): 60.07
3661.TW, Close: 3755.00, RSI(talib): 74.68
2379.TW, Close: 584.00, RSI(talib): 61.59
3665.TW, Close: 862.00, RSI(talib): 64.29
2753.TW, Close: 194.00, RSI(talib): 64.41
8210.TW, Close: 539.00, RSI(talib): 80.74
6139.TW, Close: 342.50, RSI(talib): 67.47
6691.TW, Close: 477.00, RSI(talib): 60.26
2427.TW, Close: 30.75, RSI(talib): 60.45
3694.TW, Close: 61.40, RSI(talib): 61.09
3528.TW, Close: 87.50, RSI(talib): 62.93
3040.TW, Close: 67.20, RSI(talib): 68.53
--------------
4919.TW (Close: 72.5999984741211) failed (Can't get stock info: 4919.TW, Current Price: 72.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 80.8613141749027, 200 Day Average: None, RSI: 46.57710949315151)
4739.TW (Close: 53.5) failed (Can't get stock info: 4739.TW, Current Price: 53.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 50.43485892080042, 200 Day Average: None, RSI: 64.28263994599261)
2103.TW (Close: 17.149999618530273) failed (Can't get stock info: 2103.TW, Current Price: 17.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.755293532879683, 200 Day Average: None, RSI: 36.03054253775742)
1722.TW (Close: 54.0) failed (Can't get stock info: 1722.TW, Current Price: 54.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 52.33138684460717, 200 Day Average: None, RSI: 46.106216562312916)
1514.TW (Close: 106.0) failed (Can't get stock info: 1514.TW, Current Price: 106.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 103.56058385250343, 200 Day Average: None, RSI: 40.83100764703194)
2457.TW (Close: 22.549999237060547) failed (Can't get stock info: 2457.TW, Current Price: 22.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 28.351459948685918, 200 Day Average: None, RSI: 41.06145139790183)
2484.TW (Close: 21.649999618530273) failed (Can't get stock info: 2484.TW, Current Price: 21.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 23.05656931522119, 200 Day Average: None, RSI: 55.76833304957168)
2405.TW (Close: 15.699999809265137) failed (Can't get stock info: 2405.TW, Current Price: 15.699999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.30619655386375, 200 Day Average: None, RSI: 42.67344661866933)
6196.TW (Close: 208.0) failed (Can't get stock info: 6196.TW, Current Price: 208.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 158.0671556013344, 200 Day Average: None, RSI: 74.38242021515097)
8926.TW (Close: 44.54999923706055) failed (Can't get stock info: 8926.TW, Current Price: 44.54999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 40.60411533996137, 200 Day Average: None, RSI: 64.44846621341249)
4967.TW (Close: 74.0999984741211) failed (Can't get stock info: 4967.TW, Current Price: 74.0999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 78.21094872133575, 200 Day Average: None, RSI: 46.67176889784484)
6592.TW (Close: 65.30000305175781) failed (Can't get stock info: 6592.TW, Current Price: 65.30000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 71.01881567405088, 200 Day Average: None, RSI: 38.885950154424584)
2033.TW (Close: 15.5) failed (Can't get stock info: 2033.TW, Current Price: 15.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.840145981224783, 200 Day Average: None, RSI: 29.68798624947525)
4976.TW (Close: 27.200000762939453) failed (Can't get stock info: 4976.TW, Current Price: 27.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.510218961395488, 200 Day Average: None, RSI: 35.67860126835805)
4119.TW (Close: 63.20000076293945) failed (Can't get stock info: 4119.TW, Current Price: 63.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 74.9749920698848, 200 Day Average: None, RSI: 37.584383691503554)
3715.TW (Close: 61.79999923706055) failed (Can't get stock info: 3715.TW, Current Price: 61.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.65790087289184, 200 Day Average: None, RSI: 79.72563917865637)
6753.TW (Close: 99.80000305175781) failed (Can't get stock info: 6753.TW, Current Price: 99.80000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 103.5970802585574, 200 Day Average: None, RSI: 44.76663170769377)
3376.TW (Close: 214.5) failed (Can't get stock info: 3376.TW, Current Price: 214.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 214.83576642335765, 200 Day Average: None, RSI: 51.36522223868327)
9934.TW (Close: 9.800000190734863) failed (Can't get stock info: 9934.TW, Current Price: 9.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.760432340802938, 200 Day Average: None, RSI: 38.63378954524804)
3308.TW (Close: 17.700000762939453) failed (Can't get stock info: 3308.TW, Current Price: 17.700000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.816058367708305, 200 Day Average: None, RSI: 47.150999366697384)
1603.TW (Close: 38.849998474121094) failed (Can't get stock info: 1603.TW, Current Price: 38.849998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 36.232116894130286, 200 Day Average: None, RSI: 49.789569693922836)
2816.TW (Close: 25.700000762939453) failed (Can't get stock info: 2816.TW, Current Price: 25.700000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.908091176165282, 200 Day Average: None, RSI: 50.98084721539872)
1339.TW (Close: 49.099998474121094) failed (Can't get stock info: 1339.TW, Current Price: 49.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.38065680622184, 200 Day Average: None, RSI: 40.412109536907444)
6901.TW (Close: 20.549999237060547) failed (Can't get stock info: 6901.TW, Current Price: 20.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.244890574991267, 200 Day Average: None, RSI: 42.756364763448914)
8039.TW (Close: 48.45000076293945) failed (Can't get stock info: 8039.TW, Current Price: 48.45000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 43.37387888274924, 200 Day Average: None, RSI: 62.79280564332416)
3605.TW (Close: 61.29999923706055) failed (Can't get stock info: 3605.TW, Current Price: 61.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.83211673263216, 200 Day Average: None, RSI: 58.760678599342285)
3048.TW (Close: 27.200000762939453) failed (Can't get stock info: 3048.TW, Current Price: 27.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.44014588237679, 200 Day Average: None, RSI: 52.86902681078831)
6152.TW (Close: 8.600000381469727) failed (Can't get stock info: 6152.TW, Current Price: 8.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 10.555328452674141, 200 Day Average: None, RSI: 45.1043241507431)
5484.TW (Close: 36.349998474121094) failed (Can't get stock info: 5484.TW, Current Price: 36.349998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 46.92627748085634, 200 Day Average: None, RSI: 44.173209680688366)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
8072.TW (Close: 42.25) failed (Can't get stock info: 8072.TW, Current Price: 42.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 35.20126703359785, 200 Day Average: None, RSI: 36.719841411718896)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
