--------------
Fri Jul 18 21:36:43 2025 TW Stock List
--------------
2884.TW, Close: 35.00, RSI(talib): 88.56
2801.TW, Close: 20.60, RSI(talib): 85.33
2368.TW, Close: 330.00, RSI(talib): 70.81
2812.TW, Close: 22.35, RSI(talib): 64.37
2838.TW, Close: 18.30, RSI(talib): 63.70
2404.TW, Close: 759.00, RSI(talib): 78.02
2383.TW, Close: 1025.00, RSI(talib): 70.22
3661.TW, Close: 3930.00, RSI(talib): 78.08
2379.TW, Close: 585.00, RSI(talib): 62.93
3665.TW, Close: 871.00, RSI(talib): 64.05
2059.TW, Close: 2415.00, RSI(talib): 63.32
6206.TW, Close: 137.50, RSI(talib): 65.53
2439.TW, Close: 119.50, RSI(talib): 62.86
2753.TW, Close: 193.00, RSI(talib): 61.29
8210.TW, Close: 542.00, RSI(talib): 81.61
6139.TW, Close: 345.00, RSI(talib): 74.62
6691.TW, Close: 490.00, RSI(talib): 63.27
2427.TW, Close: 29.60, RSI(talib): 71.46
3694.TW, Close: 59.70, RSI(talib): 65.54
3605.TW, Close: 60.60, RSI(talib): 61.03
2597.TW, Close: 189.00, RSI(talib): 63.12
3528.TW, Close: 86.30, RSI(talib): 64.42
3040.TW, Close: 67.90, RSI(talib): 67.82
--------------
2408.TW (Close: 42.25) failed (Can't get stock info: 2408.TW, Current Price: 42.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 39.5529197358737, 200 Day Average: None, RSI: 35.853551606095806)
2027.TW (Close: 34.25) failed (Can't get stock info: 2027.TW, Current Price: 34.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 38.18628980817586, 200 Day Average: None, RSI: 59.219043719462924)
2912.TW (Close: 263.5) failed (Can't get stock info: 2912.TW, Current Price: 263.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 259.86131386861314, 200 Day Average: None, RSI: 56.54196649132359)
6806.TW (Close: 86.19999694824219) failed (Can't get stock info: 6806.TW, Current Price: 86.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 95.68211904929503, 200 Day Average: None, RSI: 54.869423123292435)
2006.TW (Close: 64.5) failed (Can't get stock info: 2006.TW, Current Price: 64.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 66.22764943812015, 200 Day Average: None, RSI: 49.878888293499465)
2642.TW (Close: 25.950000762939453) failed (Can't get stock info: 2642.TW, Current Price: 25.950000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.8169446095933, 200 Day Average: None, RSI: 47.41664904447167)
2108.TW (Close: 23.600000381469727) failed (Can't get stock info: 2108.TW, Current Price: 23.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 28.667363800271584, 200 Day Average: None, RSI: 42.179166473207694)
6005.TW (Close: 20.700000762939453) failed (Can't get stock info: 6005.TW, Current Price: 20.700000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 23.448744947892905, 200 Day Average: None, RSI: 50.1511828806868)
3653.TW (Close: 1485.0) failed (Can't get stock info: 3653.TW, Current Price: 1485.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1266.926309181826, 200 Day Average: None, RSI: 53.75251299007417)
8261.TW (Close: 85.5) failed (Can't get stock info: 8261.TW, Current Price: 85.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 79.54510406160007, 200 Day Average: None, RSI: 61.267634308648525)
3443.TW (Close: 1240.0) failed (Can't get stock info: 3443.TW, Current Price: 1240.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1183.2631849302863, 200 Day Average: None, RSI: 55.30070453964847)
6670.TW (Close: 282.0) failed (Can't get stock info: 6670.TW, Current Price: 282.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 306.4821496671134, 200 Day Average: None, RSI: 44.968160872579276)
3686.TW (Close: 15.550000190734863) failed (Can't get stock info: 3686.TW, Current Price: 15.550000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.89233570377322, 200 Day Average: None, RSI: 47.707598589584045)
3043.TW (Close: 23.450000762939453) failed (Can't get stock info: 3043.TW, Current Price: 23.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.377737198432868, 200 Day Average: None, RSI: 50.343184036205066)
3591.TW (Close: 17.850000381469727) failed (Can't get stock info: 3591.TW, Current Price: 17.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 20.726672151663006, 200 Day Average: None, RSI: 52.153816967134745)
2420.TW (Close: 55.70000076293945) failed (Can't get stock info: 2420.TW, Current Price: 55.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 57.999999916466486, 200 Day Average: None, RSI: 65.39461245544817)
4916.TW (Close: 40.70000076293945) failed (Can't get stock info: 4916.TW, Current Price: 40.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 40.412773661369826, 200 Day Average: None, RSI: 50.49601780567249)
2464.TW (Close: 56.400001525878906) failed (Can't get stock info: 2464.TW, Current Price: 56.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 66.6494553837463, 200 Day Average: None, RSI: 45.89180640968033)
6715.TW (Close: 115.5) failed (Can't get stock info: 6715.TW, Current Price: 115.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 132.58029197080293, 200 Day Average: None, RSI: 51.09915827609666)
1809.TW (Close: 15.300000190734863) failed (Can't get stock info: 1809.TW, Current Price: 15.300000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.24847746243442, 200 Day Average: None, RSI: 55.18614851605741)
2022.TW (Close: 7.5) failed (Can't get stock info: 2022.TW, Current Price: 7.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 8.660291929314607, 200 Day Average: None, RSI: 32.42467797032339)
1108.TW (Close: 14.899999618530273) failed (Can't get stock info: 1108.TW, Current Price: 14.899999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.671897825533456, 200 Day Average: None, RSI: 47.87611056466764)
1540.TW (Close: 28.149999618530273) failed (Can't get stock info: 1540.TW, Current Price: 28.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.642646023826877, 200 Day Average: None, RSI: 50.57372373969251)
3021.TW (Close: 17.100000381469727) failed (Can't get stock info: 3021.TW, Current Price: 17.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 20.983576698024777, 200 Day Average: None, RSI: 44.350034175539705)
1307.TW (Close: 34.400001525878906) failed (Can't get stock info: 1307.TW, Current Price: 34.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 37.37669586961287, 200 Day Average: None, RSI: 54.47585504798267)
2852.TW (Close: 25.399999618530273) failed (Can't get stock info: 2852.TW, Current Price: 25.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 25.42911526756565, 200 Day Average: None, RSI: 38.602157688664455)
2528.TW (Close: 30.100000381469727) failed (Can't get stock info: 2528.TW, Current Price: 30.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 37.583891680640896, 200 Day Average: None, RSI: 34.29178386674203)
2762.TW (Close: 76.0999984741211) failed (Can't get stock info: 2762.TW, Current Price: 76.0999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 82.57047321848626, 200 Day Average: None, RSI: 36.11362762339063)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
