--------------
Mon Jul 21 21:10:34 2025 TW Stock List
--------------
2884.TW, Close: 34.20, RSI(talib): 80.71
2368.TW, Close: 332.50, RSI(talib): 73.35
2812.TW, Close: 22.15, RSI(talib): 62.00
2838.TW, Close: 18.00, RSI(talib): 61.85
2404.TW, Close: 765.00, RSI(talib): 80.51
2383.TW, Close: 1015.00, RSI(talib): 76.18
3661.TW, Close: 3780.00, RSI(talib): 80.51
2379.TW, Close: 577.00, RSI(talib): 62.59
6191.TW, Close: 95.30, RSI(talib): 61.21
3665.TW, Close: 868.00, RSI(talib): 65.41
2059.TW, Close: 2500.00, RSI(talib): 71.23
2439.TW, Close: 120.00, RSI(talib): 62.47
6139.TW, Close: 343.50, RSI(talib): 75.58
6691.TW, Close: 486.00, RSI(talib): 67.17
6215.TW, Close: 117.00, RSI(talib): 65.49
2597.TW, Close: 187.00, RSI(talib): 69.31
3040.TW, Close: 67.00, RSI(talib): 69.70
--------------
2357.TW (Close: 640.0) failed (Can't get stock info: 2357.TW, Current Price: 640.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 601.6937338279112, 200 Day Average: None, RSI: 50.54946434867754)
2376.TW (Close: 290.5) failed (Can't get stock info: 2376.TW, Current Price: 290.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 260.1824817518248, 200 Day Average: None, RSI: 63.78126874611929)
3037.TW (Close: 133.5) failed (Can't get stock info: 3037.TW, Current Price: 133.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 111.88377341388787, 200 Day Average: None, RSI: 69.66539151424958)
9907.TW (Close: 17.799999237060547) failed (Can't get stock info: 9907.TW, Current Price: 17.799999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.784299725163592, 200 Day Average: None, RSI: 36.41200345411912)
1219.TW (Close: 14.649999618530273) failed (Can't get stock info: 1219.TW, Current Price: 14.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.366946888666083, 200 Day Average: None, RSI: 53.335026831147246)
2024.TW (Close: 17.600000381469727) failed (Can't get stock info: 2024.TW, Current Price: 17.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.26021907277351, 200 Day Average: None, RSI: 60.74949240772618)
1453.TW (Close: 13.0) failed (Can't get stock info: 1453.TW, Current Price: 13.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.985036585452782, 200 Day Average: None, RSI: 31.8896058068722)
2104.TW (Close: 10.75) failed (Can't get stock info: 2104.TW, Current Price: 10.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.637226271803362, 200 Day Average: None, RSI: 50.05262038585347)
1802.TW (Close: 16.850000381469727) failed (Can't get stock info: 1802.TW, Current Price: 16.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.942335776168935, 200 Day Average: None, RSI: 59.67761057099089)
8112.TW (Close: 43.0) failed (Can't get stock info: 8112.TW, Current Price: 43.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 51.22784710626532, 200 Day Average: None, RSI: 42.07452746866897)
3008.TW (Close: 2455.0) failed (Can't get stock info: 3008.TW, Current Price: 2455.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 2405.76452904026, 200 Day Average: None, RSI: 64.27706965791094)
1528.TW (Close: 12.649999618530273) failed (Can't get stock info: 1528.TW, Current Price: 12.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.02554747309998, 200 Day Average: None, RSI: 48.978685239077265)
2889.TW (Close: 16.399999618530273) failed (Can't get stock info: 2889.TW, Current Price: 16.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.658759165854349, 200 Day Average: None, RSI: 71.08991237577331)
6670.TW (Close: 284.5) failed (Can't get stock info: 6670.TW, Current Price: 284.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 306.5034567283018, 200 Day Average: None, RSI: 42.50711096264833)
2302.TW (Close: 15.350000381469727) failed (Can't get stock info: 2302.TW, Current Price: 15.350000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.63652129068862, 200 Day Average: None, RSI: 42.81399701433672)
1519.TW (Close: 632.0) failed (Can't get stock info: 1519.TW, Current Price: 632.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 513.5364963503649, 200 Day Average: None, RSI: 67.95044654900222)
4763.TW (Close: 82.9000015258789) failed (Can't get stock info: 4763.TW, Current Price: 82.9000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 85.45592181351932, 200 Day Average: None, RSI: 44.93681222376805)
1434.TW (Close: 16.850000381469727) failed (Can't get stock info: 1434.TW, Current Price: 16.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.520802894647975, 200 Day Average: None, RSI: 61.3758509857376)
3033.TW (Close: 34.349998474121094) failed (Can't get stock info: 3033.TW, Current Price: 34.349998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 33.72335777839605, 200 Day Average: None, RSI: 61.07150093693613)
8210.TW (Close: 540.0) failed (Can't get stock info: 8210.TW, Current Price: 540.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 316.978102189781, 200 Day Average: None, RSI: 80.31755947539264)
1618.TW (Close: 50.29999923706055) failed (Can't get stock info: 1618.TW, Current Price: 50.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 45.74416063127727, 200 Day Average: None, RSI: 58.173694637457594)
3051.TW (Close: 25.200000762939453) failed (Can't get stock info: 3051.TW, Current Price: 25.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.479197147118786, 200 Day Average: None, RSI: 39.150163088305035)
8110.TW (Close: 13.0) failed (Can't get stock info: 8110.TW, Current Price: 13.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.221099867437879, 200 Day Average: None, RSI: 51.15002690129551)
1608.TW (Close: 27.549999237060547) failed (Can't get stock info: 1608.TW, Current Price: 27.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.80475711126397, 200 Day Average: None, RSI: 68.69886550686223)
1702.TW (Close: 41.349998474121094) failed (Can't get stock info: 1702.TW, Current Price: 41.349998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.8583167138761, 200 Day Average: None, RSI: 49.38049639669333)
2015.TW (Close: 66.19999694824219) failed (Can't get stock info: 2015.TW, Current Price: 66.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 64.6957573995103, 200 Day Average: None, RSI: 52.08339581770345)
1604.TW (Close: 25.100000381469727) failed (Can't get stock info: 1604.TW, Current Price: 25.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.19621732113135, 200 Day Average: None, RSI: 39.94167706934066)
1324.TW (Close: 11.449999809265137) failed (Can't get stock info: 1324.TW, Current Price: 11.449999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.84051094612066, 200 Day Average: None, RSI: 59.7302846649198)
2426.TW (Close: 15.550000190734863) failed (Can't get stock info: 2426.TW, Current Price: 15.550000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.317625247649033, 200 Day Average: None, RSI: 45.70614092783452)
2506.TW (Close: 9.789999961853027) failed (Can't get stock info: 2506.TW, Current Price: 9.789999961853027, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 10.385460039124872, 200 Day Average: None, RSI: 41.780344150617985)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
