--------------
Mon Aug  4 20:51:16 2025 TW Stock List
--------------
2368.TW, Close: 362.00, RSI(talib): 82.41
3596.TW, Close: 228.50, RSI(talib): 68.03
2404.TW, Close: 823.00, RSI(talib): 75.55
2383.TW, Close: 1110.00, RSI(talib): 75.72
3661.TW, Close: 3755.00, RSI(talib): 65.63
6191.TW, Close: 111.50, RSI(talib): 73.98
6781.TW, Close: 1215.00, RSI(talib): 71.10
3665.TW, Close: 850.00, RSI(talib): 66.15
2059.TW, Close: 2600.00, RSI(talib): 78.90
6196.TW, Close: 199.00, RSI(talib): 62.65
2364.TW, Close: 104.50, RSI(talib): 66.28
4916.TW, Close: 59.50, RSI(talib): 86.31
6691.TW, Close: 424.00, RSI(talib): 62.48
3032.TW, Close: 111.50, RSI(talib): 75.13
6215.TW, Close: 117.00, RSI(talib): 60.98
2429.TW, Close: 88.40, RSI(talib): 77.12
4722.TW, Close: 71.00, RSI(talib): 60.14
3040.TW, Close: 66.40, RSI(talib): 62.98
--------------
2887.TW (Close: 16.600000381469727) failed (Can't get stock info: 2887.TW, Current Price: 16.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.870802900216876, 200 Day Average: None, RSI: 42.72568305802562)
3035.TW (Close: 155.5) failed (Can't get stock info: 3035.TW, Current Price: 155.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 200.28972542198906, 200 Day Average: None, RSI: 26.236432941936343)
2417.TW (Close: 42.25) failed (Can't get stock info: 2417.TW, Current Price: 42.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 41.7108799314847, 200 Day Average: None, RSI: 56.680838089348185)
2607.TW (Close: 36.79999923706055) failed (Can't get stock info: 2607.TW, Current Price: 36.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.97558080018872, 200 Day Average: None, RSI: 51.6338596026342)
2545.TW (Close: 39.900001525878906) failed (Can't get stock info: 2545.TW, Current Price: 39.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 52.0284772441335, 200 Day Average: None, RSI: 28.13882148939492)
4915.TW (Close: 73.0) failed (Can't get stock info: 4915.TW, Current Price: 73.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 75.18492864344242, 200 Day Average: None, RSI: 46.604456268385405)
2442.TW (Close: 27.450000762939453) failed (Can't get stock info: 2442.TW, Current Price: 27.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 25.154379545337093, 200 Day Average: None, RSI: 62.5244842073343)
1477.TW (Close: 269.5) failed (Can't get stock info: 1477.TW, Current Price: 269.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 292.15836128179177, 200 Day Average: None, RSI: 58.673530989249244)
2702.TW (Close: 13.050000190734863) failed (Can't get stock info: 2702.TW, Current Price: 13.050000190734863, 52 Week High: 18.3, 52 Week Low: 11.15, 50 Day Average: 13.11, 150 Day Average: 14.441240853636804, 200 Day Average: 15.17, RSI: None)
2010.TW (Close: 19.649999618530273) failed (Can't get stock info: 2010.TW, Current Price: 19.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.398537378241546, 200 Day Average: None, RSI: 62.54580442188613)
3669.TW (Close: 34.150001525878906) failed (Can't get stock info: 3669.TW, Current Price: 34.150001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 35.24135552009527, 200 Day Average: None, RSI: 57.6502641851248)
2031.TW (Close: 40.099998474121094) failed (Can't get stock info: 2031.TW, Current Price: 40.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 42.514818706651674, 200 Day Average: None, RSI: 52.85499246559472)
2013.TW (Close: 42.849998474121094) failed (Can't get stock info: 2013.TW, Current Price: 42.849998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.582663598721915, 200 Day Average: None, RSI: 59.26029256515307)
2888.TW (Close: 11.800000190734863) failed (Can't get stock info: 2888.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.868409127900094, 200 Day Average: None, RSI: 56.86418956954067)
8261.TW (Close: 79.4000015258789) failed (Can't get stock info: 8261.TW, Current Price: 79.4000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 79.37936593494275, 200 Day Average: None, RSI: 47.56987143692222)
3011.TW (Close: 16.149999618530273) failed (Can't get stock info: 3011.TW, Current Price: 16.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.913868590863082, 200 Day Average: None, RSI: 72.16805943265328)
3019.TW (Close: 151.0) failed (Can't get stock info: 3019.TW, Current Price: 151.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 144.9872110742722, 200 Day Average: None, RSI: 49.05283735719699)
6515.TW (Close: 1075.0) failed (Can't get stock info: 6515.TW, Current Price: 1075.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1097.2921833121864, 200 Day Average: None, RSI: 51.891789937070286)
1773.TW (Close: 125.0) failed (Can't get stock info: 1773.TW, Current Price: 125.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 120.43309906451371, 200 Day Average: None, RSI: 46.98044367434914)
4551.TW (Close: 141.0) failed (Can't get stock info: 4551.TW, Current Price: 141.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 102.54412674729842, 200 Day Average: None, RSI: 51.706013885944515)
3406.TW (Close: 439.0) failed (Can't get stock info: 3406.TW, Current Price: 439.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 402.83386742807653, 200 Day Average: None, RSI: 66.09007315132726)
6414.TW (Close: 303.0) failed (Can't get stock info: 6414.TW, Current Price: 303.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 283.4316322716483, 200 Day Average: None, RSI: 58.06453880301974)
9910.TW (Close: 120.0) failed (Can't get stock info: 9910.TW, Current Price: 120.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 117.81722877669509, 200 Day Average: None, RSI: 50.03977974438754)
3686.TW (Close: 16.0) failed (Can't get stock info: 3686.TW, Current Price: 16.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.59452549036402, 200 Day Average: None, RSI: 44.04042102852309)
6550.TW (Close: 36.20000076293945) failed (Can't get stock info: 6550.TW, Current Price: 36.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 41.25510941108648, 200 Day Average: None, RSI: 37.04370335069601)
6592.TW (Close: 65.19999694824219) failed (Can't get stock info: 6592.TW, Current Price: 65.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 70.30098081157155, 200 Day Average: None, RSI: 40.57179271113581)
4155.TW (Close: 16.100000381469727) failed (Can't get stock info: 4155.TW, Current Price: 16.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.14760141999182, 200 Day Average: None, RSI: 38.266966303020354)
4572.TW (Close: None) failed (Can't get stock info: 4572.TW, Current Price: None, 52 Week High: 194.02, 52 Week Low: 131.62, 50 Day Average: 162.23, 150 Day Average: 156.79695496942006, 200 Day Average: 157.63, RSI: 63.60238221340986)
8210.TW (Close: 476.5) failed (Can't get stock info: 8210.TW, Current Price: 476.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 330.0671581630289, 200 Day Average: None, RSI: 60.0525629786966)
1810.TW (Close: 17.049999237060547) failed (Can't get stock info: 1810.TW, Current Price: 17.049999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.468223550893963, 200 Day Average: None, RSI: 65.1705472828296)
5434.TW (Close: 279.5) failed (Can't get stock info: 5434.TW, Current Price: 279.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 262.71798293956004, 200 Day Average: None, RSI: 61.69576868228157)
6209.TW (Close: 27.5) failed (Can't get stock info: 6209.TW, Current Price: 27.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.853649529227376, 200 Day Average: None, RSI: 57.24485798530621)
1310.TW (Close: 8.789999961853027) failed (Can't get stock info: 1310.TW, Current Price: 8.789999961853027, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 9.155693412697229, 200 Day Average: None, RSI: 71.82248606659887)
6757.TW (Close: 85.69999694824219) failed (Can't get stock info: 6757.TW, Current Price: 85.69999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 88.26014477273692, 200 Day Average: None, RSI: 39.40170764359034)
1324.TW (Close: 11.199999809265137) failed (Can't get stock info: 1324.TW, Current Price: 11.199999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.747810217585878, 200 Day Average: None, RSI: 53.493103674649966)
2511.TW (Close: 9.149999618530273) failed (Can't get stock info: 2511.TW, Current Price: 9.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 9.434461628433562, 200 Day Average: None, RSI: 47.70785048619581)
1615.TW (Close: 52.5) failed (Can't get stock info: 1615.TW, Current Price: 52.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.48540148769852, 200 Day Average: None, RSI: 57.790804285730346)
2524.TW (Close: 42.20000076293945) failed (Can't get stock info: 2524.TW, Current Price: 42.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.33284667634616, 200 Day Average: None, RSI: 34.563309978557896)
9906.TW (Close: 71.5) failed (Can't get stock info: 9906.TW, Current Price: 71.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 91.3131387529582, 200 Day Average: None, RSI: 34.79290940627441)
6937.TW (Close: 204.5) failed (Can't get stock info: 6937.TW, Current Price: 204.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 235.27022881055402, 200 Day Average: None, RSI: 43.39643261726523)
1531.TW (Close: 12.050000190734863) failed (Can't get stock info: 1531.TW, Current Price: 12.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.548430032103601, 200 Day Average: None, RSI: 47.856314443206905)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
3543.TW (Close: 36.79999923706055) failed (Can't get stock info: 3543.TW, Current Price: 36.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.633336610167564, 200 Day Average: None, RSI: 80.70877050194505)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
