--------------
Wed Aug  6 00:17:14 2025 TW Stock List
--------------
2892.TW, Close: 30.50, RSI(talib): 71.39
2374.TW, Close: 67.70, RSI(talib): 68.63
3059.TW, Close: 45.35, RSI(talib): 60.88
3596.TW, Close: 231.50, RSI(talib): 71.51
2404.TW, Close: 815.00, RSI(talib): 79.51
2383.TW, Close: 1125.00, RSI(talib): 76.09
6191.TW, Close: 113.00, RSI(talib): 67.33
6781.TW, Close: 1250.00, RSI(talib): 67.01
2059.TW, Close: 2725.00, RSI(talib): 71.22
8033.TW, Close: 102.00, RSI(talib): 90.27
8222.TW, Close: 52.60, RSI(talib): 61.01
2364.TW, Close: 106.50, RSI(talib): 70.82
4916.TW, Close: 59.90, RSI(talib): 90.50
2539.TW, Close: 66.80, RSI(talib): 60.76
6691.TW, Close: 431.50, RSI(talib): 66.12
3032.TW, Close: 111.50, RSI(talib): 67.68
1616.TW, Close: 36.80, RSI(talib): 63.79
2535.TW, Close: 62.20, RSI(talib): 65.51
2480.TW, Close: 167.50, RSI(talib): 61.61
3694.TW, Close: 62.10, RSI(talib): 62.89
2597.TW, Close: 170.00, RSI(talib): 67.52
2429.TW, Close: 84.70, RSI(talib): 74.58
4722.TW, Close: 71.00, RSI(talib): 61.41
--------------
2606.TW (Close: 51.900001525878906) failed (Can't get stock info: 2606.TW, Current Price: 51.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 56.169565019816375, 200 Day Average: None, RSI: 49.30087358267301)
2330.TW (Close: 1150.0) failed (Can't get stock info: 2330.TW, Current Price: 1150.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1014.722820643961, 200 Day Average: None, RSI: 58.372496515779005)
5880.TW (Close: 26.049999237060547) failed (Can't get stock info: 5880.TW, Current Price: 26.049999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.54927011475946, 200 Day Average: None, RSI: 63.30236754256805)
1708.TW (Close: 31.450000762939453) failed (Can't get stock info: 1708.TW, Current Price: 31.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 33.64193853670663, 200 Day Average: None, RSI: 46.51088501733221)
2312.TW (Close: 18.75) failed (Can't get stock info: 2312.TW, Current Price: 18.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.16836977353061, 200 Day Average: None, RSI: 48.99245841184626)
2801.TW (Close: 19.200000762939453) failed (Can't get stock info: 2801.TW, Current Price: 19.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.099160382347385, 200 Day Average: None, RSI: 68.99679349501827)
2368.TW (Close: 366.5) failed (Can't get stock info: 2368.TW, Current Price: 366.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 238.70361818188297, 200 Day Average: None, RSI: 72.31566061290087)
2812.TW (Close: 23.649999618530273) failed (Can't get stock info: 2812.TW, Current Price: 23.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 20.288321084349693, 200 Day Average: None, RSI: 72.25617274870504)
1609.TW (Close: 36.150001525878906) failed (Can't get stock info: 1609.TW, Current Price: 36.150001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 37.53585889217627, 200 Day Average: None, RSI: 47.04379873893512)
2642.TW (Close: 25.700000762939453) failed (Can't get stock info: 2642.TW, Current Price: 25.700000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.064873020144276, 200 Day Average: None, RSI: 50.66923715230666)
2906.TW (Close: 15.0) failed (Can't get stock info: 2906.TW, Current Price: 15.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.539352465720071, 200 Day Average: None, RSI: 45.9181342420696)
2345.TW (Close: 901.0) failed (Can't get stock info: 2345.TW, Current Price: 901.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 688.4750511002367, 200 Day Average: None, RSI: 70.66360315616816)
8341.TW (Close: 76.5) failed (Can't get stock info: 8341.TW, Current Price: 76.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 76.38871843101334, 200 Day Average: None, RSI: 68.35104146194861)
2888.TW (Close: 11.800000190734863) failed (Can't get stock info: 2888.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.867786298271353, 200 Day Average: None, RSI: 55.23010114455086)
2612.TW (Close: 46.95000076293945) failed (Can't get stock info: 2612.TW, Current Price: 46.95000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 42.903063196335395, 200 Day Average: None, RSI: 53.63208362061817)
3535.TW (Close: 66.19999694824219) failed (Can't get stock info: 3535.TW, Current Price: 66.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.00255480299901, 200 Day Average: None, RSI: 67.79000721283236)
6719.TW (Close: 207.0) failed (Can't get stock info: 6719.TW, Current Price: 207.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 200.82372322917854, 200 Day Average: None, RSI: 45.54624433523318)
6196.TW (Close: 201.0) failed (Can't get stock info: 6196.TW, Current Price: 201.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 163.56890490455348, 200 Day Average: None, RSI: 53.982375015178384)
2889.TW (Close: 14.699999809265137) failed (Can't get stock info: 2889.TW, Current Price: 14.699999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.076067284075883, 200 Day Average: None, RSI: 49.28541599340644)
2753.TW (Close: 188.5) failed (Can't get stock info: 2753.TW, Current Price: 188.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 171.39653460648807, 200 Day Average: None, RSI: 51.65104719497475)
2468.TW (Close: 55.29999923706055) failed (Can't get stock info: 2468.TW, Current Price: 55.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.827737223492925, 200 Day Average: None, RSI: 41.94430942256492)
6698.TW (Close: 31.5) failed (Can't get stock info: 6698.TW, Current Price: 31.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.309854034089692, 200 Day Average: None, RSI: 53.21721024956925)
6426.TW (Close: 72.5999984741211) failed (Can't get stock info: 6426.TW, Current Price: 72.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 74.19999973269275, 200 Day Average: None, RSI: 49.65756796232742)
2488.TW (Close: 46.70000076293945) failed (Can't get stock info: 2488.TW, Current Price: 46.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.8310218031389, 200 Day Average: None, RSI: 50.60126805489238)
2062.TW (Close: 24.850000381469727) failed (Can't get stock info: 2062.TW, Current Price: 24.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.617153293024884, 200 Day Average: None, RSI: 55.41252109612116)
8473.TW (Close: 33.849998474121094) failed (Can't get stock info: 8473.TW, Current Price: 33.849998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.922397279391326, 200 Day Average: None, RSI: 62.36418607749458)
4540.TW (Close: 41.150001525878906) failed (Can't get stock info: 4540.TW, Current Price: 41.150001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.38284680443088, 200 Day Average: None, RSI: 63.14142570945669)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
