--------------
Tue Aug 12 23:13:35 2025 TW Stock List
--------------
2301.TW, Close: 137.50, RSI(talib): 77.01
2374.TW, Close: 76.00, RSI(talib): 82.49
3059.TW, Close: 44.00, RSI(talib): 62.28
3596.TW, Close: 230.00, RSI(talib): 69.36
2809.TW, Close: 56.20, RSI(talib): 73.19
2812.TW, Close: 23.40, RSI(talib): 63.23
2404.TW, Close: 985.00, RSI(talib): 88.25
2383.TW, Close: 1175.00, RSI(talib): 76.90
3661.TW, Close: 4075.00, RSI(talib): 65.60
6191.TW, Close: 104.50, RSI(talib): 62.46
6781.TW, Close: 1340.00, RSI(talib): 76.56
3665.TW, Close: 964.00, RSI(talib): 67.48
2059.TW, Close: 2990.00, RSI(talib): 83.49
8033.TW, Close: 110.50, RSI(talib): 77.40
6196.TW, Close: 224.50, RSI(talib): 65.73
2364.TW, Close: 111.00, RSI(talib): 81.20
8210.TW, Close: 617.00, RSI(talib): 75.03
4916.TW, Close: 61.00, RSI(talib): 77.88
2539.TW, Close: 68.60, RSI(talib): 71.09
6691.TW, Close: 466.00, RSI(talib): 73.95
1616.TW, Close: 37.80, RSI(talib): 66.19
2630.TW, Close: 56.80, RSI(talib): 81.46
8271.TW, Close: 64.20, RSI(talib): 67.59
6215.TW, Close: 142.50, RSI(talib): 75.43
2480.TW, Close: 181.50, RSI(talib): 78.98
8021.TW, Close: 84.00, RSI(talib): 84.14
3694.TW, Close: 73.80, RSI(talib): 76.57
6914.TW, Close: 141.50, RSI(talib): 62.59
2597.TW, Close: 161.50, RSI(talib): 65.35
2429.TW, Close: 84.50, RSI(talib): 64.50
4722.TW, Close: 85.90, RSI(talib): 69.94
3528.TW, Close: 96.80, RSI(talib): 61.31
--------------
2881.TW (Close: 86.69999694824219) failed (Can't get stock info: 2881.TW, Current Price: 86.69999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 82.2258355356481, 200 Day Average: None, RSI: 66.63820152695764)
3714.TW (Close: 34.45000076293945) failed (Can't get stock info: 3714.TW, Current Price: 34.45000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 37.97837952105668, 200 Day Average: None, RSI: 39.66318817621032)
1795.TW (Close: 208.5) failed (Can't get stock info: 1795.TW, Current Price: 208.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 229.26914699582287, 200 Day Average: None, RSI: 50.87542722161022)
4934.TW (Close: 10.949999809265137) failed (Can't get stock info: 4934.TW, Current Price: 10.949999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.565912399848882, 200 Day Average: None, RSI: 53.53307684928845)
2368.TW (Close: 461.0) failed (Can't get stock info: 2368.TW, Current Price: 461.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 244.920016546319, 200 Day Average: None, RSI: 86.7513314519784)
2351.TW (Close: 80.5) failed (Can't get stock info: 2351.TW, Current Price: 80.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 76.96666901303034, 200 Day Average: None, RSI: 63.93810695222615)
1710.TW (Close: 12.5) failed (Can't get stock info: 1710.TW, Current Price: 12.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.67226279042933, 200 Day Average: None, RSI: 49.66757537429063)
8150.TW (Close: None) failed (Can't get stock info: 8150.TW, Current Price: None, 52 Week High: 39.95, 52 Week Low: 21.3, 50 Day Average: 27.39, 150 Day Average: 27.54345309125246, 200 Day Average: 29.6, RSI: 49.48907337026874)
1904.TW (Close: 18.600000381469727) failed (Can't get stock info: 1904.TW, Current Price: 18.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.252727912290254, 200 Day Average: None, RSI: 57.96598095164135)
1762.TW (Close: 28.5) failed (Can't get stock info: 1762.TW, Current Price: 28.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.881270345980234, 200 Day Average: None, RSI: 52.24556385014597)
2345.TW (Close: 1020.0) failed (Can't get stock info: 2345.TW, Current Price: 1020.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 696.7147187838589, 200 Day Average: None, RSI: 81.35407532584463)
2023.TW (Close: 14.699999809265137) failed (Can't get stock info: 2023.TW, Current Price: 14.699999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.647445254082227, 200 Day Average: None, RSI: 33.92133853638101)
2888.TW (Close: 11.800000190734863) failed (Can't get stock info: 2888.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.864523849790059, 200 Day Average: None, RSI: 55.118386068684465)
2915.TW (Close: 53.70000076293945) failed (Can't get stock info: 2915.TW, Current Price: 53.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 55.54256441993435, 200 Day Average: None, RSI: 66.15839669885713)
1723.TW (Close: 83.19999694824219) failed (Can't get stock info: 1723.TW, Current Price: 83.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 88.80760259697907, 200 Day Average: None, RSI: 31.946014868858256)
6591.TW (Close: 73.4000015258789) failed (Can't get stock info: 6591.TW, Current Price: 73.4000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 57.95731214537238, 200 Day Average: None, RSI: 67.06161802796409)
2204.TW (Close: 56.400001525878906) failed (Can't get stock info: 2204.TW, Current Price: 56.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 64.63927766006358, 200 Day Average: None, RSI: 49.72480039995275)
1539.TW (Close: 18.549999237060547) failed (Can't get stock info: 1539.TW, Current Price: 18.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 20.527372269734848, 200 Day Average: None, RSI: 42.18168842491378)
2486.TW (Close: None) failed (Can't get stock info: 2486.TW, Current Price: None, 52 Week High: 136.0, 52 Week Low: 64.2, 50 Day Average: 76.46, 150 Day Average: 86.82829568681926, 200 Day Average: 94.87, RSI: 60.48597242768694)
4536.TW (Close: 183.5) failed (Can't get stock info: 4536.TW, Current Price: 183.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 182.3748410635621, 200 Day Average: None, RSI: 45.83895056206993)
1526.TW (Close: 19.200000762939453) failed (Can't get stock info: 1526.TW, Current Price: 19.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.718248130631274, 200 Day Average: None, RSI: 42.382421067960266)
4989.TW (Close: 29.399999618530273) failed (Can't get stock info: 4989.TW, Current Price: 29.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.42043797291108, 200 Day Average: None, RSI: 72.5534009210583)
3024.TW (Close: 12.800000190734863) failed (Can't get stock info: 3024.TW, Current Price: 12.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.877679880518112, 200 Day Average: None, RSI: 48.929137736136866)
2387.TW (Close: 42.849998474121094) failed (Can't get stock info: 2387.TW, Current Price: 42.849998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 51.17288881844848, 200 Day Average: None, RSI: 38.257084622889934)
4155.TW (Close: 15.0) failed (Can't get stock info: 4155.TW, Current Price: 15.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.991520484868627, 200 Day Average: None, RSI: 34.86726642571334)
2402.TW (Close: 46.95000076293945) failed (Can't get stock info: 2402.TW, Current Price: 46.95000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 36.82905972613035, 200 Day Average: None, RSI: 79.87640447939812)
1467.TW (Close: 7.619999885559082) failed (Can't get stock info: 1467.TW, Current Price: 7.619999885559082, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 9.070510930388513, 200 Day Average: None, RSI: 18.93046935482038)
3030.TW (Close: 179.0) failed (Can't get stock info: 3030.TW, Current Price: 179.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 122.29873161594362, 200 Day Average: None, RSI: 78.05322422833171)
2929.TW (Close: 9.300000190734863) failed (Can't get stock info: 2929.TW, Current Price: 9.300000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.098686134728203, 200 Day Average: None, RSI: 42.43466568890037)
1409.TW (Close: 12.550000190734863) failed (Can't get stock info: 1409.TW, Current Price: 12.550000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.40547445394697, 200 Day Average: None, RSI: 48.765861533510865)
2022.TW (Close: 7.389999866485596) failed (Can't get stock info: 2022.TW, Current Price: 7.389999866485596, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 8.564014567075855, 200 Day Average: None, RSI: 28.941815761259377)
3032.TW (Close: 109.5) failed (Can't get stock info: 3032.TW, Current Price: 109.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 80.8759381649268, 200 Day Average: None, RSI: 68.9008644175183)
1525.TW (Close: 67.69999694824219) failed (Can't get stock info: 1525.TW, Current Price: 67.69999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 59.51139260730604, 200 Day Average: None, RSI: 64.85274193967602)
3090.TW (Close: 69.5999984741211) failed (Can't get stock info: 3090.TW, Current Price: 69.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 68.49576309649613, 200 Day Average: None, RSI: 37.16407973923512)
2905.TW (Close: 12.050000190734863) failed (Can't get stock info: 2905.TW, Current Price: 12.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.695985369438672, 200 Day Average: None, RSI: 44.57744455273501)
6165.TW (Close: 55.79999923706055) failed (Can't get stock info: 6165.TW, Current Price: 55.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 51.07425308227539, 200 Day Average: None, RSI: 50.09028938665756)
3605.TW (Close: 74.0) failed (Can't get stock info: 3605.TW, Current Price: 74.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 56.27627736112497, 200 Day Average: None, RSI: 75.80080837690944)
6449.TW (Close: 128.5) failed (Can't get stock info: 6449.TW, Current Price: 128.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 111.61158201120196, 200 Day Average: None, RSI: 66.26548323097158)
4414.TW (Close: 12.25) failed (Can't get stock info: 4414.TW, Current Price: 12.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.809405821083235, 200 Day Average: None, RSI: 53.663424049596806)
8045.TW (Close: 109.0) failed (Can't get stock info: 8045.TW, Current Price: 109.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 97.99955175914904, 200 Day Average: None, RSI: 76.11819231762105)
6957.TW (Close: 162.0) failed (Can't get stock info: 6957.TW, Current Price: 162.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 171.94231857078663, 200 Day Average: None, RSI: 54.54733543487278)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
