--------------
Wed Aug 13 23:21:54 2025 TW Stock List
--------------
2890.TW, Close: 26.20, RSI(talib): 66.54
2374.TW, Close: 77.40, RSI(talib): 83.06
3059.TW, Close: 44.60, RSI(talib): 61.67
2368.TW, Close: 460.00, RSI(talib): 88.42
3596.TW, Close: 232.50, RSI(talib): 69.40
3645.TW, Close: 71.80, RSI(talib): 66.97
2809.TW, Close: 56.20, RSI(talib): 72.53
2812.TW, Close: 21.70, RSI(talib): 63.53
2404.TW, Close: 1050.00, RSI(talib): 88.95
2383.TW, Close: 1200.00, RSI(talib): 78.41
3661.TW, Close: 4120.00, RSI(talib): 70.44
6781.TW, Close: 1300.00, RSI(talib): 66.82
3665.TW, Close: 989.00, RSI(talib): 63.88
2059.TW, Close: 3055.00, RSI(talib): 81.34
6591.TW, Close: 75.80, RSI(talib): 62.44
8033.TW, Close: 109.00, RSI(talib): 77.66
6196.TW, Close: 235.50, RSI(talib): 70.63
2441.TW, Close: 62.00, RSI(talib): 62.58
2364.TW, Close: 109.50, RSI(talib): 64.52
8210.TW, Close: 600.00, RSI(talib): 76.30
4916.TW, Close: 56.60, RSI(talib): 78.42
2539.TW, Close: 67.70, RSI(talib): 68.01
6691.TW, Close: 496.00, RSI(talib): 74.74
1215.TW, Close: 127.00, RSI(talib): 66.25
6215.TW, Close: 156.50, RSI(talib): 76.66
2480.TW, Close: 181.00, RSI(talib): 81.87
8021.TW, Close: 88.00, RSI(talib): 85.24
3694.TW, Close: 81.10, RSI(talib): 82.44
3605.TW, Close: 75.70, RSI(talib): 83.26
6919.TW, Close: 134.50, RSI(talib): 61.88
2429.TW, Close: 81.20, RSI(talib): 64.73
4722.TW, Close: 84.20, RSI(talib): 77.10
3528.TW, Close: 87.20, RSI(talib): 76.47
--------------
2301.TW (Close: 137.0) failed (Can't get stock info: 2301.TW, Current Price: 137.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 105.73943234186103, 200 Day Average: None, RSI: 70.52308913913767)
1216.TW (Close: 77.5999984741211) failed (Can't get stock info: 1216.TW, Current Price: 77.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 77.68779821465485, 200 Day Average: None, RSI: 36.863743580084616)
2881.TW (Close: 87.4000015258789) failed (Can't get stock info: 2881.TW, Current Price: 87.4000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 82.22817408429445, 200 Day Average: None, RSI: 68.96358558962251)
2303.TW (Close: 40.75) failed (Can't get stock info: 2303.TW, Current Price: 40.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 42.1466702370748, 200 Day Average: None, RSI: 30.813406152699407)
2886.TW (Close: 41.95000076293945) failed (Can't get stock info: 2886.TW, Current Price: 41.95000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 38.51247784691135, 200 Day Average: None, RSI: 61.29672717906104)
5608.TW (Close: 16.649999618530273) failed (Can't get stock info: 5608.TW, Current Price: 16.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.090510911315025, 200 Day Average: None, RSI: 60.048833768260366)
6477.TW (Close: 38.349998474121094) failed (Can't get stock info: 6477.TW, Current Price: 38.349998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.0213179483901, 200 Day Average: None, RSI: 81.36571670423938)
2030.TW (Close: 14.25) failed (Can't get stock info: 2030.TW, Current Price: 14.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.322740645304213, 200 Day Average: None, RSI: 46.53488588451367)
1217.TW (Close: 10.800000190734863) failed (Can't get stock info: 1217.TW, Current Price: 10.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.125906053250723, 200 Day Average: None, RSI: 54.34999522913843)
1304.TW (Close: 11.050000190734863) failed (Can't get stock info: 1304.TW, Current Price: 11.050000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 10.43013395184148, 200 Day Average: None, RSI: 62.79719708358288)
1717.TW (Close: 31.899999618530273) failed (Can't get stock info: 1717.TW, Current Price: 31.899999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.30541399099531, 200 Day Average: None, RSI: 70.67024484595098)
2436.TW (Close: 45.95000076293945) failed (Can't get stock info: 2436.TW, Current Price: 45.95000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.51857821610722, 200 Day Average: None, RSI: 39.35927078490393)
2023.TW (Close: 14.850000381469727) failed (Can't get stock info: 2023.TW, Current Price: 14.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.645255471668104, 200 Day Average: None, RSI: 32.56122003172714)
2457.TW (Close: 23.0) failed (Can't get stock info: 2457.TW, Current Price: 23.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.524817557230485, 200 Day Average: None, RSI: 62.0864111540836)
2888.TW (Close: 11.800000190734863) failed (Can't get stock info: 2888.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.864240043640137, 200 Day Average: None, RSI: 54.40830838283453)
4746.TW (Close: 71.0999984741211) failed (Can't get stock info: 4746.TW, Current Price: 71.0999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 68.29124052507164, 200 Day Average: None, RSI: 53.81000346046998)
3027.TW (Close: 28.049999237060547) failed (Can't get stock info: 3027.TW, Current Price: 28.049999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.48357660056901, 200 Day Average: None, RSI: 40.521840334290424)
8222.TW (Close: 50.5) failed (Can't get stock info: 8222.TW, Current Price: 50.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.11600327317732, 200 Day Average: None, RSI: 53.09550398934184)
3346.TW (Close: 23.0) failed (Can't get stock info: 3346.TW, Current Price: 23.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 28.523722711270743, 200 Day Average: None, RSI: 36.305983677134726)
6592.TW (Close: 70.30000305175781) failed (Can't get stock info: 6592.TW, Current Price: 70.30000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 69.88187500334134, 200 Day Average: None, RSI: 65.1606122630875)
6756.TW (Close: 85.5999984741211) failed (Can't get stock info: 6756.TW, Current Price: 85.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 104.74932666416586, 200 Day Average: None, RSI: 35.11939306369196)
5434.TW (Close: 298.5) failed (Can't get stock info: 5434.TW, Current Price: 298.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 263.24596043050724, 200 Day Average: None, RSI: 65.70887203157696)
3032.TW (Close: 112.0) failed (Can't get stock info: 3032.TW, Current Price: 112.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 81.0773781268266, 200 Day Average: None, RSI: 64.21964872030998)
2630.TW (Close: 60.099998474121094) failed (Can't get stock info: 2630.TW, Current Price: 60.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 37.21135717238823, 200 Day Average: None, RSI: 85.3224193266322)
2701.TW (Close: 11.350000381469727) failed (Can't get stock info: 2701.TW, Current Price: 11.350000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.82956206189455, 200 Day Average: None, RSI: 53.69835748565407)
8249.TW (Close: 57.79999923706055) failed (Can't get stock info: 8249.TW, Current Price: 57.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.8627152547349, 200 Day Average: None, RSI: 53.030004685977595)
4414.TW (Close: 11.75) failed (Can't get stock info: 4414.TW, Current Price: 11.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.812933323157095, 200 Day Average: None, RSI: 56.823820856243735)
3296.TW (Close: 23.450000762939453) failed (Can't get stock info: 3296.TW, Current Price: 23.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 22.671532818870823, 200 Day Average: None, RSI: 60.54467000275835)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
3543.TW (Close: 36.5) failed (Can't get stock info: 3543.TW, Current Price: 36.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 22.382588845969988, 200 Day Average: None, RSI: 68.32737402796796)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
