--------------
Fri Aug 15 23:02:15 2025 TW Stock List
--------------
2890.TW, Close: 26.15, RSI(talib): 69.53
2301.TW, Close: 134.00, RSI(talib): 60.74
4960.TW, Close: 14.65, RSI(talib): 65.75
2374.TW, Close: 74.60, RSI(talib): 74.31
3059.TW, Close: 46.70, RSI(talib): 64.23
2368.TW, Close: 465.50, RSI(talib): 88.33
3596.TW, Close: 236.50, RSI(talib): 71.89
3645.TW, Close: 74.00, RSI(talib): 72.20
2809.TW, Close: 56.20, RSI(talib): 74.80
2812.TW, Close: 21.90, RSI(talib): 69.99
2838.TW, Close: 17.25, RSI(talib): 62.21
3044.TW, Close: 322.00, RSI(talib): 80.48
2515.TW, Close: 11.75, RSI(talib): 63.73
2404.TW, Close: 1090.00, RSI(talib): 91.59
2383.TW, Close: 1280.00, RSI(talib): 81.23
3661.TW, Close: 4305.00, RSI(talib): 74.64
3665.TW, Close: 985.00, RSI(talib): 67.17
2059.TW, Close: 3130.00, RSI(talib): 84.18
6591.TW, Close: 76.40, RSI(talib): 73.09
8033.TW, Close: 119.50, RSI(talib): 77.50
6196.TW, Close: 232.50, RSI(talib): 77.51
2441.TW, Close: 62.00, RSI(talib): 63.28
2364.TW, Close: 111.50, RSI(talib): 62.18
8210.TW, Close: 604.00, RSI(talib): 70.21
4916.TW, Close: 62.70, RSI(talib): 63.28
2539.TW, Close: 69.20, RSI(talib): 62.30
1215.TW, Close: 128.50, RSI(talib): 67.95
2645.TW, Close: 172.50, RSI(talib): 79.98
3376.TW, Close: 234.00, RSI(talib): 62.49
1616.TW, Close: 38.65, RSI(talib): 61.37
2630.TW, Close: 61.00, RSI(talib): 82.29
6215.TW, Close: 150.50, RSI(talib): 75.98
2480.TW, Close: 178.50, RSI(talib): 80.30
8021.TW, Close: 92.00, RSI(talib): 88.19
3694.TW, Close: 87.10, RSI(talib): 89.45
3605.TW, Close: 72.80, RSI(talib): 72.93
6919.TW, Close: 145.00, RSI(talib): 63.10
4722.TW, Close: 88.50, RSI(talib): 70.98
--------------
2606.TW (Close: 56.29999923706055) failed (Can't get stock info: 2606.TW, Current Price: 56.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 56.089570985223254, 200 Day Average: None, RSI: 54.82719586733399)
1216.TW (Close: 78.80000305175781) failed (Can't get stock info: 1216.TW, Current Price: 78.80000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 77.72412766505332, 200 Day Average: None, RSI: 41.15193737462266)
2354.TW (Close: 71.80000305175781) failed (Can't get stock info: 2354.TW, Current Price: 71.80000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 64.5438690463992, 200 Day Average: None, RSI: 61.78754886241487)
3017.TW (Close: 1070.0) failed (Can't get stock info: 3017.TW, Current Price: 1070.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 640.0985401459855, 200 Day Average: None, RSI: 72.75887988460256)
1101.TW (Close: 23.700000762939453) failed (Can't get stock info: 1101.TW, Current Price: 23.700000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 28.264477277324147, 200 Day Average: None, RSI: 41.90801619482835)
2497.TW (Close: 48.349998474121094) failed (Can't get stock info: 2497.TW, Current Price: 48.349998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 46.541534173227575, 200 Day Average: None, RSI: 77.658120946005)
2031.TW (Close: 44.29999923706055) failed (Can't get stock info: 2031.TW, Current Price: 44.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 42.489660332672784, 200 Day Average: None, RSI: 61.39129524840909)
2327.TW (Close: 136.5) failed (Can't get stock info: 2327.TW, Current Price: 136.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 123.16356358214887, 200 Day Average: None, RSI: 65.72556956873542)
2888.TW (Close: 11.800000190734863) failed (Can't get stock info: 2888.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.862032564674935, 200 Day Average: None, RSI: 54.40830838283453)
2612.TW (Close: 57.20000076293945) failed (Can't get stock info: 2612.TW, Current Price: 57.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 43.625974362784056, 200 Day Average: None, RSI: 67.2523526752623)
2305.TW (Close: 11.449999809265137) failed (Can't get stock info: 2305.TW, Current Price: 11.449999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.762773722627736, 200 Day Average: None, RSI: 53.893380163498165)
1522.TW (Close: 42.5) failed (Can't get stock info: 1522.TW, Current Price: 42.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 48.101654191956904, 200 Day Average: None, RSI: 54.154737291544244)
3356.TW (Close: 51.29999923706055) failed (Can't get stock info: 3356.TW, Current Price: 51.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.029927079694986, 200 Day Average: None, RSI: 56.66553085953721)
6164.TW (Close: 10.5) failed (Can't get stock info: 6164.TW, Current Price: 10.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.19386178037546, 200 Day Average: None, RSI: 55.175465263242785)
8105.TW (Close: 13.399999618530273) failed (Can't get stock info: 8105.TW, Current Price: 13.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.298613130611225, 200 Day Average: None, RSI: 50.980788836161395)
1451.TW (Close: 18.0) failed (Can't get stock info: 1451.TW, Current Price: 18.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.007318782110286, 200 Day Average: None, RSI: 29.85398194499755)
3027.TW (Close: 28.399999618530273) failed (Can't get stock info: 3027.TW, Current Price: 28.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.47226272360252, 200 Day Average: None, RSI: 40.16151555331159)
3380.TW (Close: 28.100000381469727) failed (Can't get stock info: 3380.TW, Current Price: 28.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 28.69566036140832, 200 Day Average: None, RSI: 54.077986507462114)
9105.TW (Close: 6.269999980926514) failed (Can't get stock info: 9105.TW, Current Price: 6.269999980926514, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 6.627298654430974, 200 Day Average: None, RSI: 45.35651245446501)
5607.TW (Close: 50.79999923706055) failed (Can't get stock info: 5607.TW, Current Price: 50.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 39.64422831570145, 200 Day Average: None, RSI: 70.22401675807347)
1309.TW (Close: 11.800000190734863) failed (Can't get stock info: 1309.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.920253043627216, 200 Day Average: None, RSI: 65.08803654967419)
1503.TW (Close: 174.5) failed (Can't get stock info: 1503.TW, Current Price: 174.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 169.20256738593108, 200 Day Average: None, RSI: 43.15456063001646)
6691.TW (Close: 477.0) failed (Can't get stock info: 6691.TW, Current Price: 477.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 368.2194383161781, 200 Day Average: None, RSI: 67.66760749684563)
6830.TW (Close: 150.0) failed (Can't get stock info: 6830.TW, Current Price: 150.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 132.09165297459512, 200 Day Average: None, RSI: 65.27790464714491)
8422.TW (Close: 192.5) failed (Can't get stock info: 8422.TW, Current Price: 192.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 180.48375551543967, 200 Day Average: None, RSI: 62.68610441538881)
6668.TW (Close: 45.900001525878906) failed (Can't get stock info: 6668.TW, Current Price: 45.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 45.227372120766745, 200 Day Average: None, RSI: 49.425838093524)
6914.TW (Close: 140.5) failed (Can't get stock info: 6914.TW, Current Price: 140.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 134.36966390195101, 200 Day Average: None, RSI: 50.060294759920986)
1615.TW (Close: 50.099998474121094) failed (Can't get stock info: 1615.TW, Current Price: 50.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.751039407549115, 200 Day Average: None, RSI: 70.47063633178323)
6834.TW (Close: 29.149999618530273) failed (Can't get stock info: 6834.TW, Current Price: 29.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.142892893213425, 200 Day Average: None, RSI: 36.524386748171075)
8249.TW (Close: 58.70000076293945) failed (Can't get stock info: 8249.TW, Current Price: 58.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 50.03625513341305, 200 Day Average: None, RSI: 69.49798453200884)
3447.TW (Close: 63.0) failed (Can't get stock info: 3447.TW, Current Price: 63.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 54.31233619077362, 200 Day Average: None, RSI: 63.431296069730415)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
