--------------
Thu Aug 21 23:25:22 2025 TW Stock List
--------------
2884.TW, Close: 33.75, RSI(talib): 61.93
4960.TW, Close: 15.15, RSI(talib): 71.31
6213.TW, Close: 131.50, RSI(talib): 72.72
2374.TW, Close: 76.70, RSI(talib): 65.31
3059.TW, Close: 51.00, RSI(talib): 64.97
2368.TW, Close: 449.00, RSI(talib): 69.33
3596.TW, Close: 230.50, RSI(talib): 62.38
3645.TW, Close: 77.60, RSI(talib): 71.85
2809.TW, Close: 56.10, RSI(talib): 67.21
3044.TW, Close: 311.50, RSI(talib): 62.31
2515.TW, Close: 11.65, RSI(talib): 60.37
2404.TW, Close: 1060.00, RSI(talib): 73.56
2442.TW, Close: 27.35, RSI(talib): 61.87
6591.TW, Close: 81.10, RSI(talib): 74.30
8033.TW, Close: 128.50, RSI(talib): 73.13
6196.TW, Close: 242.00, RSI(talib): 62.07
3167.TW, Close: 226.50, RSI(talib): 67.92
8210.TW, Close: 606.00, RSI(talib): 63.44
4916.TW, Close: 61.70, RSI(talib): 62.70
1215.TW, Close: 137.50, RSI(talib): 80.76
2645.TW, Close: 179.50, RSI(talib): 80.60
2630.TW, Close: 56.60, RSI(talib): 66.65
2316.TW, Close: 107.50, RSI(talib): 87.25
8021.TW, Close: 94.20, RSI(talib): 69.43
3694.TW, Close: 94.60, RSI(talib): 73.74
3605.TW, Close: 72.90, RSI(talib): 65.86
6919.TW, Close: 194.50, RSI(talib): 80.51
4722.TW, Close: 115.00, RSI(talib): 89.00
--------------
2409.TW (Close: 13.0) failed (Can't get stock info: 2409.TW, Current Price: 13.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.888313850347142, 200 Day Average: None, RSI: 59.549346288897766)
2347.TW (Close: 57.70000076293945) failed (Can't get stock info: 2347.TW, Current Price: 57.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 66.58809634020729, 200 Day Average: None, RSI: 21.59111356722834)
2382.TW (Close: 259.0) failed (Can't get stock info: 2382.TW, Current Price: 259.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 252.5171525495766, 200 Day Average: None, RSI: 34.23308823876791)
2357.TW (Close: 626.0) failed (Can't get stock info: 2357.TW, Current Price: 626.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 612.2130222738224, 200 Day Average: None, RSI: 38.621219801970305)
3035.TW (Close: 153.5) failed (Can't get stock info: 3035.TW, Current Price: 153.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 194.20871161022325, 200 Day Average: None, RSI: 42.977612063424)
2323.TW (Close: 8.979999542236328) failed (Can't get stock info: 2323.TW, Current Price: 8.979999542236328, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 8.614233608663517, 200 Day Average: None, RSI: 66.1677511514272)
9904.TW (Close: 28.200000762939453) failed (Can't get stock info: 9904.TW, Current Price: 28.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.155765227157705, 200 Day Average: None, RSI: 43.86589260719269)
2838.TW (Close: 17.700000762939453) failed (Can't get stock info: 2838.TW, Current Price: 17.700000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.643099415911376, 200 Day Average: None, RSI: 69.3619528632668)
8028.TW (Close: 143.5) failed (Can't get stock info: 8028.TW, Current Price: 143.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 134.49251556396484, 200 Day Average: None, RSI: 45.753537036707414)
1731.TW (Close: 21.850000381469727) failed (Can't get stock info: 1731.TW, Current Price: 21.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.77185391335592, 200 Day Average: None, RSI: 47.54498828281608)
2888.TW (Close: 11.800000190734863) failed (Can't get stock info: 2888.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.85151264447124, 200 Day Average: None, RSI: 63.15789737859975)
2104.TW (Close: 12.100000381469727) failed (Can't get stock info: 2104.TW, Current Price: 12.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.5, 200 Day Average: None, RSI: 53.6689638804644)
1590.TW (Close: 790.0) failed (Can't get stock info: 1590.TW, Current Price: 790.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 883.2627737226277, 200 Day Average: None, RSI: 33.7488084613573)
2106.TW (Close: 21.350000381469727) failed (Can't get stock info: 2106.TW, Current Price: 21.350000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 23.66175939740926, 200 Day Average: None, RSI: 40.036904127433964)
2723.TW (Close: 80.19999694824219) failed (Can't get stock info: 2723.TW, Current Price: 80.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 88.62716914267436, 200 Day Average: None, RSI: 33.29980600671566)
2707.TW (Close: 191.0) failed (Can't get stock info: 2707.TW, Current Price: 191.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 192.36194660715813, 200 Day Average: None, RSI: 43.62435637520489)
3043.TW (Close: 26.549999237060547) failed (Can't get stock info: 3043.TW, Current Price: 26.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.185401457069563, 200 Day Average: None, RSI: 80.04867440513081)
6117.TW (Close: 90.5) failed (Can't get stock info: 6117.TW, Current Price: 90.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 89.74258072010792, 200 Day Average: None, RSI: 44.98403271635822)
4989.TW (Close: 39.04999923706055) failed (Can't get stock info: 4989.TW, Current Price: 39.04999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.277372234929217, 200 Day Average: None, RSI: 74.77003465340796)
6768.TW (Close: 104.5) failed (Can't get stock info: 6768.TW, Current Price: 104.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 111.97098546828667, 200 Day Average: None, RSI: 48.78012842182582)
2364.TW (Close: 106.0) failed (Can't get stock info: 2364.TW, Current Price: 106.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 87.09124126573549, 200 Day Average: None, RSI: 45.70299869630784)
2355.TW (Close: 35.25) failed (Can't get stock info: 2355.TW, Current Price: 35.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.0463600854804, 200 Day Average: None, RSI: 56.831017685806884)
1325.TW (Close: 29.0) failed (Can't get stock info: 1325.TW, Current Price: 29.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.624652890393335, 200 Day Average: None, RSI: 44.39224729537192)
2033.TW (Close: 16.200000762939453) failed (Can't get stock info: 2033.TW, Current Price: 16.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.375305941505154, 200 Day Average: None, RSI: 50.29177287240829)
6698.TW (Close: 34.599998474121094) failed (Can't get stock info: 6698.TW, Current Price: 34.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.227372315678284, 200 Day Average: None, RSI: 56.56466121910875)
6695.TW (Close: 47.20000076293945) failed (Can't get stock info: 6695.TW, Current Price: 47.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 48.420437777999545, 200 Day Average: None, RSI: 42.33555246132574)
6216.TW (Close: 32.20000076293945) failed (Can't get stock info: 6216.TW, Current Price: 32.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 33.96642324350176, 200 Day Average: None, RSI: 57.53875404545429)
1617.TW (Close: 15.600000381469727) failed (Can't get stock info: 1617.TW, Current Price: 15.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.300330315193122, 200 Day Average: None, RSI: 47.41029122110098)
8429.TW (Close: 7.960000038146973) failed (Can't get stock info: 8429.TW, Current Price: 7.960000038146973, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 8.903430688120153, 200 Day Average: None, RSI: 51.43517701547772)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
3543.TW (Close: 32.79999923706055) failed (Can't get stock info: 3543.TW, Current Price: 32.79999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 22.929962875199145, 200 Day Average: None, RSI: 49.72597835079874)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
