--------------
Sat Aug 23 00:16:31 2025 TW Stock List
--------------
4960.TW, Close: 14.25, RSI(talib): 72.69
6213.TW, Close: 121.50, RSI(talib): 74.10
2374.TW, Close: 75.10, RSI(talib): 68.70
3059.TW, Close: 47.50, RSI(talib): 74.56
2368.TW, Close: 459.00, RSI(talib): 70.50
3596.TW, Close: 230.00, RSI(talib): 62.88
3645.TW, Close: 75.70, RSI(talib): 76.10
2809.TW, Close: 55.90, RSI(talib): 65.07
2812.TW, Close: 21.75, RSI(talib): 63.63
2838.TW, Close: 17.75, RSI(talib): 72.90
3044.TW, Close: 311.50, RSI(talib): 62.54
2515.TW, Close: 11.85, RSI(talib): 60.37
2404.TW, Close: 1080.00, RSI(talib): 75.52
9907.TW, Close: 18.70, RSI(talib): 61.71
2442.TW, Close: 27.55, RSI(talib): 61.87
2383.TW, Close: 1205.00, RSI(talib): 64.32
3665.TW, Close: 942.00, RSI(talib): 60.82
2059.TW, Close: 2955.00, RSI(talib): 61.57
6591.TW, Close: 82.00, RSI(talib): 70.73
8033.TW, Close: 133.50, RSI(talib): 75.63
6196.TW, Close: 235.00, RSI(talib): 68.82
3167.TW, Close: 215.00, RSI(talib): 75.15
8210.TW, Close: 597.00, RSI(talib): 64.88
4916.TW, Close: 60.60, RSI(talib): 60.50
1215.TW, Close: 137.00, RSI(talib): 81.64
2645.TW, Close: 183.00, RSI(talib): 79.95
5469.TW, Close: 72.30, RSI(talib): 63.00
2630.TW, Close: 56.00, RSI(talib): 66.78
2316.TW, Close: 107.50, RSI(talib): 77.45
8021.TW, Close: 89.20, RSI(talib): 72.50
3694.TW, Close: 96.10, RSI(talib): 74.31
3605.TW, Close: 74.80, RSI(talib): 68.95
6919.TW, Close: 190.00, RSI(talib): 84.54
4722.TW, Close: 117.00, RSI(talib): 84.56
--------------
2610.TW (Close: 21.350000381469727) failed (Can't get stock info: 2610.TW, Current Price: 21.350000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.6686080849689, 200 Day Average: None, RSI: 60.87574023565081)
3189.TW (Close: 105.0) failed (Can't get stock info: 3189.TW, Current Price: 105.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 88.8852807197018, 200 Day Average: None, RSI: 56.768684243194414)
2609.TW (Close: 59.599998474121094) failed (Can't get stock info: 2609.TW, Current Price: 59.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 64.90022534909455, 200 Day Average: None, RSI: 41.155647875401556)
2388.TW (Close: 60.70000076293945) failed (Can't get stock info: 2388.TW, Current Price: 60.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 72.37154385663462, 200 Day Average: None, RSI: 57.042319165548825)
9945.TW (Close: 29.649999618530273) failed (Can't get stock info: 9945.TW, Current Price: 29.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.78183981301128, 200 Day Average: None, RSI: 45.032850880222774)
1589.TW (Close: 22.149999618530273) failed (Can't get stock info: 1589.TW, Current Price: 22.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.026449300240778, 200 Day Average: None, RSI: 48.66862959845323)
3712.TW (Close: 36.099998474121094) failed (Can't get stock info: 3712.TW, Current Price: 36.099998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.090316330177195, 200 Day Average: None, RSI: 21.80698566810535)
2888.TW (Close: 11.800000190734863) failed (Can't get stock info: 2888.TW, Current Price: 11.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.85151264447124, 200 Day Average: None, RSI: 63.15789737859975)
3703.TW (Close: 23.149999618530273) failed (Can't get stock info: 3703.TW, Current Price: 23.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.574540055316426, 200 Day Average: None, RSI: 60.158484573538765)
2612.TW (Close: 53.400001525878906) failed (Can't get stock info: 2612.TW, Current Price: 53.400001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.242784223694734, 200 Day Average: None, RSI: 63.53738976194138)
2105.TW (Close: 38.599998474121094) failed (Can't get stock info: 2105.TW, Current Price: 38.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.821279829826906, 200 Day Average: None, RSI: 47.491488567821214)
1733.TW (Close: 29.850000381469727) failed (Can't get stock info: 1733.TW, Current Price: 29.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.5976988474528, 200 Day Average: None, RSI: 64.3695011001995)
3011.TW (Close: 16.799999237060547) failed (Can't get stock info: 3011.TW, Current Price: 16.799999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.685144894364951, 200 Day Average: None, RSI: 67.90607283782032)
6202.TW (Close: 38.900001525878906) failed (Can't get stock info: 6202.TW, Current Price: 38.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 44.02608697310738, 200 Day Average: None, RSI: 47.938871978307226)
5269.TW (Close: 1685.0) failed (Can't get stock info: 5269.TW, Current Price: 1685.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1864.1469664642777, 200 Day Average: None, RSI: 35.34336615642464)
3591.TW (Close: 18.200000762939453) failed (Can't get stock info: 3591.TW, Current Price: 18.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.759172481039297, 200 Day Average: None, RSI: 55.750174625125446)
2441.TW (Close: 60.70000076293945) failed (Can't get stock info: 2441.TW, Current Price: 60.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 58.66304345061813, 200 Day Average: None, RSI: 51.77451950224242)
1532.TW (Close: 24.899999618530273) failed (Can't get stock info: 1532.TW, Current Price: 24.899999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.059230818264727, 200 Day Average: None, RSI: 49.45263194105376)
1612.TW (Close: 38.150001525878906) failed (Can't get stock info: 1612.TW, Current Price: 38.150001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 32.91650208182957, 200 Day Average: None, RSI: 53.6269750724158)
1467.TW (Close: 7.53000020980835) failed (Can't get stock info: 1467.TW, Current Price: 7.53000020980835, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 8.921666642893916, 200 Day Average: None, RSI: 39.76029034112929)
5284.TW (Close: 231.5) failed (Can't get stock info: 5284.TW, Current Price: 231.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 168.92418267070383, 200 Day Average: None, RSI: 53.254381890477184)
3652.TW (Close: 31.549999237060547) failed (Can't get stock info: 3652.TW, Current Price: 31.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.287947737652324, 200 Day Average: None, RSI: 61.905271632589596)
3583.TW (Close: 366.0) failed (Can't get stock info: 3583.TW, Current Price: 366.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 315.1061902253524, 200 Day Average: None, RSI: 59.70944873041708)
1515.TW (Close: 29.799999237060547) failed (Can't get stock info: 1515.TW, Current Price: 29.799999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.340373053066973, 200 Day Average: None, RSI: 55.19319330384347)
6689.TW (Close: 74.0) failed (Can't get stock info: 6689.TW, Current Price: 74.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 88.77401904783387, 200 Day Average: None, RSI: 33.96764074542452)
6657.TW (Close: 59.599998474121094) failed (Can't get stock info: 6657.TW, Current Price: 59.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 64.79208623762611, 200 Day Average: None, RSI: 50.275285946781366)
3450.TW (Close: 188.5) failed (Can't get stock info: 3450.TW, Current Price: 188.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 223.60583827806556, 200 Day Average: None, RSI: 44.10731941482558)
6901.TW (Close: 20.549999237060547) failed (Can't get stock info: 6901.TW, Current Price: 20.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.174460513986272, 200 Day Average: None, RSI: 56.62684059875216)
1416.TW (Close: 11.550000190734863) failed (Can't get stock info: 1416.TW, Current Price: 11.550000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.898998730424521, 200 Day Average: None, RSI: 46.763189159750866)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
6962.TW (Close: 44.54999923706055) failed (Can't get stock info: 6962.TW, Current Price: 44.54999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 51.68547268190245, 200 Day Average: None, RSI: 41.708333032006465)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
