--------------
Thu Aug 28 21:23:03 2025 TW Stock List
--------------
6213.TW, Close: 125.00, RSI(talib): 66.34
2329.TW, Close: 44.70, RSI(talib): 67.83
2374.TW, Close: 80.80, RSI(talib): 69.56
3059.TW, Close: 50.30, RSI(talib): 66.40
2368.TW, Close: 486.00, RSI(talib): 73.00
3596.TW, Close: 236.00, RSI(talib): 72.28
3645.TW, Close: 73.80, RSI(talib): 65.00
2344.TW, Close: 19.60, RSI(talib): 62.62
3044.TW, Close: 318.00, RSI(talib): 68.89
2404.TW, Close: 1190.00, RSI(talib): 83.91
2442.TW, Close: 28.05, RSI(talib): 66.82
2383.TW, Close: 1250.00, RSI(talib): 66.14
8046.TW, Close: 226.00, RSI(talib): 72.03
2308.TW, Close: 709.00, RSI(talib): 76.30
6191.TW, Close: 131.00, RSI(talib): 65.40
1802.TW, Close: 34.55, RSI(talib): 71.57
2612.TW, Close: 55.50, RSI(talib): 60.66
6591.TW, Close: 93.80, RSI(talib): 77.29
8033.TW, Close: 173.00, RSI(talib): 88.18
6196.TW, Close: 264.00, RSI(talib): 73.26
3167.TW, Close: 209.50, RSI(talib): 60.74
8222.TW, Close: 58.40, RSI(talib): 60.73
5284.TW, Close: 276.00, RSI(talib): 76.90
8210.TW, Close: 613.00, RSI(talib): 67.01
6139.TW, Close: 349.50, RSI(talib): 64.44
4916.TW, Close: 68.30, RSI(talib): 67.14
1215.TW, Close: 133.50, RSI(talib): 66.56
2645.TW, Close: 180.00, RSI(talib): 76.87
6209.TW, Close: 39.25, RSI(talib): 86.60
5469.TW, Close: 81.70, RSI(talib): 70.00
3376.TW, Close: 259.00, RSI(talib): 61.84
5234.TW, Close: 387.00, RSI(talib): 81.22
2630.TW, Close: 62.70, RSI(talib): 74.97
8271.TW, Close: 64.00, RSI(talib): 69.60
6215.TW, Close: 147.00, RSI(talib): 60.20
2480.TW, Close: 174.00, RSI(talib): 60.34
2316.TW, Close: 109.50, RSI(talib): 67.96
3694.TW, Close: 100.00, RSI(talib): 70.76
3605.TW, Close: 73.90, RSI(talib): 71.54
6914.TW, Close: 144.00, RSI(talib): 60.82
6919.TW, Close: 190.50, RSI(talib): 78.59
4722.TW, Close: 150.00, RSI(talib): 91.04
3563.TW, Close: 594.00, RSI(talib): 72.88
--------------
2892.TW (Close: 28.299999237060547) failed (Can't get stock info: 2892.TW, Current Price: 28.299999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.34369781655325, 200 Day Average: None, RSI: 44.4806590522799)
2885.TW (Close: 32.650001525878906) failed (Can't get stock info: 2885.TW, Current Price: 32.650001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.180300349920568, 200 Day Average: None, RSI: 54.85008633250269)
2382.TW (Close: 266.0) failed (Can't get stock info: 2382.TW, Current Price: 266.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 252.91795703726754, 200 Day Average: None, RSI: 47.333772963051565)
2801.TW (Close: 19.399999618530273) failed (Can't get stock info: 2801.TW, Current Price: 19.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.425587009376205, 200 Day Average: None, RSI: 54.73429216082659)
4938.TW (Close: 70.5999984741211) failed (Can't get stock info: 4938.TW, Current Price: 70.5999984741211, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 80.88015225907446, 200 Day Average: None, RSI: 30.60546785955894)
2601.TW (Close: 6.0) failed (Can't get stock info: 2601.TW, Current Price: 6.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 6.577464785374386, 200 Day Average: None, RSI: 45.830790039405834)
2103.TW (Close: 17.0) failed (Can't get stock info: 2103.TW, Current Price: 17.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.4137576331555, 200 Day Average: None, RSI: 43.68221867845114)
2390.TW (Close: 11.100000381469727) failed (Can't get stock info: 2390.TW, Current Price: 11.100000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.206338016080185, 200 Day Average: None, RSI: 57.549152104009714)
4915.TW (Close: 82.30000305175781) failed (Can't get stock info: 4915.TW, Current Price: 82.30000305175781, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 75.57848280248507, 200 Day Average: None, RSI: 70.40957765565149)
2633.TW (Close: 27.600000381469727) failed (Can't get stock info: 2633.TW, Current Price: 27.600000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 26.861100841575944, 200 Day Average: None, RSI: 49.812460332750476)
3504.TW (Close: 59.70000076293945) failed (Can't get stock info: 3504.TW, Current Price: 59.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 52.742605666039694, 200 Day Average: None, RSI: 68.40999603996191)
2888.TW (Close: None) failed (Can't get stock info: 2888.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.85151264447124, 200 Day Average: None, RSI: 70.83335320156719)
2342.TW (Close: 21.299999237060547) failed (Can't get stock info: 2342.TW, Current Price: 21.299999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.804225290325327, 200 Day Average: None, RSI: 50.914013341967824)
6288.TW (Close: 20.950000762939453) failed (Can't get stock info: 6288.TW, Current Price: 20.950000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 21.758742769857996, 200 Day Average: None, RSI: 51.70176660208531)
1773.TW (Close: 138.5) failed (Can't get stock info: 1773.TW, Current Price: 138.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 121.77011699407873, 200 Day Average: None, RSI: 55.43320132888557)
2314.TW (Close: 8.899999618530273) failed (Can't get stock info: 2314.TW, Current Price: 8.899999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.792253500978712, 200 Day Average: None, RSI: 39.82099890009752)
1527.TW (Close: 32.349998474121094) failed (Can't get stock info: 1527.TW, Current Price: 32.349998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 38.31619708638796, 200 Day Average: None, RSI: 29.928472870723077)
6197.TW (Close: 178.5) failed (Can't get stock info: 6197.TW, Current Price: 178.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 136.19228626304948, 200 Day Average: None, RSI: 71.70445953702972)
6409.TW (Close: 1010.0) failed (Can't get stock info: 6409.TW, Current Price: 1010.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1371.8540382922536, 200 Day Average: None, RSI: 35.645781579719184)
6782.TW (Close: 207.5) failed (Can't get stock info: 6782.TW, Current Price: 207.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 173.3751941197355, 200 Day Average: None, RSI: 70.64587087020101)
2007.TW (Close: 8.220000267028809) failed (Can't get stock info: 2007.TW, Current Price: 8.220000267028809, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 8.61739437345048, 200 Day Average: None, RSI: 62.4583489651619)
2453.TW (Close: 62.29999923706055) failed (Can't get stock info: 2453.TW, Current Price: 62.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 58.96394388440629, 200 Day Average: None, RSI: 67.47179610976495)
5521.TW (Close: 13.850000381469727) failed (Can't get stock info: 5521.TW, Current Price: 13.850000381469727, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.024647873891912, 200 Day Average: None, RSI: 87.34641881134975)
6177.TW (Close: 42.20000076293945) failed (Can't get stock info: 6177.TW, Current Price: 42.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 41.676685037747234, 200 Day Average: None, RSI: 52.10254454943307)
2548.TW (Close: 103.0) failed (Can't get stock info: 2548.TW, Current Price: 103.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 99.14820324535101, 200 Day Average: None, RSI: 56.94568801121685)
9927.TW (Close: 57.29999923706055) failed (Can't get stock info: 9927.TW, Current Price: 57.29999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 63.138947768950125, 200 Day Average: None, RSI: 29.38671339507277)
3530.TW (Close: 64.0) failed (Can't get stock info: 3530.TW, Current Price: 64.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 64.97957745404311, 200 Day Average: None, RSI: 55.70314260524049)
2362.TW (Close: 41.95000076293945) failed (Can't get stock info: 2362.TW, Current Price: 41.95000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 45.59874443269112, 200 Day Average: None, RSI: 43.19860454001667)
2228.TW (Close: 113.5) failed (Can't get stock info: 2228.TW, Current Price: 113.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 88.15816865840428, 200 Day Average: None, RSI: 68.03562056819996)
1464.TW (Close: 11.199999809265137) failed (Can't get stock info: 1464.TW, Current Price: 11.199999809265137, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.677522773474035, 200 Day Average: None, RSI: 32.41068156087414)
8482.TW (Close: 54.599998474121094) failed (Can't get stock info: 8482.TW, Current Price: 54.599998474121094, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 69.43727915051957, 200 Day Average: None, RSI: 38.60054782165129)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
