--------------
Sat Sep 13 01:34:29 2025 TW Stock List
--------------
2301.TW, Close: 163.00, RSI(talib): 78.80
2408.TW, Close: 57.40, RSI(talib): 77.29
2374.TW, Close: 95.30, RSI(talib): 75.28
3059.TW, Close: 58.80, RSI(talib): 65.44
2368.TW, Close: 487.00, RSI(talib): 63.35
2809.TW, Close: 57.60, RSI(talib): 70.44
2208.TW, Close: 29.40, RSI(talib): 80.65
2812.TW, Close: 22.65, RSI(talib): 71.96
2383.TW, Close: 1345.00, RSI(talib): 67.18
2614.TW, Close: 22.20, RSI(talib): 89.35
8028.TW, Close: 173.50, RSI(talib): 61.56
2308.TW, Close: 837.00, RSI(talib): 80.55
3665.TW, Close: 1100.00, RSI(talib): 62.41
2059.TW, Close: 3430.00, RSI(talib): 69.76
6196.TW, Close: 271.50, RSI(talib): 69.33
2753.TW, Close: 205.50, RSI(talib): 62.81
3305.TW, Close: 154.00, RSI(talib): 79.00
6139.TW, Close: 370.50, RSI(talib): 61.51
1512.TW, Close: 8.50, RSI(talib): 63.30
1215.TW, Close: 136.50, RSI(talib): 62.01
6753.TW, Close: 184.00, RSI(talib): 67.86
6209.TW, Close: 38.20, RSI(talib): 66.27
5234.TW, Close: 412.50, RSI(talib): 70.20
8271.TW, Close: 65.10, RSI(talib): 62.75
3257.TW, Close: 77.90, RSI(talib): 76.32
3605.TW, Close: 78.00, RSI(talib): 60.31
2429.TW, Close: 137.00, RSI(talib): 72.70
3040.TW, Close: 71.70, RSI(talib): 66.19
--------------
9958.TW (Close: 170.5) failed (Can't get stock info: 9958.TW, Current Price: 170.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 189.85763888888889, 200 Day Average: None, RSI: 33.770360593777795)
2882.TW (Close: 65.5) failed (Can't get stock info: 2882.TW, Current Price: 65.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 60.71810536914401, 200 Day Average: None, RSI: 60.1733370481802)
1708.TW (Close: 30.399999618530273) failed (Can't get stock info: 1708.TW, Current Price: 30.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 33.04519524839189, 200 Day Average: None, RSI: 37.90191590667934)
3049.TW (Close: 6.130000114440918) failed (Can't get stock info: 3049.TW, Current Price: 6.130000114440918, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 6.916249983840519, 200 Day Average: None, RSI: 39.652032304550694)
2344.TW (Close: 25.450000762939453) failed (Can't get stock info: 2344.TW, Current Price: 25.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 18.399305615160202, 200 Day Average: None, RSI: 83.71227069282679)
3704.TW (Close: 36.70000076293945) failed (Can't get stock info: 3704.TW, Current Price: 36.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.940482166078354, 200 Day Average: None, RSI: 64.71451502424705)
2888.TW (Close: None) failed (Can't get stock info: 2888.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 11.817706466814794, 200 Day Average: None, RSI: nan)
6781.TW (Close: 1310.0) failed (Can't get stock info: 6781.TW, Current Price: 1310.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 1028.8406880696614, 200 Day Average: None, RSI: 51.228656605110665)
1104.TW (Close: 31.0) failed (Can't get stock info: 1104.TW, Current Price: 31.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 27.87816610601213, 200 Day Average: None, RSI: 64.91446635967395)
1907.TW (Close: 25.399999618530273) failed (Can't get stock info: 1907.TW, Current Price: 25.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 25.695736050605774, 200 Day Average: None, RSI: 62.51590659805372)
2405.TW (Close: 18.649999618530273) failed (Can't get stock info: 2405.TW, Current Price: 18.649999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.80680525302887, 200 Day Average: None, RSI: 52.88439138565507)
2723.TW (Close: 76.4000015258789) failed (Can't get stock info: 2723.TW, Current Price: 76.4000015258789, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 86.86288981967502, 200 Day Average: None, RSI: 29.90433567576923)
2707.TW (Close: 200.0) failed (Can't get stock info: 2707.TW, Current Price: 200.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 193.3500745561388, 200 Day Average: None, RSI: 65.32756585492618)
4961.TW (Close: 170.5) failed (Can't get stock info: 4961.TW, Current Price: 170.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 194.92096349928113, 200 Day Average: None, RSI: 38.75779101672671)
2419.TW (Close: 23.0) failed (Can't get stock info: 2419.TW, Current Price: 23.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 23.429166661368477, 200 Day Average: None, RSI: 48.58858685949191)
1536.TW (Close: 67.19999694824219) failed (Can't get stock info: 1536.TW, Current Price: 67.19999694824219, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 63.51266932487488, 200 Day Average: None, RSI: 54.38496258393114)
3029.TW (Close: 124.5) failed (Can't get stock info: 3029.TW, Current Price: 124.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 122.06814479827881, 200 Day Average: None, RSI: 55.46936023442891)
8222.TW (Close: 50.70000076293945) failed (Can't get stock info: 8222.TW, Current Price: 50.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 51.07657530572679, 200 Day Average: None, RSI: 44.69291471388381)
6438.TW (Close: 181.5) failed (Can't get stock info: 6438.TW, Current Price: 181.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 173.0340258280436, 200 Day Average: None, RSI: 49.09238105687932)
4720.TW (Close: 15.399999618530273) failed (Can't get stock info: 4720.TW, Current Price: 15.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.10591509607103, 200 Day Average: None, RSI: 49.7925917985903)
1905.TW (Close: 12.300000190734863) failed (Can't get stock info: 1905.TW, Current Price: 12.300000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.42986109521654, 200 Day Average: None, RSI: 53.98546598295224)
9942.TW (Close: 108.5) failed (Can't get stock info: 9942.TW, Current Price: 108.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 108.99433199564616, 200 Day Average: None, RSI: 41.64071733887894)
2033.TW (Close: 18.399999618530273) failed (Can't get stock info: 2033.TW, Current Price: 18.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 17.979974177148605, 200 Day Average: None, RSI: 73.21040083602493)
6451.TW (Close: 160.5) failed (Can't get stock info: 6451.TW, Current Price: 160.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 154.35457483927408, 200 Day Average: None, RSI: 50.69708673246029)
4766.TW (Close: 399.0) failed (Can't get stock info: 4766.TW, Current Price: 399.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 332.83864339192706, 200 Day Average: None, RSI: 55.86936525333179)
6108.TW (Close: 14.149999618530273) failed (Can't get stock info: 6108.TW, Current Price: 14.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.988365113735199, 200 Day Average: None, RSI: 52.72398854435034)
8374.TW (Close: 103.5) failed (Can't get stock info: 8374.TW, Current Price: 103.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 100.61377599504259, 200 Day Average: None, RSI: 47.56737629595873)
2524.TW (Close: 46.04999923706055) failed (Can't get stock info: 2524.TW, Current Price: 46.04999923706055, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 49.76666662428114, 200 Day Average: None, RSI: 57.34755123172349)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
8072.TW (Close: 35.20000076293945) failed (Can't get stock info: 8072.TW, Current Price: 35.20000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 39.14916439851125, 200 Day Average: None, RSI: 29.492017895930605)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
00985B.TW (Exception)
00647L.TW (Exception)
