--------------
Tue Sep 16 20:38:40 2025 TW Stock List
--------------
2301.TW, Close: 167.00, RSI(talib): 76.03
2408.TW, Close: 69.20, RSI(talib): 83.35
2374.TW, Close: 107.00, RSI(talib): 76.70
2809.TW, Close: 57.10, RSI(talib): 63.67
2208.TW, Close: 27.10, RSI(talib): 67.78
2838.TW, Close: 17.50, RSI(talib): 61.02
2344.TW, Close: 27.95, RSI(talib): 86.48
2383.TW, Close: 1285.00, RSI(talib): 62.84
2614.TW, Close: 22.65, RSI(talib): 90.00
2308.TW, Close: 841.00, RSI(talib): 80.27
3665.TW, Close: 1115.00, RSI(talib): 61.36
2059.TW, Close: 3370.00, RSI(talib): 67.76
3305.TW, Close: 135.00, RSI(talib): 64.86
6209.TW, Close: 39.25, RSI(talib): 66.34
5234.TW, Close: 390.50, RSI(talib): 61.68
8271.TW, Close: 66.90, RSI(talib): 71.64
3257.TW, Close: 70.10, RSI(talib): 61.86
2429.TW, Close: 132.00, RSI(talib): 64.44
--------------
1605.TW (Close: 22.25) failed (Can't get stock info: 1605.TW, Current Price: 22.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 22.28309452533722, 200 Day Average: None, RSI: 49.27177733734709)
3189.TW (Close: 110.5) failed (Can't get stock info: 3189.TW, Current Price: 110.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 90.52671602037218, 200 Day Average: None, RSI: 44.846672412497334)
2812.TW (Close: 22.450000762939453) failed (Can't get stock info: 2812.TW, Current Price: 22.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 19.45566005176968, 200 Day Average: None, RSI: 68.07108271424921)
1219.TW (Close: 13.399999618530273) failed (Can't get stock info: 1219.TW, Current Price: 13.399999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 14.28331282403734, 200 Day Average: None, RSI: 30.964161803208647)
2613.TW (Close: 26.049999237060547) failed (Can't get stock info: 2613.TW, Current Price: 26.049999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 28.91426209608714, 200 Day Average: None, RSI: 36.66357653298172)
9955.TW (Close: 29.450000762939453) failed (Can't get stock info: 9955.TW, Current Price: 29.450000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 29.200347304344177, 200 Day Average: None, RSI: 52.50810087446609)
2023.TW (Close: 15.149999618530273) failed (Can't get stock info: 2023.TW, Current Price: 15.149999618530273, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 15.539236101839277, 200 Day Average: None, RSI: 51.49108121368249)
2888.TW (Close: None) failed (Can't get stock info: 2888.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
3703.TW (Close: 23.299999237060547) failed (Can't get stock info: 3703.TW, Current Price: 23.299999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 24.121387879053753, 200 Day Average: None, RSI: 49.90055900693358)
1524.TW (Close: 29.049999237060547) failed (Can't get stock info: 1524.TW, Current Price: 29.049999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 31.671628329488968, 200 Day Average: None, RSI: 46.37991973786508)
6412.TW (Close: 103.5) failed (Can't get stock info: 6412.TW, Current Price: 103.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 110.36990451812744, 200 Day Average: None, RSI: 32.22729844419388)
6414.TW (Close: 299.0) failed (Can't get stock info: 6414.TW, Current Price: 299.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 289.52456612057154, 200 Day Average: None, RSI: 40.63117246364045)
8105.TW (Close: 12.800000190734863) failed (Can't get stock info: 8105.TW, Current Price: 12.800000190734863, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 13.22506943013933, 200 Day Average: None, RSI: 40.0041286502985)
1906.TW (Close: 13.25) failed (Can't get stock info: 1906.TW, Current Price: 13.25, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 12.801893280612099, 200 Day Average: None, RSI: 58.204794313515386)
2753.TW (Close: 200.0) failed (Can't get stock info: 2753.TW, Current Price: 200.0, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 180.21329487694635, 200 Day Average: None, RSI: 64.04952355894167)
6112.TW (Close: 51.900001525878906) failed (Can't get stock info: 6112.TW, Current Price: 51.900001525878906, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 52.63748976919386, 200 Day Average: None, RSI: 41.77499174974063)
2020.TW (Close: 24.549999237060547) failed (Can't get stock info: 2020.TW, Current Price: 24.549999237060547, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 25.25392840968238, 200 Day Average: None, RSI: 46.946896211714964)
1725.TW (Close: 28.200000762939453) failed (Can't get stock info: 1725.TW, Current Price: 28.200000762939453, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 30.073680480321247, 200 Day Average: None, RSI: 34.07274815126398)
6914.TW (Close: 147.5) failed (Can't get stock info: 6914.TW, Current Price: 147.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 136.31046289904364, 200 Day Average: None, RSI: 60.80264065147441)
1563.TW (Close: 49.75) failed (Can't get stock info: 1563.TW, Current Price: 49.75, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 55.05301216388571, 200 Day Average: None, RSI: 50.974959487305426)
2236.TW (Close: 107.5) failed (Can't get stock info: 2236.TW, Current Price: 107.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 101.47569449742635, 200 Day Average: None, RSI: 60.87160114484031)
6855.TW (Close: None) failed (Can't get stock info: 6855.TW, Current Price: None, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: nan, 200 Day Average: None, RSI: None)
1903.TW (Close: 52.70000076293945) failed (Can't get stock info: 1903.TW, Current Price: 52.70000076293945, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 53.41458323266771, 200 Day Average: None, RSI: 41.35846825336961)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
009808.TW (Exception)
00982A.TW (Exception)
00981A.TW (Exception)
00770.TW (Exception)
00910.TW (Exception)
00983A.TW (Exception)
00763U.TW (Exception)
009810.TW (Exception)
00692.TW (Exception)
00985B.TW (Exception)
00647L.TW (Exception)
