2356.TW, RSI(talib): 62.20596356985434
2353.TW, RSI(talib): 74.16569664368512
2887.TW, RSI(talib): 66.95295171217384
2634.TW, RSI(talib): 69.7996247983765
4106.TW, RSI(talib): 64.69247370246043
2897.TW, RSI(talib): 69.4709486959332
2359.TW, RSI(talib): 60.255034065227306
3017.TW, RSI(talib): 71.36986353701084
6806.TW, RSI(talib): 71.28673895173368
1710.TW, RSI(talib): 67.08239449970618
2913.TW, RSI(talib): 65.65759283350708
2838.TW, RSI(talib): 62.66176063059705
3044.TW, RSI(talib): 61.3979088691825
9907.TW, RSI(talib): 70.23081543610789
1609.TW, RSI(talib): 63.14108169659553
2442.TW, RSI(talib): 62.36151204766613
3231.TW, RSI(talib): 73.67978438174315
2504.TW, RSI(talib): 65.8038955254368
1731.TW, RSI(talib): 83.11841865737489
1514.TW, RSI(talib): 72.208393756471
1904.TW, RSI(talib): 69.08232672552936
9955.TW, RSI(talib): 60.17765438650744
1762.TW, RSI(talib): 68.07921179803371
1589.TW, RSI(talib): 64.00476290053281
3712.TW, RSI(talib): 66.10863495388962
6235.TW, RSI(talib): 65.85660729958137
2457.TW, RSI(talib): 74.4625671704826
3653.TW, RSI(talib): 60.405910550000954
4104.TW, RSI(talib): 68.7092325833235
2731.TW, RSI(talib): 67.76614995453431
3011.TW, RSI(talib): 67.04589439983619
1104.TW, RSI(talib): 72.87431596982968
1907.TW, RSI(talib): 66.79934290897135
2206.TW, RSI(talib): 78.87660976888493
6669.TW, RSI(talib): 63.921530089448176
8464.TW, RSI(talib): 65.32766340374333
3015.TW, RSI(talib): 63.56351206157937
2204.TW, RSI(talib): 77.9929746418222
8033.TW, RSI(talib): 62.115829017110435
5222.TW, RSI(talib): 66.91412453579024
2385.TW, RSI(talib): 63.29623666369345
3038.TW, RSI(talib): 71.41172901791812
4746.TW, RSI(talib): 70.36783019631825
3043.TW, RSI(talib): 76.34049752735785
8222.TW, RSI(talib): 76.11963587781092
6438.TW, RSI(talib): 69.29894654838886
1519.TW, RSI(talib): 72.35217085032531
2387.TW, RSI(talib): 60.0245035481998
4763.TW, RSI(talib): 70.09149898721994
1504.TW, RSI(talib): 68.96474837347526
2530.TW, RSI(talib): 86.09061550228482
1529.TW, RSI(talib): 75.06315203747526
6592.TW, RSI(talib): 68.33687119412872
1905.TW, RSI(talib): 85.32044348904009
4572.TW, RSI(talib): 64.92669331765674
9942.TW, RSI(talib): 66.78688148805551
2413.TW, RSI(talib): 60.06788873993845
5607.TW, RSI(talib): 61.08675247186548
2495.TW, RSI(talib): 65.28953113097413
3419.TW, RSI(talib): 64.42099347288229
1810.TW, RSI(talib): 70.08801812979512
1752.TW, RSI(talib): 68.3040350015088
1720.TW, RSI(talib): 70.87319727032224
1618.TW, RSI(talib): 63.260644195561376
2539.TW, RSI(talib): 62.56324725159044
1512.TW, RSI(talib): 60.364856056303005
1783.TW, RSI(talib): 64.50784372991339
1503.TW, RSI(talib): 70.63541538107508
1215.TW, RSI(talib): 64.39976761379933
2471.TW, RSI(talib): 72.24203730426795
3056.TW, RSI(talib): 71.64644690765766
6112.TW, RSI(talib): 75.82636439139829
3032.TW, RSI(talib): 66.09748045855814
1108.TW, RSI(talib): 62.12715241545119
1535.TW, RSI(talib): 64.99257484807211
4306.TW, RSI(talib): 76.39275459227974
3058.TW, RSI(talib): 74.36135182634669
1608.TW, RSI(talib): 63.06391899323168
9934.TW, RSI(talib): 71.69370203402794
3583.TW, RSI(talib): 69.02208150574648
--------------
