9958.TW, RSI(talib): 69.85400582802271  !
2455.TW, RSI(talib): 69.5619619471263
2357.TW, RSI(talib): 61.69809455495982
3035.TW, RSI(talib): 61.60618320595969
2634.TW, RSI(talib): 61.879070124771516
3596.TW, RSI(talib): 73.77654904873313  !
3044.TW, RSI(talib): 66.96829487659227
5388.TW, RSI(talib): 65.1240824136941
1477.TW, RSI(talib): 64.11088841573567
6285.TW, RSI(talib): 73.02773494768299
2383.TW, RSI(talib): 63.06737396111354
1319.TW, RSI(talib): 73.52750582618658  !
5258.TW, RSI(talib): 65.82068733154495
2492.TW, RSI(talib): 64.8056995764718
2436.TW, RSI(talib): 66.30747530731686
3034.TW, RSI(talib): 73.0562687517493
2449.TW, RSI(talib): 66.94517136327761
1808.TW, RSI(talib): 72.16596687602434
6191.TW, RSI(talib): 68.7432721520646
2105.TW, RSI(talib): 68.58990421205125
2363.TW, RSI(talib): 78.8255947636481
2458.TW, RSI(talib): 74.26460688643233  ! 券回補日 10/2
8081.TW, RSI(talib): 80.59836642311646
2204.TW, RSI(talib): 62.27522451575596
1471.TW, RSI(talib): 65.17207381861911  ! 禁現沖
3005.TW, RSI(talib): 61.048358409899684
6117.TW, RSI(talib): 65.85890750713278
2485.TW, RSI(talib): 70.89622397145153
3046.TW, RSI(talib): 62.55834282440388
5225.TW, RSI(talib): 62.890325761148524
1519.TW, RSI(talib): 65.30271236459345
4763.TW, RSI(talib): 66.9725562177649
2402.TW, RSI(talib): 61.07703320154773
5284.TW, RSI(talib): 62.52100397192265
2355.TW, RSI(talib): 63.203467961542835
1618.TW, RSI(talib): 70.59007565372177
8110.TW, RSI(talib): 63.77088905255105
6243.TW, RSI(talib): 68.10088139769665
3338.TW, RSI(talib): 61.70414904999344
3715.TW, RSI(talib): 89.50248382392935  !
5469.TW, RSI(talib): 71.14009759434506
3014.TW, RSI(talib): 73.09237631330622
1310.TW, RSI(talib): 62.995082470407006
8271.TW, RSI(talib): 67.05478206523209
4766.TW, RSI(talib): 77.28258370172539  !
9927.TW, RSI(talib): 70.533165978917
2460.TW, RSI(talib): 63.7252400223462
6672.TW, RSI(talib): 66.26152086351523
2516.TW, RSI(talib): 65.38122356364818
2816.TW, RSI(talib): 85.90488037083448
1307.TW, RSI(talib): 70.08713371172782
3622.TW, RSI(talib): 64.91823203236132
6165.TW, RSI(talib): 77.3195698410977
--------------
2312.TW failed (inputs are all NaN).
5243.TW failed (('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))).
4961.TW failed (index 0 is out of bounds for axis 0 with size 0).
