9958.TW, RSI(talib): 62.747209050674826 !
2882.TW, RSI(talib): 61.0267279321834
2455.TW, RSI(talib): 64.14441845836176
3596.TW, RSI(talib): 79.32749197950764  !
2006.TW, RSI(talib): 66.7625543779255
3044.TW, RSI(talib): 68.71667831547563  !
5388.TW, RSI(talib): 70.69572211071899
6285.TW, RSI(talib): 71.83007496440432  !
1319.TW, RSI(talib): 81.9267687137805
2492.TW, RSI(talib): 63.63459893853586
3661.TW, RSI(talib): 69.26648336572732
2345.TW, RSI(talib): 62.13831163801592
2436.TW, RSI(talib): 63.38075300146685
3034.TW, RSI(talib): 82.11091439756176  !
2449.TW, RSI(talib): 60.057306289243215
4906.TW, RSI(talib): 62.138045749162686
1808.TW, RSI(talib): 63.0645474692808
6191.TW, RSI(talib): 65.1495525769542
2105.TW, RSI(talib): 73.88794657560028
2363.TW, RSI(talib): 69.24871952983683  !
2458.TW, RSI(talib): 78.47487523947747  ! 券回補 10/2
8081.TW, RSI(talib): 87.05378877700382  !
3701.TW, RSI(talib): 60.28200222351445
2405.TW, RSI(talib): 61.863436972409346
6605.TW, RSI(talib): 64.43987000246571
2486.TW, RSI(talib): 65.46688019090425
2485.TW, RSI(talib): 61.355573425064655
4763.TW, RSI(talib): 70.64989855036833  !
1720.TW, RSI(talib): 61.6887869790662
1618.TW, RSI(talib): 63.130367172820236
2851.TW, RSI(talib): 61.00696773369793
2462.TW, RSI(talib): 70.89119828014626
6243.TW, RSI(talib): 61.15402814890377
3715.TW, RSI(talib): 67.91586394967494
5469.TW, RSI(talib): 66.49252561107902  !
3617.TW, RSI(talib): 62.09961315115541
9934.TW, RSI(talib): 63.406040996359046
1515.TW, RSI(talib): 75.5147095948068
3014.TW, RSI(talib): 75.87223225302327  !
8011.TW, RSI(talib): 64.3158785984894
1310.TW, RSI(talib): 60.39346211711498
8271.TW, RSI(talib): 67.34851020088395  !
6451.TW, RSI(talib): 74.34544087618434
4766.TW, RSI(talib): 70.71446671610263
9927.TW, RSI(talib): 60.53413449896598
2460.TW, RSI(talib): 62.80378419788324
6672.TW, RSI(talib): 61.51674533754875
2516.TW, RSI(talib): 62.48987337820594
2816.TW, RSI(talib): 83.55478680333775
1307.TW, RSI(talib): 67.75991409839357
3622.TW, RSI(talib): 64.18701126644552
2025.TW, RSI(talib): 84.17482284672869
3450.TW, RSI(talib): 71.644531390554    !
--------------
2002.TW failed (index 0 is out of bounds for axis 0 with size 0).
9945.TW failed (index 0 is out of bounds for axis 0 with size 0).
4961.TW failed (index 0 is out of bounds for axis 0 with size 0).
