--------------
Tue Apr  9 20:26:07 2024 TW Stock List
--------------
2890.TW, Close: 21.50, RSI(talib): 61.63
2891.TW, Close: 32.15, RSI(talib): 60.59
2885.TW, Close: 30.90, RSI(talib): 63.10
2382.TW, Close: 287.00, RSI(talib): 64.28
1513.TW, Close: 185.00, RSI(talib): 67.75
2313.TW, Close: 81.40, RSI(talib): 62.52
3533.TW, Close: 1630.00, RSI(talib): 81.42
2834.TW, Close: 16.10, RSI(talib): 70.52
6213.TW, Close: 117.50, RSI(talib): 71.84
2374.TW, Close: 33.40, RSI(talib): 79.14
2359.TW, Close: 99.00, RSI(talib): 96.48
4938.TW, Close: 100.50, RSI(talib): 64.82
3708.TW, Close: 124.00, RSI(talib): 61.78
6806.TW, Close: 151.50, RSI(talib): 66.81
2809.TW, Close: 55.60, RSI(talib): 80.86
8163.TW, Close: 62.10, RSI(talib): 69.54
2845.TW, Close: 14.45, RSI(talib): 68.40
9904.TW, Close: 36.10, RSI(talib): 66.00
2812.TW, Close: 17.15, RSI(talib): 62.73
4958.TW, Close: 123.50, RSI(talib): 68.77
2515.TW, Close: 16.60, RSI(talib): 84.73
2406.TW, Close: 18.95, RSI(talib): 60.54
2504.TW, Close: 41.35, RSI(talib): 85.46
1319.TW, Close: 122.50, RSI(talib): 65.02
2611.TW, Close: 24.00, RSI(talib): 75.57
1514.TW, Close: 128.00, RSI(talib): 66.97
3050.TW, Close: 23.50, RSI(talib): 64.65
1453.TW, Close: 17.50, RSI(talib): 66.74
6005.TW, Close: 21.40, RSI(talib): 86.99
2327.TW, Close: 615.00, RSI(talib): 69.23
2367.TW, Close: 26.60, RSI(talib): 63.06
3703.TW, Close: 32.65, RSI(talib): 87.83
6278.TW, Close: 109.00, RSI(talib): 65.50
1524.TW, Close: 37.30, RSI(talib): 63.14
2059.TW, Close: 1350.00, RSI(talib): 60.91
1590.TW, Close: 1160.00, RSI(talib): 60.17
1733.TW, Close: 34.60, RSI(talib): 73.53
3535.TW, Close: 23.60, RSI(talib): 66.93
1522.TW, Close: 58.20, RSI(talib): 75.64
8070.TW, Close: 43.10, RSI(talib): 80.96
5269.TW, Close: 2390.00, RSI(talib): 66.47
6669.TW, Close: 2475.00, RSI(talib): 61.06
8112.TW, Close: 83.50, RSI(talib): 73.66
1773.TW, Close: 190.00, RSI(talib): 68.06
2520.TW, Close: 42.75, RSI(talib): 65.87
2204.TW, Close: 136.50, RSI(talib): 65.44
3013.TW, Close: 67.00, RSI(talib): 72.67
4770.TW, Close: 421.50, RSI(talib): 60.51
6605.TW, Close: 218.50, RSI(talib): 70.57
6491.TW, Close: 478.00, RSI(talib): 76.36
6164.TW, Close: 15.40, RSI(talib): 60.58
3167.TW, Close: 65.50, RSI(talib): 60.99
6670.TW, Close: 241.00, RSI(talib): 80.48
6206.TW, Close: 82.00, RSI(talib): 68.93
2486.TW, Close: 74.00, RSI(talib): 76.07
6117.TW, Close: 108.00, RSI(talib): 73.33
9939.TW, Close: 149.00, RSI(talib): 65.14
2420.TW, Close: 54.60, RSI(talib): 62.64
6197.TW, Close: 167.50, RSI(talib): 79.03
5225.TW, Close: 119.00, RSI(talib): 60.78
3025.TW, Close: 69.00, RSI(talib): 60.77
1519.TW, Close: 853.00, RSI(talib): 64.09
6442.TW, Close: 141.00, RSI(talib): 61.36
2530.TW, Close: 50.70, RSI(talib): 79.13
1455.TW, Close: 14.60, RSI(talib): 64.54
1612.TW, Close: 33.75, RSI(talib): 82.18
1442.TW, Close: 45.05, RSI(talib): 79.57
3030.TW, Close: 87.40, RSI(talib): 73.06
6768.TW, Close: 77.90, RSI(talib): 73.25
3413.TW, Close: 297.00, RSI(talib): 72.08
2009.TW, Close: 49.75, RSI(talib): 77.61
3010.TW, Close: 127.00, RSI(talib): 74.73
2451.TW, Close: 93.50, RSI(talib): 73.84
6139.TW, Close: 297.50, RSI(talib): 86.81
1618.TW, Close: 39.45, RSI(talib): 64.14
2903.TW, Close: 31.20, RSI(talib): 81.94
2038.TW, Close: 21.70, RSI(talib): 63.35
2539.TW, Close: 73.40, RSI(talib): 76.57
6715.TW, Close: 191.00, RSI(talib): 66.19
2033.TW, Close: 17.45, RSI(talib): 60.90
1503.TW, Close: 344.50, RSI(talib): 75.88
2472.TW, Close: 75.60, RSI(talib): 65.74
1215.TW, Close: 110.50, RSI(talib): 63.22
5521.TW, Close: 14.35, RSI(talib): 61.39
5434.TW, Close: 252.00, RSI(talib): 90.01
6177.TW, Close: 45.30, RSI(talib): 83.51
4306.TW, Close: 20.10, RSI(talib): 78.41
1608.TW, Close: 36.30, RSI(talib): 86.82
1616.TW, Close: 22.30, RSI(talib): 68.85
2535.TW, Close: 59.00, RSI(talib): 72.47
2548.TW, Close: 133.50, RSI(talib): 86.84
9934.TW, Close: 17.10, RSI(talib): 61.26
3583.TW, Close: 354.00, RSI(talib): 69.61
8271.TW, Close: 71.50, RSI(talib): 61.64
6215.TW, Close: 43.75, RSI(talib): 78.10
2211.TW, Close: 134.00, RSI(talib): 62.16
1603.TW, Close: 44.95, RSI(talib): 62.17
2480.TW, Close: 129.00, RSI(talib): 61.99
2855.TW, Close: 27.05, RSI(talib): 82.03
2316.TW, Close: 46.35, RSI(talib): 69.68
2516.TW, Close: 13.00, RSI(talib): 61.07
6189.TW, Close: 90.60, RSI(talib): 67.78
2537.TW, Close: 15.70, RSI(talib): 82.00
1307.TW, Close: 30.40, RSI(talib): 73.73
3622.TW, Close: 64.00, RSI(talib): 60.86
2852.TW, Close: 20.65, RSI(talib): 60.06
2365.TW, Close: 22.90, RSI(talib): 61.92
6216.TW, Close: 37.10, RSI(talib): 67.01
2488.TW, Close: 46.30, RSI(talib): 67.33
2467.TW, Close: 133.50, RSI(talib): 62.80
5515.TW, Close: 21.60, RSI(talib): 61.03
2501.TW, Close: 24.90, RSI(talib): 76.33
2362.TW, Close: 42.70, RSI(talib): 60.15
6024.TW, Close: 55.40, RSI(talib): 66.38
6668.TW, Close: 73.50, RSI(talib): 72.77
2528.TW, Close: 47.45, RSI(talib): 73.75
6869.TW, Close: 139.50, RSI(talib): 62.48
2062.TW, Close: 30.05, RSI(talib): 64.64
2020.TW, Close: 38.90, RSI(talib): 66.45
1587.TW, Close: 39.25, RSI(talib): 91.17
6790.TW, Close: 50.40, RSI(talib): 76.41
--------------
9933.TW failed (index 0 is out of bounds for axis 0 with size 0).
6271.TW failed (inputs are all NaN).
2358.TW failed (index 0 is out of bounds for axis 0 with size 0).
5284.TW failed (index 0 is out of bounds for axis 0 with size 0).
6695.TW failed (could not convert string to float: 'N/A').
2443.TW failed (index 0 is out of bounds for axis 0 with size 0).
