--------------
Wed Apr 10 21:55:46 2024 TW Stock List
--------------
2883.TW, Close: 14.00, RSI(talib): 61.98
2890.TW, Close: 21.70, RSI(talib): 63.89
2891.TW, Close: 31.85, RSI(talib): 61.41
2885.TW, Close: 30.50, RSI(talib): 67.84
2330.TW, Close: 815.00, RSI(talib): 69.15
2382.TW, Close: 282.00, RSI(talib): 60.83
2881.TW, Close: 69.20, RSI(talib): 60.37
1513.TW, Close: 183.00, RSI(talib): 69.71
2317.TW, Close: 154.50, RSI(talib): 80.35
3533.TW, Close: 1550.00, RSI(talib): 84.56
2637.TW, Close: 63.20, RSI(talib): 66.70
2834.TW, Close: 16.20, RSI(talib): 71.27
6213.TW, Close: 124.00, RSI(talib): 75.52   !
2374.TW, Close: 32.20, RSI(talib): 82.01
2359.TW, Close: 100.50, RSI(talib): 84.81
4938.TW, Close: 101.00, RSI(talib): 63.39
3708.TW, Close: 126.50, RSI(talib): 60.15
6806.TW, Close: 157.00, RSI(talib): 67.22
9933.TW, Close: 49.50, RSI(talib): 75.28    !
2809.TW, Close: 56.00, RSI(talib): 82.02    !
8163.TW, Close: 62.60, RSI(talib): 60.38
2845.TW, Close: 14.55, RSI(talib): 71.73
9904.TW, Close: 35.80, RSI(talib): 68.83
2812.TW, Close: 17.30, RSI(talib): 63.98
4958.TW, Close: 119.00, RSI(talib): 64.68
2515.TW, Close: 16.00, RSI(talib): 86.90
4915.TW, Close: 84.70, RSI(talib): 61.79
2504.TW, Close: 41.60, RSI(talib): 85.56    !
1319.TW, Close: 123.00, RSI(talib): 65.60
2611.TW, Close: 23.70, RSI(talib): 73.97
1514.TW, Close: 140.50, RSI(talib): 74.97   !
3050.TW, Close: 23.25, RSI(talib): 61.45
2031.TW, Close: 61.70, RSI(talib): 60.98
1453.TW, Close: 19.25, RSI(talib): 77.90    !
6005.TW, Close: 21.35, RSI(talib): 85.88
2327.TW, Close: 621.00, RSI(talib): 67.62
3034.TW, Close: 606.00, RSI(talib): 60.54
2367.TW, Close: 26.30, RSI(talib): 62.24
3703.TW, Close: 32.75, RSI(talib): 90.35    !
6278.TW, Close: 109.00, RSI(talib): 60.89
1524.TW, Close: 37.10, RSI(talib): 60.92
2105.TW, Close: 49.10, RSI(talib): 61.83
2059.TW, Close: 1345.00, RSI(talib): 61.73
1590.TW, Close: 1175.00, RSI(talib): 65.68
3535.TW, Close: 23.85, RSI(talib): 62.79
1522.TW, Close: 57.50, RSI(talib): 70.31
8070.TW, Close: 42.80, RSI(talib): 74.76
6515.TW, Close: 826.00, RSI(talib): 63.91
6669.TW, Close: 2355.00, RSI(talib): 61.06
8112.TW, Close: 82.10, RSI(talib): 79.91
1773.TW, Close: 188.00, RSI(talib): 66.69
3015.TW, Close: 60.40, RSI(talib): 66.32
2520.TW, Close: 43.50, RSI(talib): 67.03
2204.TW, Close: 139.00, RSI(talib): 66.68
3013.TW, Close: 73.70, RSI(talib): 65.98
4770.TW, Close: 431.00, RSI(talib): 61.01
6605.TW, Close: 220.50, RSI(talib): 66.45
6196.TW, Close: 174.50, RSI(talib): 63.14
6491.TW, Close: 486.00, RSI(talib): 69.82
3167.TW, Close: 72.00, RSI(talib): 63.36    !
6206.TW, Close: 82.50, RSI(talib): 75.04
2486.TW, Close: 70.60, RSI(talib): 73.62
6117.TW, Close: 98.80, RSI(talib): 78.54
2439.TW, Close: 128.00, RSI(talib): 60.98
2420.TW, Close: 54.30, RSI(talib): 66.11
6197.TW, Close: 174.50, RSI(talib): 80.21   !
5225.TW, Close: 117.50, RSI(talib): 60.78
1519.TW, Close: 857.00, RSI(talib): 69.86
6442.TW, Close: 140.50, RSI(talib): 60.04
2530.TW, Close: 51.90, RSI(talib): 80.45    !
1455.TW, Close: 14.25, RSI(talib): 62.13
1612.TW, Close: 34.15, RSI(talib): 82.57
1442.TW, Close: 46.10, RSI(talib): 76.18
3030.TW, Close: 89.90, RSI(talib): 72.56
6768.TW, Close: 78.50, RSI(talib): 77.44
3413.TW, Close: 298.50, RSI(talib): 61.48
2009.TW, Close: 51.50, RSI(talib): 82.52    !
3010.TW, Close: 127.00, RSI(talib): 69.25
2451.TW, Close: 94.00, RSI(talib): 75.54
6139.TW, Close: 303.00, RSI(talib): 87.63   !
1618.TW, Close: 39.70, RSI(talib): 65.48
2903.TW, Close: 31.45, RSI(talib): 81.21    !
2038.TW, Close: 21.15, RSI(talib): 76.44
2851.TW, Close: 25.40, RSI(talib): 64.01
2539.TW, Close: 74.50, RSI(talib): 76.74
2033.TW, Close: 17.70, RSI(talib): 68.02
1503.TW, Close: 316.00, RSI(talib): 80.22
2472.TW, Close: 74.50, RSI(talib): 66.67
1215.TW, Close: 109.50, RSI(talib): 66.40
8110.TW, Close: 18.00, RSI(talib): 61.05
3338.TW, Close: 68.90, RSI(talib): 60.68
5521.TW, Close: 14.05, RSI(talib): 63.09
5434.TW, Close: 244.50, RSI(talib): 85.49
6177.TW, Close: 47.25, RSI(talib): 83.05    !
3032.TW, Close: 83.60, RSI(talib): 61.00
1535.TW, Close: 78.40, RSI(talib): 62.19
4306.TW, Close: 20.05, RSI(talib): 79.05
1608.TW, Close: 35.35, RSI(talib): 90.46
1616.TW, Close: 21.50, RSI(talib): 67.02
2535.TW, Close: 58.20, RSI(talib): 77.14
2548.TW, Close: 136.00, RSI(talib): 88.40
9934.TW, Close: 17.05, RSI(talib): 61.96
3583.TW, Close: 341.00, RSI(talib): 65.63
6215.TW, Close: 43.65, RSI(talib): 83.04
2211.TW, Close: 132.50, RSI(talib): 67.97
1603.TW, Close: 45.95, RSI(talib): 64.61
2855.TW, Close: 26.95, RSI(talib): 85.27
2316.TW, Close: 45.50, RSI(talib): 67.75
9927.TW, Close: 77.40, RSI(talib): 60.08
2516.TW, Close: 12.80, RSI(talib): 62.08
6189.TW, Close: 89.80, RSI(talib): 61.25
2537.TW, Close: 15.70, RSI(talib): 86.02
1307.TW, Close: 29.70, RSI(talib): 74.91
2852.TW, Close: 20.85, RSI(talib): 72.45
2025.TW, Close: 12.95, RSI(talib): 63.69
2365.TW, Close: 22.40, RSI(talib): 61.92
1463.TW, Close: 18.65, RSI(talib): 66.01
6216.TW, Close: 37.15, RSI(talib): 69.90
2488.TW, Close: 46.00, RSI(talib): 64.58
5515.TW, Close: 22.40, RSI(talib): 62.11
2501.TW, Close: 27.35, RSI(talib): 80.51    !
