--------------
Thu Apr 11 19:35:36 2024 TW Stock List
--------------
2890.TW, Close: 21.95, RSI(talib): 66.70
2885.TW, Close: 30.50, RSI(talib): 62.11
2330.TW, Close: 820.00, RSI(talib): 67.29
1513.TW, Close: 193.00, RSI(talib): 66.80
2317.TW, Close: 150.00, RSI(talib): 73.10
3533.TW, Close: 1500.00, RSI(talib): 71.54
2637.TW, Close: 64.20, RSI(talib): 64.68
2834.TW, Close: 16.10, RSI(talib): 72.77
6213.TW, Close: 118.50, RSI(talib): 78.77
3532.TW, Close: 173.00, RSI(talib): 65.75
2374.TW, Close: 35.40, RSI(talib): 73.06
2359.TW, Close: 105.50, RSI(talib): 85.26
4938.TW, Close: 101.50, RSI(talib): 64.24
2476.TW, Close: 78.30, RSI(talib): 63.44
3708.TW, Close: 123.50, RSI(talib): 62.79
6806.TW, Close: 149.00, RSI(talib): 71.43
9933.TW, Close: 49.20, RSI(talib): 78.76
2809.TW, Close: 56.00, RSI(talib): 82.77
2545.TW, Close: 50.20, RSI(talib): 73.16
8163.TW, Close: 61.50, RSI(talib): 62.29
2845.TW, Close: 14.55, RSI(talib): 73.73
2812.TW, Close: 17.45, RSI(talib): 67.49
2454.TW, Close: 1200.00, RSI(talib): 63.98
2515.TW, Close: 15.90, RSI(talib): 74.46
4915.TW, Close: 86.80, RSI(talib): 65.05
2406.TW, Close: 21.35, RSI(talib): 71.44
2504.TW, Close: 41.70, RSI(talib): 86.06
1319.TW, Close: 123.00, RSI(talib): 66.20
2611.TW, Close: 23.60, RSI(talib): 69.23
1514.TW, Close: 153.00, RSI(talib): 80.50
9955.TW, Close: 28.00, RSI(talib): 74.33
1453.TW, Close: 21.15, RSI(talib): 84.30
3712.TW, Close: 44.10, RSI(talib): 60.20
6005.TW, Close: 21.55, RSI(talib): 84.71
2327.TW, Close: 609.00, RSI(talib): 69.88
3034.TW, Close: 615.00, RSI(talib): 64.13
3703.TW, Close: 32.50, RSI(talib): 90.59
6278.TW, Close: 109.00, RSI(talib): 60.89
2059.TW, Close: 1275.00, RSI(talib): 61.04
1590.TW, Close: 1155.00, RSI(talib): 67.74
3535.TW, Close: 23.10, RSI(talib): 64.28
1522.TW, Close: 53.70, RSI(talib): 67.55
8070.TW, Close: 42.25, RSI(talib): 71.55
6515.TW, Close: 904.00, RSI(talib): 65.67
8112.TW, Close: 85.20, RSI(talib): 74.58
6719.TW, Close: 299.50, RSI(talib): 62.93
1773.TW, Close: 188.00, RSI(talib): 63.92
2520.TW, Close: 44.90, RSI(talib): 70.29
2204.TW, Close: 142.00, RSI(talib): 69.62
3013.TW, Close: 72.30, RSI(talib): 71.83
4770.TW, Close: 428.00, RSI(talib): 64.09
6605.TW, Close: 218.00, RSI(talib): 67.36
3406.TW, Close: 472.50, RSI(talib): 60.31
6196.TW, Close: 172.00, RSI(talib): 63.56
6491.TW, Close: 490.00, RSI(talib): 72.37
3167.TW, Close: 66.30, RSI(talib): 72.95
3607.TW, Close: 18.45, RSI(talib): 60.84
6206.TW, Close: 82.30, RSI(talib): 76.18
2486.TW, Close: 71.40, RSI(talib): 65.85
6117.TW, Close: 96.00, RSI(talib): 65.48
2439.TW, Close: 124.50, RSI(talib): 68.84
2420.TW, Close: 55.10, RSI(talib): 62.96
6197.TW, Close: 169.00, RSI(talib): 81.92
1519.TW, Close: 860.00, RSI(talib): 70.13
2530.TW, Close: 51.90, RSI(talib): 82.16
1612.TW, Close: 34.60, RSI(talib): 83.59
1442.TW, Close: 46.40, RSI(talib): 80.03
3030.TW, Close: 92.40, RSI(talib): 76.85
6768.TW, Close: 76.50, RSI(talib): 79.06
3312.TW, Close: 46.90, RSI(talib): 61.70
3413.TW, Close: 296.00, RSI(talib): 62.20
2009.TW, Close: 49.10, RSI(talib): 83.99
3010.TW, Close: 126.50, RSI(talib): 69.25
2451.TW, Close: 93.40, RSI(talib): 76.46
6139.TW, Close: 333.00, RSI(talib): 88.24
1618.TW, Close: 39.15, RSI(talib): 66.17
2903.TW, Close: 31.25, RSI(talib): 82.07
2851.TW, Close: 25.60, RSI(talib): 66.59
2539.TW, Close: 73.20, RSI(talib): 78.59
5471.TW, Close: 53.50, RSI(talib): 62.88
2033.TW, Close: 17.35, RSI(talib): 70.26
1503.TW, Close: 304.00, RSI(talib): 68.08
2472.TW, Close: 73.80, RSI(talib): 60.21
6691.TW, Close: 383.00, RSI(talib): 60.19
1215.TW, Close: 107.00, RSI(talib): 62.52
8110.TW, Close: 18.00, RSI(talib): 61.94
5434.TW, Close: 242.00, RSI(talib): 73.57
6177.TW, Close: 46.35, RSI(talib): 86.20
1535.TW, Close: 74.40, RSI(talib): 69.76
2547.TW, Close: 10.75, RSI(talib): 71.72
4306.TW, Close: 19.70, RSI(talib): 77.81
1608.TW, Close: 34.55, RSI(talib): 83.33
1616.TW, Close: 20.90, RSI(talib): 62.26
2548.TW, Close: 135.50, RSI(talib): 89.52
9934.TW, Close: 16.50, RSI(talib): 60.78
3583.TW, Close: 337.00, RSI(talib): 60.98
6214.TW, Close: 121.50, RSI(talib): 67.11
8271.TW, Close: 71.80, RSI(talib): 63.64
6215.TW, Close: 39.90, RSI(talib): 82.54
2211.TW, Close: 134.00, RSI(talib): 65.03
3055.TW, Close: 77.20, RSI(talib): 60.80
1603.TW, Close: 44.35, RSI(talib): 66.71
2855.TW, Close: 27.00, RSI(talib): 83.65
2316.TW, Close: 44.20, RSI(talib): 63.71
4766.TW, Close: 340.00, RSI(talib): 61.07
9927.TW, Close: 74.50, RSI(talib): 63.28
2460.TW, Close: 35.00, RSI(talib): 61.42
2537.TW, Close: 16.50, RSI(talib): 86.02
1307.TW, Close: 29.80, RSI(talib): 64.07
2852.TW, Close: 19.95, RSI(talib): 74.36
2025.TW, Close: 12.05, RSI(talib): 69.54
6585.TW, Close: 190.00, RSI(talib): 64.71
6216.TW, Close: 37.65, RSI(talib): 70.18
2488.TW, Close: 47.80, RSI(talib): 61.85
5515.TW, Close: 22.65, RSI(talib): 66.16
2501.TW, Close: 29.40, RSI(talib): 85.95
6024.TW, Close: 56.00, RSI(talib): 69.36
6668.TW, Close: 71.80, RSI(talib): 65.66
6472.TW, Close: 817.00, RSI(talib): 82.09
2528.TW, Close: 48.30, RSI(talib): 73.94
5534.TW, Close: 98.80, RSI(talib): 92.11
1587.TW, Close: 40.75, RSI(talib): 75.64
6790.TW, Close: 51.30, RSI(talib): 73.20
2506.TW, Close: 12.75, RSI(talib): 78.30
